Weapon,R1,R2,R3,R4,R5
PJWS,1043939.3860902477,1063698.5865855003,1083637.4536188631,1103723.4485294158,1124268.3718429024
Homa (50%),1126421.4420529965,1168655.3052014569,1213983.8249337843,1262063.1951414663,1312487.5412190864
Homa,1039101.7854001636,1059127.2097565706,1080267.2834650022,1102834.882481739,1126698.6239772683
LumidouceElegy,1033405.9924348805,1049936.4386802872,1066466.8849256937,1083270.2604336871,1100181.0826891828
"Vortex (Shielded, Stacked)",1109242.2240277613,1145353.749498317,1181465.2749688718,1217576.8004394271,1253688.3259099824
"Vortex (Shielded, Unstacked)",1085300.988216549,1115427.2047343014,1145553.4212520532,1175679.6377698057,1205805.8542875578
CalamityQueller (Stacked),1051892.6573775304,1079768.5783368656,1107930.3833071399,1136378.0722883535,1165111.645280506
CalamityQueller (Unstacked),1036770.6698414696,1060686.275353617,1084815.8374514342,1109159.356134922,1133716.8314040797
"Vortex (Unshielded, Stacked)",1037019.1730866507,1055074.9358219283,1073130.698557206,1091186.4612924838,1109242.2240277613
"Vortex (Unshielded, Unstacked)",1025048.5551810445,1040111.6634399206,1055174.7716987967,1070237.879957673,1085300.988216549
StaffOfTheScarletSands,978775.061623479,978775.061623479,978775.061623479,978775.061623479,978775.061623479
SkywardSpine,993062.5784190356,1004631.6732590168,1018129.4430643285,1029200.7975525835,1043375.1926052086
EngulfingLightning,974103.071178622,999795.2171464259,1027648.5571473064,1057784.6001585124,1089841.7898735479
Lithic (4 Stacks),1024309.4016779454,1064977.0953252357,1106440.224313873,1148701.1863479302,1191762.3791314817
Lithic (3 Stacks),980251.7356195847,1009410.1422486687,1038528.2295265069,1068135.9672113785,1102489.5316372034
Lithic (2 Stacks),935325.0557641318,955373.5186146183,973727.2607152519,994510.8828193916,1012856.0426584809
Lithic (1 Stacks),893188.2579533836,902862.4290149375,912584.8959390398,920990.3556347371,930745.8631347946
Deathmatch (1 Opponent),944855.4314325086,966603.7612129231,988491.0770489748,1010717.6963612932,1033110.4048027233
Deathmatch (2+ Opponents),916383.4947856655,930563.521618006,944855.4314325086,959354.3179527848,973853.2044730614
Blackcliff (3 Stacks),989759.5703655692,1024011.5682508871,1058529.2849321668,1093047.0016134465,1127564.718294726
Blackcliff (2 Stacks),945035.0780652426,967250.2281971073,989759.5703655692,1012505.6626904609,1035517.4738113142
Blackcliff (1 Stacks),901343.9969103335,912096.1990421737,923028.2048491722,934031.6414572074,945035.0780652426
Blackcliff (0 Stacks),858686.3269008428,858686.3269008428,858686.3269008428,858686.3269008428,858686.3269008428
MissiveWindspear (On),892517.4699949246,902241.7771462935,911966.0842976624,921690.3914490312,931414.6986004
MissiveWindspear (Off),853620.2413894488,853620.2413894488,853620.2413894488,853620.2413894488,853620.2413894488
WavebreakersFin,844235.0046644105,844235.0046644105,844235.0046644105,844235.0046644105,844235.0046644105
FavoniusLance,859219.1391171578,859219.1391171578,859219.1391171578,859219.1391171578,859219.1391171578
PrototypeStarglitter,816391.069098096,816391.069098096,816391.069098096,816391.069098096,816391.069098096
WhiteTassel,749798.4209956155,749798.4209956155,749798.4209956155,749798.4209956155,749798.4209956155
