Weapon,R1,R2,R3,R4,R5
PJWS,739505.26618947,751650.5134928322,763907.2994985231,776275.6242065423,788755.4876168896
Homa (50%),796069.5210250665,819576.7024390214,844354.3266275635,870402.3935906925,897720.9033284093
Homa,746035.8615654663,757630.6469256203,769860.653673068,782725.8818078092,796226.3313298442
LumidouceElegy,742307.2586822365,751861.866649073,761416.4746159092,770971.082582745,780525.6905495812
"Vortex (Shielded, Stacked)",738452.1347092773,757614.5880088615,776777.041308446,795939.4946080302,815101.9479076143
"Vortex (Shielded, Unstacked)",726473.1404664525,742640.8452053304,758808.5499442087,774976.2546830868,791143.9594219647
CalamityQueller (Stacked),722391.4074332984,740321.6602021937,758456.0407761509,776794.5491551706,795337.1853392522
CalamityQueller (Unstacked),714696.7299252963,730574.918698376,746605.8774289915,762789.6061171436,779126.1047628317
"Vortex (Unshielded, Stacked)",700127.2281101086,709708.4547599009,719289.6814096931,728870.9080594855,738452.1347092773
"Vortex (Unshielded, Unstacked)",694137.7309886962,702221.5833581354,710305.4357275744,718389.2880970137,726473.1404664525
StaffOfTheScarletSands,721662.932420872,721662.932420872,721662.932420872,721662.932420872,721662.932420872
SkywardSpine,711342.3646002065,719521.972440717,729452.3267222951,737371.6123815372,747601.5580522534
EngulfingLightning,693219.3086603323,707395.7958977376,722615.874385458,738879.5441234937,756186.8051118448
Lithic (4 Stacks),708231.9755972513,735639.7036571051,764201.4475111996,793255.7123906318,822803.956231136
Lithic (3 Stacks),680174.0252659129,700284.4191292088,720637.7596370105,741548.3594590409,762989.058831139
Lithic (2 Stacks),653180.7494747292,665913.2043004447,679010.9156338043,692336.8626611659,705770.7859749751
Lithic (1 Stacks),626802.1343733363,633025.9691245586,639275.6934506237,645551.3073515317,651852.8108272824
Deathmatch (1 Opponent),698530.4656288472,710839.1216529498,723147.7776770527,735456.433701155,747765.0897252577
Deathmatch (2+ Opponents),682118.9242633772,690324.6949461122,698530.4656288472,706736.2363115824,714942.0069943173
Blackcliff (3 Stacks),712270.7520318173,730900.1240574261,749529.4960830353,768158.8681086444,786788.2401342534
Blackcliff (2 Stacks),687431.589331005,699851.1706814113,712270.7520318173,724690.333382223,737109.9147326293
Blackcliff (1 Stacks),662592.426630193,668802.2173053962,675012.0079805991,681221.798655802,687431.589331005
Blackcliff (0 Stacks),637753.2639293809,637753.2639293809,637753.2639293809,637753.2639293809,637753.2639293809
MissiveWindspear (On),621720.8359857654,626881.0051902169,632041.1743946683,637201.3435991198,642361.5128035711
MissiveWindspear (Off),601080.15916796,601080.15916796,601080.15916796,601080.15916796,601080.15916796
WavebreakersFin,598038.4693177768,598038.4693177768,598038.4693177768,598038.4693177768,598038.4693177768
FavoniusLance,628517.2728513147,628517.2728513147,628517.2728513147,628517.2728513147,628517.2728513147
PrototypeStarglitter,604941.4597131695,604941.4597131695,604941.4597131695,604941.4597131695,604941.4597131695
WhiteTassel,572929.9139025443,572929.9139025443,572929.9139025443,572929.9139025443,572929.9139025443
