Weapon,R1,R2,R3,R4,R5
PJWS,1095014.334362498,1111444.8979847564,1128029.4527490716,1144767.9986554435,1161660.5357038726
Homa (50%),1155883.4302075147,1185086.70833942,1215868.2741036701,1248228.1275002654,1282166.2685292058
Homa,1093725.962350126,1108130.3154620351,1123323.8123901172,1139306.4531343717,1156078.2376947987
LumidouceElegy,1091411.6422955575,1103305.507593246,1115199.372890934,1127093.2381886228,1138987.1034863112
"Vortex (Shielded, Stacked)",1073426.0204807634,1097730.9076934466,1122035.7949061305,1146340.6821188144,1170645.5693314981
"Vortex (Shielded, Unstacked)",1055533.7323094518,1075365.5474793073,1095197.3626491635,1115029.1778190196,1134860.9929888754
CalamityQueller (Stacked),1078654.2065893193,1103821.8000061826,1129275.277433985,1155014.6388727266,1181039.8843224074
CalamityQueller (Unstacked),1067188.9379095214,1089310.3955932627,1111645.8098626742,1134195.1807177556,1156958.5081585073
"Vortex (Unshielded, Stacked)",1024816.2460553957,1036968.6896617376,1049121.1332680793,1061273.5768744212,1073426.0204807634
"Vortex (Unshielded, Unstacked)",1015870.10196974,1025786.0095546677,1035701.917139596,1045617.8247245238,1055533.7323094518
StaffOfTheScarletSands,1058455.6653823329,1058455.6653823329,1058455.6653823329,1058455.6653823329,1058455.6653823329
SkywardSpine,942794.2592065452,953654.1091357132,966713.2245024658,977225.4681762545,990684.0467882758
EngulfingLightning,906665.8319606489,922234.1532107408,938928.6428703167,956749.300939376,975696.127417919
Lithic (4 Stacks),1035724.2478584509,1071682.8940172836,1108195.4855569205,1145263.6362537495,1182888.9598841562
Lithic (3 Stacks),999832.1340195558,1025696.2909869986,1051383.0055723067,1077431.7433947455,1108119.371373173
Lithic (2 Stacks),962710.8942266678,980758.2543209711,997001.6492802287,1015668.3341155461,1031781.4274812322
Lithic (1 Stacks),928109.2116579041,936865.5564664281,945654.4068386686,953062.914382763,961853.0152303108
Deathmatch (1 Opponent),1014712.1097556507,1029993.6643685417,1045275.2189814324,1060556.7735943235,1075838.3282072144
Deathmatch (2+ Opponents),994336.7036051297,1004524.40668039,1014712.1097556507,1024899.8128309111,1035087.5159061721
Blackcliff (3 Stacks),1036025.3111223008,1059257.484226202,1082489.657330103,1105721.830434004,1128954.003537905
Blackcliff (2 Stacks),1005049.0803170995,1020537.1957197003,1036025.3111223008,1051513.4265249018,1067001.541927502
Blackcliff (1 Stacks),974072.8495118984,981816.9072131984,989560.9649144989,997305.0226157994,1005049.0803170995
Blackcliff (0 Stacks),943096.6187066969,943096.6187066969,943096.6187066969,943096.6187066969,943096.6187066969
MissiveWindspear (On),913456.6287253568,920001.5803843011,926546.5320432449,933091.4837021895,939636.4353611333
MissiveWindspear (Off),887276.8220895801,887276.8220895801,887276.8220895801,887276.8220895801,887276.8220895801
WavebreakersFin,896789.582680499,896789.582680499,896789.582680499,896789.582680499,896789.582680499
FavoniusLance,829946.9621648446,829946.9621648446,829946.9621648446,829946.9621648446,829946.9621648446
PrototypeStarglitter,797065.5717237992,797065.5717237992,797065.5717237992,797065.5717237992,797065.5717237992
WhiteTassel,845721.0008354693,845721.0008354693,845721.0008354693,845721.0008354693,845721.0008354693
