Weapon,R1,R2,R3,R4,R5
PJWS,636826.224472673,647409.767350579,658104.8489308133,668911.4692133759,679829.6281982671
Homa (50%),677377.9886580383,695743.1479427986,715100.8500384811,735451.094945086,756793.8826626131
Homa,638288.8222712287,647347.3340622436,656902.1172587196,666953.1718606567,677500.4978680549
FracturedHalo,651775.4341342131,662964.9203773212,674154.4066204292,685343.8928635372,696533.3791066455
LumidouceElegy,635412.6184632181,642877.2265812386,650341.8346992587,657806.4428172789,665271.0509352993
"Vortex (Shielded, Stacked)",621428.5082964353,636399.3166182161,651370.1249399967,666340.9332617772,681311.741583558
"Vortex (Shielded, Unstacked)",610811.7986713967,623128.4295869177,635445.0605024388,647761.6914179596,660078.3223334807
CalamityQueller (Stacked),622769.125393056,638897.8013602111,655230.6051324288,671767.5367097086,688508.5960920508
CalamityQueller (Unstacked),615893.9950530865,630175.4938164343,644609.7625373186,659196.8012157391,673936.6098516958
"Vortex (Unshielded, Stacked)",591486.8916528742,598972.2958137643,606457.6999746547,613943.1041355451,621428.5082964353
"Vortex (Unshielded, Unstacked)",586178.5368403549,592336.8522981151,598495.1677558756,604653.4832136363,610811.7986713967
StaffOfTheScarletSands,619200.9990574146,619200.9990574146,619200.9990574146,619200.9990574146,619200.9990574146
SkywardSpine,538259.0111715476,545677.543768181,553193.2822910176,560709.0208138542,568224.7593366908
EngulfingLightning,518772.10021684674,528389.4987137221,538705.653160991,549720.5635586537,561434.2299067097
SacrificersStaff,530518.1365195258,532330.4776141525,534142.8187087793,535955.1598034061,537767.5008980328
Lithic (4 Stacks),599575.96869058,622245.5670420658,645862.8844361333,669867.8165126481,694261.5022946831
Lithic (3 Stacks),576712.6564219807,593366.8814380529,610210.9103164208,627510.7197355892,645242.8329005942
Lithic (2 Stacks),554714.9765973267,565265.1370604369,576118.2454622427,587157.7941855257,598281.7001809403
Lithic (1 Stacks),533202.2345279256,538366.0694397689,543550.130773378,548754.4185287526,553978.9327058934
Deathmatch (1 Opponent),593869.3970617683,603485.6255871403,613101.8541125122,622718.0826378844,632334.3111632564
Deathmatch (2+ Opponents),581047.759027939,587458.5780448536,593869.3970617683,600280.2160786832,606691.0350955977
Blackcliff (3 Stacks),604837.6761790352,619392.0108140785,633946.3454491214,648500.6800841647,663055.0147192077
Blackcliff (2 Stacks),585431.8966656444,595134.7864223399,604837.6761790352,614540.5659357307,624243.4556924262
Blackcliff (1 Stacks),566026.1171522535,570877.5620306014,575729.0069089489,580580.4517872966,585431.8966656444
Blackcliff (0 Stacks),546620.3376388628,546620.3376388628,546620.3376388628,546620.3376388628,546620.3376388628
MissiveWindspear (On),525918.9055872044,529950.3259309385,533981.7462746724,538013.1666184065,542044.5869621404
MissiveWindspear (Off),509793.2242122684,509793.2242122684,509793.2242122684,509793.2242122684,509793.2242122684
WavebreakersFin,512257.34454325953,512257.34454325953,512257.34454325953,512257.34454325953,512257.34454325953
FavoniusLance,472782.7205006726,472782.7205006726,472782.7205006726,472782.7205006726,472782.7205006726
PrototypeStarglitter,454226.8138078015,454226.8138078015,454226.8138078015,454226.8138078015,454226.8138078015
WhiteTassel,489077.74950169784,489077.74950169784,489077.74950169784,489077.74950169784,489077.74950169784
