Weapon,R1,R2,R3,R4,R5
PJWS,1383672.0439794138,1402947.9071834409,1422395.5816507777,1442015.0673814248,1461806.3643753822
Homa (50%),1456249.7044794713,1488703.6789800636,1522911.6246048354,1558873.5413537854,1596589.429226915
Homa,1387173.3197067226,1403181.0605664956,1420065.7869883594,1437827.4989723116,1456466.196518354
FracturedHalo,1411006.1735749643,1430779.6639965747,1450553.154418185,1470326.6448397953,1490100.1352614062
LumidouceElegy,1384588.8712274362,1397803.2565069075,1411017.641786379,1424232.02706585,1437446.4123453218
"Vortex (Shielded, Stacked)",1339869.3240248386,1367008.2158148824,1394147.1076049265,1421285.9993949707,1448424.8911850145
"Vortex (Shielded, Unstacked)",1320121.3787968436,1342323.2842798887,1364525.189762934,1386727.0952459797,1408929.0007290246
CalamityQueller (Stacked),1350698.094453773,1380038.2806616644,1409697.2575673524,1439675.0251708375,1469971.5834721178
CalamityQueller (Unstacked),1338045.8617205098,1364025.0559778747,1390243.8674261516,1416702.2960653414,1443400.341895442
"Vortex (Unshielded, Stacked)",1285591.5404447503,1299160.9863397721,1312730.4322347944,1326299.8781298164,1339869.3240248386
"Vortex (Unshielded, Unstacked)",1275717.5678307528,1286818.5205722752,1297919.4733137982,1309020.4260553208,1320121.3787968436
StaffOfTheScarletSands,1357421.4423520232,1357421.4423520232,1357421.4423520232,1357421.4423520232,1357421.4423520232
SkywardSpine,1200055.739298787,1213372.7327183536,1229790.0490121688,1242681.70236015,1259588.8514493047
EngulfingLightning,1153709.5433014876,1171113.8006182166,1189779.291890092,1209706.0171171147,1230893.9762992843
SacrificersStaff,1184979.9322966842,1188260.1200068477,1191540.3077170108,1194820.495427174,1198100.6831373372
Lithic (4 Stacks),1306673.0270243252,1349780.6779063516,1393499.401114716,1437830.9571327486,1482777.1064437823
Lithic (3 Stacks),1264766.8596189318,1295496.6008787653,1325963.8108123362,1357319.014598534,1394655.8214191862
Lithic (2 Stacks),1220437.7645912918,1242362.0295174152,1261672.84704835,1284320.1747332062,1303445.7619179196
Lithic (1 Stacks),1179506.717180189,1190373.442855639,1201276.962845545,1209675.4044565454,1220147.8394856448
Deathmatch (1 Opponent),1303133.9167310277,1320113.9629314437,1337094.0091318605,1354074.0553322772,1371054.1015326935
Deathmatch (2+ Opponents),1280493.8551304725,1291813.8859307505,1303133.9167310277,1314453.9475313057,1325773.9783315829
Blackcliff (3 Stacks),1318693.0197843814,1344528.6437561235,1370364.2677278658,1396199.8916996082,1422035.5156713505
Blackcliff (2 Stacks),1284245.5211553914,1301469.270469886,1318693.0197843814,1335916.769098876,1353140.5184133707
Blackcliff (1 Stacks),1249798.0225264013,1258409.8971836485,1267021.7718408965,1275633.6464981441,1284245.5211553914
Blackcliff (0 Stacks),1215350.5238974118,1215350.5238974118,1215350.5238974118,1215350.5238974118,1215350.5238974118
MissiveWindspear (On),1161221.5675408307,1168529.6753007576,1175837.7830606843,1183145.8908206106,1190453.9985805375
MissiveWindspear (Off),1131989.1365011246,1131989.1365011246,1131989.1365011246,1131989.1365011246,1131989.1365011246
WavebreakersFin,1142639.811278815,1142639.811278815,1142639.811278815,1142639.811278815,1142639.811278815
FavoniusLance,1067988.8382578392,1067988.8382578392,1067988.8382578392,1067988.8382578392,1067988.8382578392
PrototypeStarglitter,1031259.051210136,1031259.051210136,1031259.051210136,1031259.051210136,1031259.051210136
WhiteTassel,1103718.633073848,1103718.633073848,1103718.633073848,1103718.633073848,1103718.633073848
