Weapon,R1,R2,R3,R4,R5
PJWS (Stacked),811417.693504892,835069.3931562756,859034.6311307717,883313.4074283807,907905.7220491025
PJWS,778272.5776942632,793771.522760465,809424.4589687237,825231.3863190389,841192.3048114111
Homa (50%),828869.7088225081,858072.9869544131,888854.5527186631,921214.4061152586,955152.5471441991
Homa,767399.9924190132,781499.3368950726,796371.1152610072,812292.7317493648,829064.5163097918
LumidouceElegy,764045.4959011666,775683.3488619856,787321.2018228049,799199.4428809327,811093.3081786209
"Vortex (Shielded, Stacked)",805408.1301405675,829713.0173532513,854017.9045659353,878322.7917786188,902627.6789913026
"Vortex (Shielded, Unstacked)",787515.8419692562,807347.657139112,827179.472308968,847011.2874788238,866843.1026486797
CalamityQueller (Stacked),787237.3484716151,809290.576655722,831629.688850768,854254.6850567532,877165.5652736779
CalamityQueller (Unstacked),775772.0797918172,794779.1722428022,814000.2212794572,833435.2269017822,853084.1891097779
"Vortex (Unshielded, Stacked)",756798.3557152,768950.7993215416,781103.2429278838,793255.6865342255,805408.1301405675
"Vortex (Unshielded, Unstacked)",747852.2116295443,757768.1192144719,767684.0267994001,777599.934384328,787515.8419692562
StaffOfTheScarletSands,722859.7476488312,722859.7476488312,722859.7476488312,722859.7476488312,722859.7476488312
SkywardSpine,654780.2768149358,662322.5539059886,671392.2433862755,678693.1043699456,688277.9724403555
EngulfingLightning,638647.9416204531,654216.2628705453,670910.752530121,688731.4105991805,707678.2370777237
Lithic (4 Stacks),750087.6578992759,778963.5997330897,808378.1646645514,838332.9664700478,868829.6189259647
Lithic (3 Stacks),719341.5006795522,740059.7010278233,760724.4301940489,781724.406696945,806171.6848332447
Lithic (2 Stacks),687897.5800157596,702189.0464036573,715223.6609070229,730031.7441563705,743038.7649457285
Lithic (1 Stacks),658443.8421803616,665348.4083078187,672285.4799989923,678249.6001718544,685205.2327356869
Deathmatch (1 Opponent),695826.1119434646,711107.6665563553,726389.2211692464,741670.7757821372,756952.330395028
Deathmatch (2+ Opponents),675757.8055315692,685730.8998731646,695826.1119434646,706013.815018725,716201.5180939855
Blackcliff (3 Stacks),728442.8784815178,751675.0515854188,774907.2246893197,798139.3977932207,821371.5708971217
Blackcliff (2 Stacks),697466.6476763163,712954.7630789169,728442.8784815178,743930.9938841184,759419.109286719
Blackcliff (1 Stacks),666658.1035597094,674234.4745724152,681978.5322737157,689722.589975016,697466.6476763163
Blackcliff (0 Stacks),636545.0975298054,636545.0975298054,636545.0975298054,636545.0975298054,636545.0975298054
MissiveWindspear (On),653500.901324675,660045.8529836191,666590.8046425631,673135.7563015074,679680.7079604515
MissiveWindspear (Off),627321.0946888981,627321.0946888981,627321.0946888981,627321.0946888981,627321.0946888981
WavebreakersFin,627784.4887150568,627784.4887150568,627784.4887150568,627784.4887150568,627784.4887150568
FavoniusLance,565466.5514817826,565466.5514817826,565466.5514817826,565466.5514817826,565466.5514817826
PrototypeStarglitter,537109.8443231174,537109.8443231174,537109.8443231174,537109.8443231174,537109.8443231174
WhiteTassel,555813.3827059355,555813.3827059355,555813.3827059355,555813.3827059355,555813.3827059355
