Weapon,R1,R2,R3,R4,R5
PJWS (Stacked),941529.9209619395,967215.3138600056,993214.2450811838,1019526.7146254753,1046152.7224928795
PJWS,906473.8450397744,923547.7600167664,940775.6661358149,958157.5633969203,975693.4518000823
Homa (50%),962830.029706545,995276.3341022902,1029476.195092326,1065429.6126766528,1103136.5868552702
Homa,893769.9703029322,909773.9279265186,926654.66384725,944412.1780651272,963046.4705801494
LumidouceElegy,890333.6402025704,903548.320148695,916763.0000948197,929977.6800409441,943192.3599870687
"Vortex (Shielded, Stacked)",929201.3778693136,956205.3246606647,983209.2714520158,1010213.2182433669,1037217.1650347178
"Vortex (Shielded, Unstacked)",910886.4698940816,933311.6896916246,955736.9094891677,978162.129286711,1000587.3490842538
CalamityQueller (Stacked),911743.0632748983,935658.5022664637,959859.8252689687,984347.0322824122,1009120.1233067955
CalamityQueller (Unstacked),900016.426442936,920820.3876633382,941838.305469411,963070.1798611534,984516.0108385665
"Vortex (Unshielded, Stacked)",875193.4842866114,888695.457682287,902197.4310779625,915699.4044736379,929201.3778693136
"Vortex (Unshielded, Unstacked)",866036.0302989956,877248.640197767,888461.2500965385,899673.85999531,910886.4698940816
StaffOfTheScarletSands,841887.7133874857,841887.7133874857,841887.7133874857,841887.7133874857,841887.7133874857
SkywardSpine,766164.2128863201,774989.4982460837,785602.0223978326,794144.8246278501,805081.973627385
EngulfingLightning,743762.3911284925,760986.211797578,779447.9230833291,799147.5249857457,820085.017504828
Lithic (4 Stacks),868823.4059584948,901784.7626758716,935346.4576371463,969510.2838286965,1004278.0342368991
Lithic (3 Stacks),834024.4353592462,857681.8437116496,881264.4620026455,905222.8789140349,933159.2589734345
Lithic (2 Stacks),798384.2893697834,814728.8116727147,829609.029162837,846540.2814648044,861377.0981611533
Lithic (1 Stacks),765021.0147640409,772922.0805863123,780859.2617176299,787664.900628375,795620.5561464796
Deathmatch (1 Opponent),809114.9699596713,826093.542377826,843072.1147959806,860050.6872141353,877029.2596322899
Deathmatch (2+ Opponents),786476.873402132,797795.9216809015,809114.9699596713,820434.0182384411,831753.0665172108
Blackcliff (3 Stacks),845832.8854963426,871644.993195316,897457.1008942898,923269.2085932633,949081.3162922371
Blackcliff (2 Stacks),811416.7418977111,828624.8136970268,845832.8854963426,863040.9572956583,880249.0290949738
Blackcliff (1 Stacks),777000.5982990796,785604.6341987376,794208.6700983953,802812.705998053,811416.7418977111
Blackcliff (0 Stacks),742725.3407219433,742725.3407219433,742725.3407219433,742725.3407219433,742725.3407219433
MissiveWindspear (On),756917.4220582235,764189.1910980677,771460.9601379115,778732.7291777553,786004.4982175994
MissiveWindspear (Off),727830.3458988476,727830.3458988476,727830.3458988476,727830.3458988476,727830.3458988476
WavebreakersFin,732282.0972285777,732282.0972285777,732282.0972285777,732282.0972285777,732282.0972285777
FavoniusLance,661075.299631837,661075.299631837,661075.299631837,661075.299631837,661075.299631837
PrototypeStarglitter,627601.1292996649,627601.1292996649,627601.1292996649,627601.1292996649,627601.1292996649
WhiteTassel,648545.088055674,648545.088055674,648545.088055674,648545.088055674,648545.088055674
