Weapon,R1,R2,R3,R4,R5
PJWS (Stacked),1049313.8004045228,1076940.0970730085,1104879.9320646075,1133133.3053793188,1161700.2170171433
PJWS,1010884.3896356577,1029161.291385354,1047592.1842771071,1066177.0683109167,1084915.9434867834
Homa (50%),1077338.6810756421,1113674.5099451703,1151974.1042884497,1192237.4641054797,1234464.5893962616
Homa,999999.9965338613,1017922.4402844063,1036826.7667718271,1056712.9759961234,1077581.0679572953
"Vortex (Shielded, Stacked)",1039843.1761380906,1070084.2408043349,1100325.305470579,1130566.3701368235,1160807.434803068
"Vortex (Shielded, Unstacked)",1017809.8400882792,1042542.5707420708,1067275.3013958621,1092008.032049654,1116740.7627034455
CalamityQueller (Stacked),1016156.3165323229,1041841.470145138,1067812.5077688922,1094069.4294035858,1120612.2350492186
CalamityQueller (Unstacked),1002182.1169298053,1024193.9020788183,1046419.6438135015,1068859.3421338552,1091512.997039879
"Vortex (Unshielded, Stacked)",979361.0468056016,994481.5791387236,1009602.1114718459,1024722.6438049681,1039843.1761380906
"Vortex (Unshielded, Unstacked)",968344.378780696,980710.7441075916,993077.1094344875,1005443.4747613831,1017809.8400882792
StaffOfTheScarletSands,941953.9588664982,941953.9588664982,941953.9588664982,941953.9588664982,941953.9588664982
SkywardSpine,857175.1105718745,867048.7314312789,878921.8930984787,888479.4753020675,900715.8232615988
EngulfingLightning,832334.2094433352,851695.9230694742,872457.2248745891,894618.1148586805,918178.5930217477
Lithic (4 Stacks),972198.9460745654,1009092.3450092967,1046658.0065849022,1084897.9387233122,1123814.1493464587
Lithic (3 Stacks),933242.3910501633,959721.7809033712,986117.7516759331,1012934.4975257814,1044202.8334462475
Lithic (2 Stacks),893345.2663935296,911638.9056698831,928294.190548175,947244.6157321768,963851.575894007
Lithic (1 Stacks),855996.5178663838,864839.7034649705,873723.333721694,881340.8830855545,890245.2493451737
Deathmatch (1 Opponent),905305.2660801442,924319.1572866839,943333.0484932231,962346.9396997624,981360.8309063017
Deathmatch (2+ Opponents),879953.4111380918,892629.3386091178,905305.2660801442,917981.1935511706,930657.121022197
Blackcliff (3 Stacks),946422.2396444799,975328.5926353227,1004234.945626165,1033141.2986170077,1062047.6516078506
Blackcliff (2 Stacks),907880.4356566896,927151.337650585,946422.2396444799,965693.141638375,984964.0436322701
Blackcliff (1 Stacks),869338.6316688997,878974.0826658473,888609.5336627945,898244.9846597422,907880.4356566896
Blackcliff (0 Stacks),830972.1904229333,830972.1904229333,830972.1904229333,830972.1904229333,830972.1904229333
MissiveWindspear (On),846972.6924551616,855116.170127927,863259.6478006925,871403.1254734579,879546.6031462236
MissiveWindspear (Off),814398.7817640993,814398.7817640993,814398.7817640993,814398.7817640993,814398.7817640993
WavebreakersFin,819309.9542331113,819309.9542331113,819309.9542331113,819309.9542331113,819309.9542331113
FavoniusLance,739604.307590875,739604.307590875,739604.307590875,739604.307590875,739604.307590875
PrototypeStarglitter,702154.5145078145,702154.5145078145,702154.5145078145,702154.5145078145,702154.5145078145
WhiteTassel,725588.2790934611,725588.2790934611,725588.2790934611,725588.2790934611,725588.2790934611
