Weapon,R1,R2,R3,R4,R5
PJWS,1491244.9872386402,1509454.0879878001,1527820.682394994,1546344.7704602224,1565026.3521834854
Homa (50%),1569681.2452360634,1599430.7218616062,1630788.00535098,1663753.0957041844,1698325.9929212201
Homa,1506361.2258610427,1521034.9883158356,1536512.6542025434,1552794.2235211667,1569879.6962717054
LumidouceElegy,1504594.2406664693,1516707.4271726515,1528820.613678834,1540933.8001850164,1553046.9866911983
"Vortex (Shielded, Stacked)",1421588.9207810948,1446466.2382553015,1471343.5557295089,1496220.8732037167,1521098.190677923
"Vortex (Shielded, Unstacked)",1403486.6376554328,1423838.384348224,1444190.131041016,1464541.877733808,1484893.624426599
CalamityQueller (Stacked),1440212.548176685,1469282.0324928528,1498643.7416153334,1528297.6755441276,1558243.834279235
CalamityQueller (Unstacked),1428614.668171194,1454603.2431993787,1480811.4673192326,1507239.3405307562,1533886.8628339493
"Vortex (Unshielded, Stacked)",1371834.285832681,1384272.9445697844,1396711.6033068872,1409150.262043991,1421588.9207810948
"Vortex (Unshielded, Unstacked)",1362783.1442698499,1372959.0176162457,1383134.8909626408,1393310.7643090365,1403486.6376554328
StaffOfTheScarletSands,1493596.93326642,1493596.93326642,1493596.93326642,1493596.93326642,1493596.93326642
SkywardSpine,1459726.7750579237,1476810.1784762382,1492192.0138222906,1508672.808068451,1524727.3361083684
EngulfingLightning,1408350.432168554,1426312.299905979,1445575.9387344038,1466141.3486538276,1488008.5296642506
Lithic (4 Stacks),1406226.824457614,1450786.7156805634,1495917.7217275924,1541621.456375087,1587899.5333994352
Lithic (3 Stacks),1364204.143041039,1395981.7671575183,1427430.0191898318,1459916.7556681174,1498552.1837745884
Lithic (2 Stacks),1319497.771644573,1342241.4973534583,1362276.170252453,1385736.709857422,1405549.510499638
Lithic (1 Stacks),1278226.470531939,1289562.678715611,1300932.615020868,1309632.274854389,1320453.6050631457
Deathmatch (1 Opponent),1434818.7891660915,1450383.831516473,1465948.8738668547,1481513.9162172363,1497078.9585676182
Deathmatch (2+ Opponents),1414065.3993655825,1424442.0942658377,1434818.7891660915,1445195.484066346,1455572.1789666
Blackcliff (3 Stacks),1436644.1972012497,1460326.8525086802,1484009.5078161105,1507692.1631235415,1531374.818430972
Blackcliff (2 Stacks),1405067.323458009,1420855.7603296288,1436644.1972012497,1452432.63407287,1468221.0709444904
Blackcliff (1 Stacks),1373490.449714768,1381384.6681505784,1389278.886586389,1397173.1050221988,1405067.323458009
Blackcliff (0 Stacks),1341913.5759715275,1341913.5759715275,1341913.5759715275,1341913.5759715275,1341913.5759715275
MissiveWindspear (On),1257828.4773374212,1264527.5761173542,1271226.674897287,1277925.7736772199,1284624.8724571522
MissiveWindspear (Off),1231032.0822176905,1231032.0822176905,1231032.0822176905,1231032.0822176905,1231032.0822176905
WavebreakersFin,1240795.2007639066,1240795.2007639066,1240795.2007639066,1240795.2007639066,1240795.2007639066
FavoniusLance,1319885.9347573963,1319885.9347573963,1319885.9347573963,1319885.9347573963,1319885.9347573963
PrototypeStarglitter,1281981.0381194972,1281981.0381194972,1281981.0381194972,1281981.0381194972,1281981.0381194972
WhiteTassel,1234377.274859014,1234377.274859014,1234377.274859014,1234377.274859014,1234377.274859014
