Weapon,R1,R2,R3,R4,R5
PJWS,839009.929780925,854823.1424839771,870790.3463290865,886911.5413162521,903186.7274454745
Homa (50%),888179.4183734199,917382.696505325,948164.2622695749,980524.1156661706,1014462.2566951112
Homa,826021.9505160309,840426.3036279402,855619.8005560221,871602.4413002768,888374.2258607037
LumidouceElegy,822987.1734763092,834881.0387739977,846774.9040716859,858668.7693693744,870562.6346670624
"Vortex (Shielded, Stacked)",854017.9045659353,878322.7917786188,902627.6789913026,926932.5662039864,951237.4534166702
"Vortex (Shielded, Unstacked)",836125.6163946236,855957.4315644796,875789.2467343354,895621.0619041915,915452.8770740473
CalamityQueller (Stacked),844983.6685083134,867632.4883818767,890567.1922663795,913787.7801618215,937294.2520682026
CalamityQueller (Unstacked),833518.3998285155,853121.083968957,872937.7246950687,892968.3220068506,913212.8759043026
"Vortex (Unshielded, Stacked)",805408.1301405675,817560.5737469094,829713.0173532513,841865.4609595931,854017.9045659353
"Vortex (Unshielded, Unstacked)",796461.9860549119,806377.8936398397,816293.8012247678,826209.7088096956,836125.6163946236
StaffOfTheScarletSands,778096.688507013,778096.688507013,778096.688507013,778096.688507013,778096.688507013
SkywardSpine,796802.7146134905,806376.785276704,815287.7375561836,824508.5164200503,833881.1762241366
EngulfingLightning,776036.705445516,793616.1206345533,812467.1810912505,832589.8868156077,853984.2378076254
Lithic (4 Stacks),800227.4422565383,830346.6606172619,861007.1917029438,892210.649289971,923958.6471547305
Lithic (3 Stacks),768577.9793530647,790199.4853850859,811745.7587050004,833631.9795222867,859174.6698235439
Lithic (2 Stacks),736137.4792352852,751088.2438613216,764686.117995154,780171.5285136335,793723.7799024652
Lithic (1 Stacks),705780.0867285759,713009.7084931955,720271.8358215316,726489.4993913801,733767.1489775027
Deathmatch (1 Opponent),746764.6273197674,762046.1819326583,777327.7365455491,792609.2911584403,807890.8457713309
Deathmatch (2+ Opponents),726389.2211692464,736576.9242445068,746764.6273197674,756952.330395028,767140.0334702889
Blackcliff (3 Stacks),780069.9298235197,803302.1029274208,826534.2760313221,849766.4491352229,872998.622239124
Blackcliff (2 Stacks),749093.6990183184,764581.814420919,780069.9298235197,795558.0452261205,811046.1606287211
Blackcliff (1 Stacks),718117.4682131173,725861.5259144175,733605.583615718,741349.6413170183,749093.6990183184
Blackcliff (0 Stacks),687141.2374079158,687141.2374079158,687141.2374079158,687141.2374079158,687141.2374079158
MissiveWindspear (On),697133.9123843027,703678.8640432471,710223.8157021909,716768.7673611352,723313.7190200792
MissiveWindspear (Off),670954.105748526,670954.105748526,670954.105748526,670954.105748526,670954.105748526
WavebreakersFin,677003.6627362292,677003.6627362292,677003.6627362292,677003.6627362292,677003.6627362292
FavoniusLance,690936.0789507113,690936.0789507113,690936.0789507113,690936.0789507113,690936.0789507113
PrototypeStarglitter,655762.4042335236,655762.4042335236,655762.4042335236,655762.4042335236,655762.4042335236
WhiteTassel,599722.59871453,599722.59871453,599722.59871453,599722.59871453,599722.59871453
