Weapon,R1,R2,R3,R4,R5
PJWS,973816.4869278463,991204.6695416886,1008746.8432975878,1026443.0081955434,1044293.1642355559
Homa (50%),1028726.087026552,1061172.391422297,1095372.252412333,1131325.6699966595,1169032.6441752773
Homa,959666.0276229392,975669.9852465255,992550.7211672569,1010308.235385134,1028942.5279001562
LumidouceElegy,956407.0399331935,969621.7198793181,982836.3998254427,996051.0797715674,1009265.7597176918
"Vortex (Shielded, Stacked)",983209.2714520158,1010213.2182433669,1037217.1650347178,1064221.1118260692,1091225.0586174203
"Vortex (Shielded, Unstacked)",964894.3634767836,987319.5832743269,1009744.8030718698,1032170.0228694131,1054595.2426669563
CalamityQueller (Stacked),975637.5545457443,1000148.5852267663,1024945.4999187277,1050028.2986216282,1075396.981335468
CalamityQueller (Unstacked),963910.9177137819,985310.4706236408,1006923.9801191699,1028751.4462003693,1050792.868867239
"Vortex (Unshielded, Stacked)",929201.3778693136,942703.3512649892,956205.3246606647,969707.2980563401,983209.2714520158
"Vortex (Unshielded, Unstacked)",920043.9238816977,931256.5337804691,942469.1436792406,953681.7535780121,964894.3634767836
StaffOfTheScarletSands,904715.2520921711,904715.2520921711,904715.2520921711,904715.2520921711,904715.2520921711
SkywardSpine,928622.9651637828,939875.0881984691,949717.1857246457,960550.6903481879,970856.8926102379
EngulfingLightning,900825.1329815997,920273.902686399,941120.4719843207,963364.8408753647,987007.0093595313
Lithic (4 Stacks),924531.2171927206,958873.916390143,993819.9421420924,1029371.0874349459,1065529.145255081
Lithic (3 Stacks),888728.628744648,913389.6549458755,937951.7129360614,962894.791660547,992048.2294893673
Lithic (2 Stacks),851981.2330768252,869058.2687375242,884564.2958830355,902248.0926990302,917690.6878945087
Lithic (1 Stacks),817613.9528796016,825876.171792334,834174.5060141124,841261.8443354166,849575.2768906964
Deathmatch (1 Opponent),865710.2113535202,882688.7837716745,899667.3561898293,916645.928607984,933624.5010261385
Deathmatch (2+ Opponents),843072.1147959806,854391.1630747503,865710.2113535202,877029.2596322899,888348.3079110596
Blackcliff (3 Stacks),903193.124827395,929005.2325263686,954817.3402253422,980629.4479243157,1006441.5556232893
Blackcliff (2 Stacks),868776.9812287632,885985.0530280793,903193.124827395,920401.1966267108,937609.2684260265
Blackcliff (1 Stacks),834360.837630132,842964.8735297899,851568.9094294477,860172.9453291056,868776.9812287632
Blackcliff (0 Stacks),799944.6940315006,799944.6940315006,799944.6940315006,799944.6940315006,799944.6940315006
MissiveWindspear (On),805395.88232385,812667.6513636942,819939.4204035379,827211.189443382,834482.958483226
MissiveWindspear (Off),776308.8061644741,776308.8061644741,776308.8061644741,776308.8061644741,776308.8061644741
WavebreakersFin,786967.0642786766,786967.0642786766,786967.0642786766,786967.0642786766,786967.0642786766
FavoniusLance,804717.048341015,804717.048341015,804717.048341015,804717.048341015,804717.048341015
PrototypeStarglitter,763414.6042388346,763414.6042388346,763414.6042388346,763414.6042388346,763414.6042388346
WhiteTassel,697456.0946391305,697456.0946391305,697456.0946391305,697456.0946391305,697456.0946391305
