Weapon,R1,R2,R3,R4,R5
PJWS,1086149.087729526,1104740.2571160728,1123485.4176446763,1142384.5693153369,1161437.7121280537
Homa (50%),1151134.0764695897,1187469.905339118,1225769.499682397,1266032.8594994277,1308259.984790209
Homa,1073795.391927809,1091717.8356783541,1110622.162165775,1130508.371390071,1151376.4633512432
LumidouceElegy,1070143.2781661872,1084942.07753734,1099740.8769084925,1114539.676279645,1129338.4756507971
"Vortex (Shielded, Stacked)",1100325.305470579,1130566.3701368235,1160807.434803068,1191048.4994693124,1221289.5641355568
"Vortex (Shielded, Unstacked)",1078291.9694207679,1103024.7000745595,1127757.430728351,1152490.1613821427,1177222.8920359341
CalamityQueller (Stacked),1087424.6187250423,1113705.3640273144,1140271.9933405253,1167124.5066646754,1194262.903999765
CalamityQueller (Unstacked),1073450.4191225248,1096057.7959609947,1118879.1293851347,1141914.4193949448,1165163.6659904253
"Vortex (Unshielded, Stacked)",1039843.1761380906,1054963.7084712125,1070084.2408043349,1085204.7731374567,1100325.305470579
"Vortex (Unshielded, Unstacked)",1028826.5081131848,1041192.8734400806,1053559.2387669764,1065925.604093872,1078291.9694207679
StaffOfTheScarletSands,1012276.2184510083,1012276.2184510083,1012276.2184510083,1012276.2184510083,1012276.2184510083
SkywardSpine,1039006.2584976424,1051595.8957271748,1062607.9009327944,1074729.1595356746,1086277.3741940383
EngulfingLightning,1008149.1032183977,1030011.9358987759,1053455.1535992625,1078478.7563198584,1105082.744060563
Lithic (4 Stacks),1034584.7719305375,1073025.1027855559,1112141.0428180008,1151934.5999498016,1192407.78210289
Lithic (3 Stacks),994504.2896335407,1022107.606759343,1049600.428281492,1077519.8729995568,1110151.1623798271
Lithic (2 Stacks),953367.1829334049,972481.146142119,989837.2600660173,1009630.4415881486,1026915.7983898162
Lithic (1 Stacks),914894.0729100734,924141.7050900218,933429.7819281067,941362.7996254298,950667.8317062682
Deathmatch (1 Opponent),968684.9034352755,987698.7946418149,1006712.6858483546,1025726.577054894,1044740.4682614332
Deathmatch (2+ Opponents),943333.0484932231,956008.9759642493,968684.9034352755,981360.8309063019,994036.7583773283
Blackcliff (3 Stacks),1010658.5796241306,1039564.9326149728,1068471.2856058155,1097377.6385966581,1126283.9915875008
Blackcliff (2 Stacks),972116.7756363399,991387.6776302347,1010658.5796241306,1029929.4816180253,1049200.3836119203
Blackcliff (1 Stacks),933574.9716485499,943210.4226454976,952845.873642445,962481.3246393923,972116.7756363399
Blackcliff (0 Stacks),895033.1676607595,895033.1676607595,895033.1676607595,895033.1676607595,895033.1676607595
MissiveWindspear (On),901262.5436069317,909406.0212796973,917549.4989524626,925692.9766252282,933836.4542979936
MissiveWindspear (Off),868688.6329158695,868688.6329158695,868688.6329158695,868688.6329158695,868688.6329158695
WavebreakersFin,880550.321710178,880550.321710178,880550.321710178,880550.321710178,880550.321710178
FavoniusLance,900372.4816338626,900372.4816338626,900372.4816338626,900372.4816338626,900372.4816338626
PrototypeStarglitter,854160.7895751137,854160.7895751137,854160.7895751137,854160.7895751137,854160.7895751137
WhiteTassel,780362.5283693173,780362.5283693173,780362.5283693173,780362.5283693173,780362.5283693173
