Weapon,R1,R2,R3,R4,R5
PJWS,1463919.414263461,1483387.333754431,1503012.7469034349,1522795.653710473,1542736.054175546
Homa (50%),1537665.215676537,1572466.8982284525,1609149.4335020517,1647712.821497336,1688157.0622143038
Homa,1463591.8717583267,1480757.606444074,1498863.7674906633,1517910.3548980944,1537897.3686663683
LumidouceElegy,1460790.0339094456,1474960.1597437062,1489130.2855779668,1503300.4114122284,1517470.5372464887
"Vortex (Shielded, Stacked)",1417113.7881022845,1446215.4416729393,1475317.095243595,1504418.748814251,1533520.4023849058
"Vortex (Shielded, Unstacked)",1396891.681308741,1420937.80818101,1444983.9350532796,1469030.0619255498,1493076.1887978187
CalamityQueller (Stacked),1432233.0884132893,1461355.186045845,1490769.5084847137,1520476.0557298963,1550474.8277813927
CalamityQueller (Unstacked),1419356.3702891816,1445077.8491041008,1471018.9770106883,1497179.7540089465,1523560.1800988736
"Vortex (Unshielded, Stacked)",1358910.4809609735,1373461.3077463014,1388012.1345316286,1402562.9613169564,1417113.7881022845
"Vortex (Unshielded, Unstacked)",1348799.4275642019,1360822.4910003366,1372845.5544364708,1384868.6178726058,1396891.681308741
StaffOfTheScarletSands,1422290.1700459495,1422290.1700459495,1422290.1700459495,1422290.1700459495,1422290.1700459495
SkywardSpine,1425201.7417967052,1441841.2782611717,1456901.5861963578,1472942.565380497,1488669.840815684
EngulfingLightning,1371354.9498256412,1392664.317038813,1415550.5645172573,1440013.692260974,1466053.7002699638
Lithic (4 Stacks),1375661.6001817125,1421265.940840361,1467524.271519625,1514438.4796880167,1562010.452814051
Lithic (3 Stacks),1331172.51666237,1363676.7937726756,1395910.307871019,1429145.7042747433,1468574.3533302047
Lithic (2 Stacks),1284170.7265334576,1307319.057448953,1327785.792517614,1351691.987363639,1371977.9789065518
Lithic (1 Stacks),1240702.0635111933,1252188.956932166,1263715.298673267,1272630.1731809094,1283669.9893381237
Deathmatch (1 Opponent),1355119.5732127049,1373327.9070560886,1391536.240899472,1409744.574742856,1427952.9085862392
Deathmatch (2+ Opponents),1330841.7947548607,1342980.683983783,1355119.5732127049,1367258.4624416274,1379397.3516705497
Blackcliff (3 Stacks),1380129.9028142525,1407834.4042382815,1435538.9056623108,1463243.4070863407,1490947.90851037
Blackcliff (2 Stacks),1343190.5675822133,1361660.2351982323,1380129.9028142525,1398599.570430272,1417069.2380462915
Blackcliff (1 Stacks),1306251.2323501736,1315486.0661581839,1324720.8999661936,1333955.733774203,1343190.5675822133
Blackcliff (0 Stacks),1269311.897118135,1269311.897118135,1269311.897118135,1269311.897118135,1269311.897118135
MissiveWindspear (On),1216429.9778063039,1224266.6286884313,1232103.2795705583,1239939.9304526856,1247776.5813348126
MissiveWindspear (Off),1185083.3742777952,1185083.3742777952,1185083.3742777952,1185083.3742777952,1185083.3742777952
WavebreakersFin,1206736.2895909755,1206736.2895909755,1206736.2895909755,1206736.2895909755,1206736.2895909755
FavoniusLance,1262716.5411814074,1262716.5411814074,1262716.5411814074,1262716.5411814074,1262716.5411814074
PrototypeStarglitter,1212615.7078224549,1212615.7078224549,1212615.7078224549,1212615.7078224549,1212615.7078224549
WhiteTassel,1138712.2828261512,1138712.2828261512,1138712.2828261512,1138712.2828261512,1138712.2828261512
