Weapon,R1,R2,R3,R4,R5
PJWS,533315.9851803342,543608.4582347568,554012.4699915077,564528.0204505872,575155.1096119947
Homa (50%),565369.4477115842,583734.6069963445,603092.309092027,623442.5539986319,644785.341716159
Homa,526280.2813247745,535338.7931157895,544893.5763122654,554944.6309142025,565491.9569216007
LumidouceElegy,523329.74273447425,530794.3508524945,538258.9589705146,545723.567088535,553188.1752065553
"Vortex (Shielded, Stacked)",531512.4016685096,546483.2099902902,561454.0183120709,576424.8266338515,591395.6349556322
"Vortex (Shielded, Unstacked)",520895.69204347103,533212.3229589919,545528.9538745129,557845.5847900339,570162.2157055548
CalamityQueller (Stacked),531893.3162271992,546886.1139854115,562083.039548686,577484.0929170226,593089.2740904215
CalamityQueller (Unstacked),525018.1858872297,538163.8064416347,551462.1969535758,564913.357423053,578517.2878500666
"Vortex (Unshielded, Stacked)",501570.7850249482,509056.18918583856,516541.59334672894,524026.99750761944,531512.4016685096
"Vortex (Unshielded, Unstacked)",496262.43021242885,502420.7456701894,508579.06112795,514737.37658571056,520895.69204347103
StaffOfTheScarletSands,497105.20431355503,497105.20431355503,497105.20431355503,497105.20431355503,497105.20431355503
SkywardSpine,506767.3635331731,512594.59737492586,519669.0803646379,525310.8580996894,532598.7729696974
EngulfingLightning,489536.59449954727,500514.7983220137,512290.6279523399,524864.0833905262,538235.1646365725
Lithic (4 Stacks),500701.96154046914,520684.9358557126,541517.0305358354,562730.6939332561,584327.0650710473
Lithic (3 Stacks),479853.6172990511,494492.8742879419,509321.93513912836,524563.1411729532,540197.8413314656
Lithic (2 Stacks),459798.5682555095,469060.38002003956,478587.55033025256,488283.7870354148,498064.3810127083
Lithic (1 Stacks),440218.3492339786,444738.009796532,449277.8967808509,453838.0101869355,458418.3500147861
Deathmatch (1 Opponent),473858.9829419597,483475.2114673316,493091.43999270356,502707.6685180757,512323.8970434476
Deathmatch (2+ Opponents),461037.3449081304,467448.1639250448,473858.9829419597,480269.80195887433,486680.620975789
Blackcliff (3 Stacks),493454.04002522177,508008.374660265,522562.7092953081,537117.0439303514,551671.3785653944
Blackcliff (2 Stacks),474048.2605118311,483751.15026852646,493454.04002522177,503156.92978191725,512859.8195386128
Blackcliff (1 Stacks),454642.48099844024,459493.925876788,464345.3707551355,469196.81563348335,474048.2605118311
Blackcliff (0 Stacks),435236.7014850494,435236.7014850494,435236.7014850494,435236.7014850494,435236.7014850494
MissiveWindspear (On),433362.0966345529,437393.5169782869,441424.93732202094,445456.357665755,449487.77800948895
MissiveWindspear (Off),417236.41525961686,417236.41525961686,417236.41525961686,417236.41525961686,417236.41525961686
WavebreakersFin,422664.5892204021,422664.5892204021,422664.5892204021,422664.5892204021,422664.5892204021
FavoniusLance,435717.3667455848,435717.3667455848,435717.3667455848,435717.3667455848,435717.3667455848
PrototypeStarglitter,412844.1834932977,412844.1834932977,412844.1834932977,412844.1834932977,412844.1834932977
WhiteTassel,377199.2406745722,377199.2406745722,377199.2406745722,377199.2406745722,377199.2406745722
