Weapon,R1,R2,R3,R4,R5
PJWS (Stacked),943009.8025435249,967750.9545188559,992805.6448172994,1018173.8734388562,1043855.6403835253
PJWS,908226.488874717,924320.9967811153,940569.4958295701,956971.9860200819,973528.4673526501
Homa (50%),949530.6780220603,977097.0051111198,1006153.1510115238,1036699.1157232726,1068734.8992463662
Homa,890857.3646274072,904454.3008205185,918796.1464193028,933882.901423759,949714.5658338878
"Vortex (Shielded, Stacked)",897234.0629077471,920176.5718870917,943119.080866437,966061.5898457817,989004.0988251268
"Vortex (Shielded, Unstacked)",882597.7921165017,901881.233398035,921164.674679569,940448.1159611023,959731.557242636
CalamityQueller (Stacked),907993.7200570513,931076.5218667563,954445.2076874004,978099.7775189837,1002040.2313615064
CalamityQueller (Unstacked),898501.6285701132,919031.5889449111,939775.5059053792,960733.3794515172,981905.2095833259
"Vortex (Unshielded, Stacked)",851349.0449490569,862820.2994387295,874291.553928402,885762.8084180746,897234.0629077471
"Vortex (Unshielded, Unstacked)",844030.9095534344,853672.6301942013,863314.350834968,872956.0714757349,882597.7921165017
StaffOfTheScarletSands,843079.1746664854,843079.1746664854,843079.1746664854,843079.1746664854,843079.1746664854
SkywardSpine,772281.5503845064,781177.3000757481,791874.5585322999,800485.5696443592,811510.0448731446
EngulfingLightning,739765.2603524759,754435.1912953753,770163.4868254687,786950.146942756,804795.171647237
Lithic (4 Stacks),849333.6564344481,880094.4808282766,911371.3157385734,943165.6844836287,975479.1103817329
Lithic (3 Stacks),817765.4683262584,839867.8033920311,861858.3417314157,884178.5803580168,910342.3102486631
Lithic (2 Stacks),785275.7885998025,800624.032132165,814515.243406628,830401.9503496141,844216.3098166309
Lithic (1 Stacks),754926.5915927783,762360.1204120974,769824.3327388492,776168.6134763641,783641.7836202745
Deathmatch (1 Opponent),800389.1620951301,814814.1294219334,829239.0967487365,843664.0640755396,858089.031402343
Deathmatch (2+ Opponents),781155.8723260593,790772.5172105948,800389.1620951301,810005.8069796655,819622.4518642011
Blackcliff (3 Stacks),833104.7848667353,855034.7093046398,876964.6337425443,898894.5581804487,920824.4826183531
Blackcliff (2 Stacks),803864.8856161961,818484.8352414658,833104.7848667353,847724.734492005,862344.6841172746
Blackcliff (1 Stacks),774624.9863656568,781934.9611782917,789244.9359909263,796554.9108035612,803864.8856161961
Blackcliff (0 Stacks),745385.0871151177,745385.0871151177,745385.0871151177,745385.0871151177,745385.0871151177
MissiveWindspear (On),739835.016544574,746013.0996144819,752191.1826843901,758369.2657542981,764547.3488242059
MissiveWindspear (Off),715122.6842649421,715122.6842649421,715122.6842649421,715122.6842649421,715122.6842649421
WavebreakersFin,731281.9946530501,731281.9946530501,731281.9946530501,731281.9946530501,731281.9946530501
FavoniusLance,664596.2611307559,664596.2611307559,664596.2611307559,664596.2611307559,664596.2611307559
PrototypeStarglitter,629968.1059513764,629968.1059513764,629968.1059513764,629968.1059513764,629968.1059513764
WhiteTassel,648637.5158403786,648637.5158403786,648637.5158403786,648637.5158403786,648637.5158403786
