Weapon,R1,R2,R3,R4,R5
PJWS (Stacked),1069252.0729456139,1095934.128691365,1122929.722760229,1150238.8551522056,1177861.525867295
PJWS,1031095.4244301063,1048392.9191092089,1065844.404930368,1083449.8818935845,1101209.3499988576
Homa (50%),1082444.7871034392,1113900.6386662817,1147056.5179199295,1181912.4248643823,1218468.3594996396
Homa,1015492.8485706185,1031008.2708906886,1047373.7070561617,1064589.1570670374,1082654.6209233154
"Vortex (Shielded, Stacked)",1022960.8304735266,1049140.457327765,1075320.084182003,1101499.7110362416,1127679.3378904797
"Vortex (Shielded, Unstacked)",1004606.131607702,1026197.0837454842,1047788.0358832661,1069378.9880210485,1090969.9401588305
CalamityQueller (Stacked),1029587.9527624415,1054440.469193396,1079578.8696352898,1105003.1540881228,1130713.3225518954
CalamityQueller (Unstacked),1017848.298504948,1039586.0828083565,1061537.8236974357,1083703.5211721845,1106083.1752326044
"Vortex (Unshielded, Stacked)",970601.57676505,983691.3901921695,996781.2036192884,1009871.0170464073,1022960.8304735266
"Vortex (Unshielded, Unstacked)",961424.2273321376,972219.7034010291,983015.17946992,993810.6555388109,1004606.131607702
StaffOfTheScarletSands,960974.3053432873,960974.3053432873,960974.3053432873,960974.3053432873,960974.3053432873
SkywardSpine,880276.5219698376,890416.2431565234,902609.3940404952,912424.5591296948,924990.6844062943
EngulfingLightning,843422.0479643214,860229.8718642746,878257.7579137319,897505.7061126936,917973.7164611596
Lithic (4 Stacks),968268.970619187,1003347.6606261341,1039015.1202129249,1075273.087633404,1112123.3011414143
Lithic (3 Stacks),932262.8771284589,957467.5146524211,982544.9732207962,1007998.5671242878,1037834.1898345918
Lithic (2 Stacks),895206.9523240512,912708.9114686374,928549.985310476,946666.058685655,962419.7618860023
Lithic (1 Stacks),860591.8521376614,869068.3745670952,877579.9098530515,884814.7826340459,893336.5943862932
Deathmatch (1 Opponent),912387.1008053918,928847.3869205795,945307.6730357673,961767.9591509557,978228.2452661433
Deathmatch (2+ Opponents),890440.0526518078,901413.5767285996,912387.1008053918,923360.6248821834,934334.1489589752
Blackcliff (3 Stacks),949715.4535261056,974739.623255879,999763.7929856528,1024787.9627154261,1049812.1324451999
Blackcliff (2 Stacks),916349.893886408,933032.6737062568,949715.4535261056,966398.2333459547,983081.0131658037
Blackcliff (1 Stacks),882984.3342467098,891325.7241566344,899667.1140665588,908008.5039764831,916349.893886408
Blackcliff (0 Stacks),849618.7746070119,849618.7746070119,849618.7746070119,849618.7746070119,849618.7746070119
MissiveWindspear (On),843430.8277062268,850480.6194090563,857530.4111118858,864580.2028147153,871629.994517545
MissiveWindspear (Off),815231.6608949085,815231.6608949085,815231.6608949085,815231.6608949085,815231.6608949085
WavebreakersFin,833583.934652418,833583.934652418,833583.934652418,833583.934652418,833583.934652418
FavoniusLance,757532.5809695682,757532.5809695682,757532.5809695682,757532.5809695682,757532.5809695682
PrototypeStarglitter,718062.0319242408,718062.0319242408,718062.0319242408,718062.0319242408,718062.0319242408
WhiteTassel,739342.062351457,739342.062351457,739342.062351457,739342.062351457,739342.062351457
