Weapon,R1,R2,R3,R4,R5
PJWS (Stacked),702736.7227508466,722615.53471835,742756.8803336092,763160.759596623,783827.1725073925
PJWS,686293.5418568789,702096.889613901,718094.6722817268,734286.8898603558,750673.5423497882
Homa (50%),723827.9565919985,746629.0586659749,770662.4435420622,795928.1112202602,822426.0617005681
Homa,675297.1456715674,686543.661358292,698406.3184460716,710885.1169349067,723980.0568247971
"Vortex (Shielded, Stacked)",677473.8062796275,696060.6817530196,714647.5572264125,733234.4326998054,751821.3081731981
"Vortex (Shielded, Unstacked)",670359.6163123649,687167.9442939415,703976.2722755186,720784.6002570959,737592.928238673
CalamityQueller (Stacked),661559.3129679323,679755.5333194159,698187.7290322053,716855.9001062999,735760.0465417006
CalamityQueller (Unstacked),653771.7367969352,669887.2320574842,686185.1702600649,702665.5514046769,719328.3754913205
"Vortex (Unshielded, Stacked)",640300.0553328418,649593.4930695384,658886.930806235,668180.368542931,677473.8062796275
"Vortex (Unshielded, Unstacked)",636742.9603492107,645147.1243399993,653551.288330788,661955.4523215762,670359.6163123649
StaffOfTheScarletSands,650423.2005952047,650423.2005952047,650423.2005952047,650423.2005952047,650423.2005952047
SkywardSpine,563444.6440080443,571210.2965493265,579077.7033712581,586945.1101931893,594812.5170151211
EngulfingLightning,550151.9247519478,562152.0327707537,575030.5317256906,588787.4216167581,603422.7024439562
Lithic (4 Stacks),645953.154790931,671423.4251571841,697972.1567864639,724996.1082780709,752496.6937760875
Lithic (3 Stacks),619573.638065315,638244.3170925521,657150.6454365812,676579.398024702,696506.2322527764
Lithic (2 Stacks),594196.8162244604,606012.515014803,618166.9098149453,630535.4793941726,643008.7820030857
Lithic (1 Stacks),569412.0007022212,575181.7344485887,580976.5801311024,586796.5377497621,592641.6073045678
Deathmatch (1 Opponent),632739.9304609386,644678.8744566839,656617.8184524289,668556.7624481742,680495.7064439191
Deathmatch (2+ Opponents),616821.3384666116,624780.6344637753,632739.9304609386,640699.2264581019,648658.5224552653
Blackcliff (3 Stacks),647001.9879119475,665071.7941405172,683141.6003690864,701211.406597656,719281.2128262252
Blackcliff (2 Stacks),622908.9129405213,634955.450426234,647001.9879119475,659048.5253976602,671095.0628833733
Blackcliff (1 Stacks),598815.8379690954,604839.1067119519,610862.3754548085,616885.6441976652,622908.9129405213
Blackcliff (0 Stacks),574722.7629976695,574722.7629976695,574722.7629976695,574722.7629976695,574722.7629976695
MissiveWindspear (On),566587.8605667807,571593.035056983,576598.2095471855,581603.3840373877,586608.5585275901
MissiveWindspear (Off),546567.1626059714,546567.1626059714,546567.1626059714,546567.1626059714,546567.1626059714
WavebreakersFin,540991.2877407438,540991.2877407438,540991.2877407438,540991.2877407438,540991.2877407438
FavoniusLance,496299.506156942,496299.506156942,496299.506156942,496299.506156942,496299.506156942
PrototypeStarglitter,477579.1742160158,477579.1742160158,477579.1742160158,477579.1742160158,477579.1742160158
WhiteTassel,516055.0744869848,516055.0744869848,516055.0744869848,516055.0744869848,516055.0744869848
