Weapon,R1,R2,R3,R4,R5
PJWS (Stacked),525364.0767797908,542853.7582913225,560687.7135605556,578997.9078010708,597570.635689341
PJWS,512902.7430448853,527311.5327685387,541909.863005405,556812.7347240229,572061.2302851303
Homa (50%),543949.4734920498,566493.8338454332,590527.2187215202,615792.8863997179,642290.836880026
Homa,497467.4088454234,508052.47153159115,519351.2879225633,531314.225113915,544097.9590076474
"Vortex (Shielded, Stacked)",532868.2436542535,551455.1191276459,570041.9946010385,588628.8700744313,607215.7455478241
"Vortex (Shielded, Unstacked)",525754.053686991,542562.3816685677,559370.7096501446,576179.0376317218,592987.3656132987
CalamityQueller (Stacked),506913.207983822,523289.2295305454,539901.2264385744,556749.198707909,573833.1463385492
CalamityQueller (Unstacked),499125.63181282487,513420.9282686137,527898.6676664341,542558.8500062858,557401.4752881692
"Vortex (Unshielded, Stacked)",495694.4927074681,504987.9304441645,514281.3681808607,523574.8059175571,532868.2436542535
"Vortex (Unshielded, Unstacked)",492137.3977238369,500541.5617146253,508945.7257054138,517349.88969620224,525754.053686991
StaffOfTheScarletSands,467515.6088536056,467515.6088536056,467515.6088536056,467515.6088536056,467515.6088536056
SkywardSpine,411683.3873727863,417427.736523722,423301.92859927745,429176.12067483226,435050.3127503872
EngulfingLightning,405546.36212657363,417546.47014537954,430424.9691003166,444181.8589913843,458817.1398185823
Lithic (4 Stacks),489932.8947585801,511163.7518267835,533317.4843597094,555936.8964007072,579023.4020938607
Lithic (3 Stacks),466732.9380065014,482224.05706020124,497950.8254306934,514131.1627401941,530748.3412548981
Lithic (2 Stacks),444421.5301035675,454204.2527381077,464266.3564316198,474515.2193618218,484868.8153217099
Lithic (1 Stacks),422686.17881503166,427439.42448349815,432217.7820881104,437021.2516288692,441849.8331057736
Deathmatch (1 Opponent),453057.0111085797,464622.9716499468,476279.82482431567,488143.861333604,500082.80532934924
Deathmatch (2+ Opponents),437890.6613045897,445473.8362065848,453057.0111085797,460737.3539251572,468508.5893747365
Blackcliff (3 Stacks),475429.5756430842,493499.3818716533,511569.18810022273,529638.9943287922,547708.8005573617
Blackcliff (2 Stacks),451650.63184748136,463400.817709248,475429.5756430842,487476.11312879686,499522.6506145097
Blackcliff (1 Stacks),428481.1845584611,434208.1016773716,439935.01879628195,445775.5389165977,451650.63184748136
Blackcliff (0 Stacks),405995.68456002587,405995.68456002587,405995.68456002587,405995.68456002587,405995.68456002587
MissiveWindspear (On),424015.7958338132,429020.97032401565,434026.144814218,439031.31930442003,444036.49379462254
MissiveWindspear (Off),403995.0978730037,403995.0978730037,403995.0978730037,403995.0978730037,403995.0978730037
WavebreakersFin,396385.36725895444,396385.36725895444,396385.36725895444,396385.36725895444,396385.36725895444
FavoniusLance,353868.1393028036,353868.1393028036,353868.1393028036,353868.1393028036,353868.1393028036
PrototypeStarglitter,335930.03477228864,335930.03477228864,335930.03477228864,335930.03477228864,335930.03477228864
WhiteTassel,352885.3441321056,352885.3441321056,352885.3441321056,352885.3441321056,352885.3441321056
