Weapon,R1,R2,R3,R4,R5
PJWS (Stacked),764829.6687688215,785439.3203920509,806311.5056630361,827446.224581776,848843.4771482714
PJWS,747052.3085386527,763252.9511173506,779648.0286068525,796237.5410071572,813021.4883182653
Homa (50%),783208.6451140478,806009.7471880243,830043.1320641114,855308.7997423095,881806.7502226173
Homa,734677.8341936166,745924.349880341,757787.0069681208,770265.8054569559,783360.7453468463
"Vortex (Shielded, Stacked)",725142.316874196,743729.1923475884,762316.0678209813,780902.943294374,799489.818767767
"Vortex (Shielded, Unstacked)",718028.1269069335,734836.4548885102,751644.7828700873,768453.1108516646,785261.4388332419
CalamityQueller (Stacked),718533.5863391648,737400.3991009974,756503.187224136,775841.9507085797,795416.6895543297
CalamityQueller (Unstacked),710746.0101681678,727532.0978390657,744500.6284519957,761651.6020069567,778985.0185039496
"Vortex (Unshielded, Stacked)",687968.5659274106,697262.0036641071,706555.4414008035,715848.8791374996,725142.316874196
"Vortex (Unshielded, Unstacked)",684411.4709437793,692815.6349345681,701219.7989253566,709623.9629161448,718028.1269069335
StaffOfTheScarletSands,709519.6387651896,709519.6387651896,709519.6387651896,709519.6387651896,709519.6387651896
SkywardSpine,617270.1139446789,625777.6138028968,634396.5884565162,643015.563110135,651634.5377637544
EngulfingLightning,597820.4353465164,609820.5433653226,622699.0423202593,636455.9322113268,651091.213038525
Lithic (4 Stacks),695378.9999286783,722192.2791137915,750133.3077734178,778552.5785956283,807451.5057245045
Lithic (3 Stacks),667992.2265889172,687670.1622302992,707583.7471884734,728041.5691453469,749016.873172885
Lithic (2 Stacks),641644.3085933238,654104.0363362177,666921.2505432623,679961.3245319198,693106.1315502629
Lithic (1 Stacks),615893.4496422574,621985.1978649006,628102.05802369,634244.0301186253,640411.1141497069
Deathmatch (1 Opponent),683771.6095224919,695710.5535182375,707649.4975139825,719588.441509728,731527.3855054725
Deathmatch (2+ Opponents),667853.017528165,675812.3135253288,683771.6095224919,691730.9055196557,699690.2015168188
Blackcliff (3 Stacks),698493.56329692,716563.3695254896,734633.1757540591,752702.9819826286,770772.7882111978
Blackcliff (2 Stacks),674400.4883254939,686447.0258112069,698493.56329692,710540.1007826332,722586.6382683463
Blackcliff (1 Stacks),650307.4133540681,656330.6820969249,662353.950839781,668377.2195826377,674400.4883254939
Blackcliff (0 Stacks),626214.3383826424,626214.3383826424,626214.3383826424,626214.3383826424,626214.3383826424
MissiveWindspear (On),609375.9762195735,614381.150709776,619386.3251999784,624391.4996901808,629396.6741803831
MissiveWindspear (Off),589355.2782587643,589355.2782587643,589355.2782587643,589355.2782587643,589355.2782587643
WavebreakersFin,589257.3977159384,589257.3977159384,589257.3977159384,589257.3977159384,589257.3977159384
FavoniusLance,541826.6189709356,541826.6189709356,541826.6189709356,541826.6189709356,541826.6189709356
PrototypeStarglitter,520367.2898688086,520367.2898688086,520367.2898688086,520367.2898688086,520367.2898688086
WhiteTassel,559825.1116749033,559825.1116749033,559825.1116749033,559825.1116749033,559825.1116749033
