Weapon,R1,R2,R3,R4,R5
PJWS (Stacked),1137298.4362867698,1167322.3858634024,1197708.7912997706,1228457.6525958737,1259568.9697517122
PJWS,1112510.3511642206,1136442.5295488997,1160643.1461827725,1185112.2010658386,1209849.6941980976
Homa (50%),1170663.6712175733,1206577.727166524,1244432.753922778,1284228.7514863347,1325965.719857195
Homa,1094222.7056454062,1111937.1122689687,1130622.0042961827,1150277.3817270484,1170903.244561565
"Vortex (Shielded, Stacked)",1114510.7797157501,1144400.8172398466,1174290.854763943,1204180.8922880387,1234070.9298121354
"Vortex (Shielded, Unstacked)",1102411.0978239775,1129276.2148751307,1156141.3319262841,1183006.4489774369,1209871.5660285903
CalamityQueller (Stacked),1083699.7301639526,1111525.30149288,1139681.359806432,1168167.9051046066,1196984.937387406
CalamityQueller (Unstacked),1070878.8053238061,1095311.7130797626,1120000.13487517,1144944.0707100264,1170143.5205843335
"Vortex (Unshielded, Stacked)",1054730.7046675575,1069675.7234296054,1084620.742191654,1099565.7609537018,1114510.7797157501
"Vortex (Unshielded, Unstacked)",1048680.863721671,1062113.4222472475,1075545.9807728245,1088978.5392984007,1102411.0978239775
StaffOfTheScarletSands,1051136.14992053,1051136.14992053,1051136.14992053,1051136.14992053,1051136.14992053
SkywardSpine,1044168.1094153199,1056820.2927844494,1067887.0063507855,1080068.4841576708,1091657.0493072723
EngulfingLightning,1027181.5820659383,1048925.712772261,1072256.4428325589,1097173.772246831,1123677.701015078
Lithic (4 Stacks),1060412.140503689,1099344.4705827602,1138946.5972613287,1179220.5051541082,1220168.1788758098
Lithic (3 Stacks),1020115.2458070335,1048079.8056709925,1075918.7308535841,1104182.8739789925,1137262.0105002348
Lithic (2 Stacks),978703.6054295285,998093.219949226,1015672.9170669788,1035747.4708382968,1053243.6271021783
Lithic (1 Stacks),939995.1618683726,949380.7441880349,958806.3016991357,966838.5645822895,976278.5875285838
Deathmatch (1 Opponent),1027228.0566727734,1046021.2416321941,1064814.4265916154,1083607.6115510364,1102400.7965104578
Deathmatch (2+ Opponents),1002170.4767268781,1014699.2666998255,1027228.0566727734,1039756.8466457205,1052285.6366186675
Blackcliff (3 Stacks),1052602.7302733725,1081173.5489636776,1109744.3676539822,1138315.1863442874,1166886.0050345927
Blackcliff (2 Stacks),1014508.3053529662,1033555.5178131689,1052602.7302733725,1071649.9427335758,1090697.155193779
Blackcliff (1 Stacks),976413.8804325591,985937.4866626611,995461.0928927624,1004984.6991228639,1014508.3053529662
Blackcliff (0 Stacks),938319.4555121523,938319.4555121523,938319.4555121523,938319.4555121523,938319.4555121523
MissiveWindspear (On),936165.2963077333,944214.2474905697,952263.198673406,960312.1498562426,968361.1010390794
MissiveWindspear (Off),903969.4915763873,903969.4915763873,903969.4915763873,903969.4915763873,903969.4915763873
WavebreakersFin,895032.9898221731,895032.9898221731,895032.9898221731,895032.9898221731,895032.9898221731
FavoniusLance,929480.9598173059,929480.9598173059,929480.9598173059,929480.9598173059,929480.9598173059
PrototypeStarglitter,895470.3757947551,895470.3757947551,895470.3757947551,895470.3757947551,895470.3757947551
WhiteTassel,847379.8557243564,847379.8557243564,847379.8557243564,847379.8557243564,847379.8557243564
