Weapon,R1,R2,R3,R4,R5
PJWS (Stacked),859769.7918754235,885692.8403731617,912124.0788579866,939152.7886438707,966537.0455878176
PJWS,840936.6442364675,862249.6195418411,883813.0869719106,905813.9671252016,928252.7674585718
Homa (50%),888137.0319656108,922250.6668432282,958884.6946345285,998162.4140784893,1039899.3824493494
Homa,817646.8538066645,833763.6123447312,850865.9123918831,869045.7664791286,888361.3865896224
"Vortex (Shielded, Stacked)",880053.0452675695,909943.0827916657,939833.120315762,969723.1578398583,999613.1953639545
"Vortex (Shielded, Unstacked)",867953.3633757969,894818.48042695,921683.5974781032,948548.7145292563,975413.8315804094
CalamityQueller (Stacked),834570.5895398506,859846.945513952,885453.7884726765,911391.1184160252,937658.935343998
CalamityQueller (Unstacked),821749.6646997043,843633.3571008347,865772.5635414144,888167.2840214449,910817.5185409253
"Vortex (Unshielded, Stacked)",820272.9702193766,835217.9889814246,850163.0077434732,865108.0265055211,880053.0452675695
"Vortex (Unshielded, Unstacked)",814223.1292734904,827655.6877990668,841088.2463246437,854520.8048502201,867953.3633757969
StaffOfTheScarletSands,770449.0497023102,770449.0497023102,770449.0497023102,770449.0497023102,770449.0497023102
SkywardSpine,778680.9317864364,787893.8001706619,798906.3248383555,807878.3120365362,819181.399442488
EngulfingLightning,765100.7052099942,785849.8201208339,808262.5693807012,832609.7877916113,858933.04473936
Lithic (4 Stacks),808762.1626485324,841454.5275088612,874803.1898150328,908810.1341817607,943477.3452237565
Lithic (3 Stacks),772998.9303564144,796429.8278158363,819844.3110189124,843660.4222082141,871241.7200253734
Lithic (2 Stacks),736589.0904601351,752669.7081591581,767422.4231637905,784097.49298314,798857.1542651951
Lithic (1 Stacks),702416.0608609521,710170.199309401,717964.3129492884,724724.0496128959,732547.8793990673
Deathmatch (1 Opponent),745399.3351145837,763004.8583618749,780672.2347613914,798673.6452460592,816759.3424930694
Deathmatch (2+ Opponents),722413.7342259245,733886.8248992008,745399.3351145837,757136.3506127782,768873.3661109727
Blackcliff (3 Stacks),780466.1899462075,808129.621474782,836232.5216180407,864803.340308346,893374.1589986514
Blackcliff (2 Stacks),744342.4721479828,762250.7792803599,780466.1899462075,798813.9656932694,817445.2772562945
Blackcliff (1 Stacks),709074.1238616203,717765.928297366,726542.9623793128,735442.7172636474,744342.4721479828
Blackcliff (0 Stacks),674661.1450871204,674661.1450871204,674661.1450871204,674661.1450871204,674661.1450871204
MissiveWindspear (On),705004.5948381105,713053.5460209472,721102.4972037832,729151.4483866198,737200.3995694566
MissiveWindspear (Off),672808.7901067645,672808.7901067645,672808.7901067645,672808.7901067645,672808.7901067645
WavebreakersFin,660304.02825242,660304.02825242,660304.02825242,660304.02825242,660304.02825242
FavoniusLance,673675.6412021416,673675.6412021416,673675.6412021416,673675.6412021416,673675.6412021416
PrototypeStarglitter,640567.3107778088,640567.3107778088,640567.3107778088,640567.3107778088,640567.3107778088
WhiteTassel,589677.1346032153,589677.1346032153,589677.1346032153,589677.1346032153,589677.1346032153
