Weapon,R1,R2,R3,R4,R5
PJWS (Stacked),586947.872040766,605463.8386414967,624242.3388899827,643283.3727862237,662586.9403302202
PJWS,572992.624187294,588055.1098376674,603312.0303988443,618763.3858708241,634409.1762536075
Homa (50%),603073.4202935058,625874.5223674824,649907.9072435694,675173.5749217671,701671.5254020753
Homa,554542.6093730747,565789.1250597991,577651.7821475788,590130.5806364139,603225.520526304
"Vortex (Shielded, Stacked)",580536.7542488221,599123.6297222144,617710.5051956072,636297.3806690001,654884.2561423926
"Vortex (Shielded, Unstacked)",573422.5642815597,590230.8922631362,607039.2202447132,623847.5482262905,640655.8762078675
CalamityQueller (Stacked),563887.4813550544,580934.0953121269,598216.6846305053,615735.2493101892,633489.7893511783
CalamityQueller (Unstacked),556099.9051840573,571065.7940501954,586214.1258583649,601544.9006085659,617058.1183007982
"Vortex (Unshielded, Stacked)",543363.0033020369,552656.441038733,561949.8787754293,571243.3165121258,580536.7542488221
"Vortex (Unshielded, Unstacked)",539805.9083184055,548210.0723091939,556614.2362999824,565018.4002907709,573422.5642815597
StaffOfTheScarletSands,521306.4103177476,521306.4103177476,521306.4103177476,521306.4103177476,521306.4103177476
SkywardSpine,527741.2641373953,534367.1660336816,541731.8552498639,548218.8311726106,555862.0622268468
EngulfingLightning,517342.11176985997,531040.1644984505,545740.8953146527,561444.3042184671,578150.3912098936
Lithic (4 Stacks),539358.7398963274,561932.605783391,585478.6353466637,609493.3667182645,633978.2140422778
Lithic (3 Stacks),515151.5265301034,531649.9021979484,548383.9271825857,565593.3338608394,583258.9821750065
Lithic (2 Stacks),491869.0224724307,502295.7740595224,513020.6971599367,523941.06449956895,534966.1648688872
Lithic (1 Stacks),469167.627755068,474242.8878998103,479343.2599806982,484468.7439977325,489619.33995091275
Deathmatch (1 Opponent),503358.7084079222,515297.6524036673,527236.5963994124,539175.5403951575,551114.4843909028
Deathmatch (2+ Opponents),487440.11641359515,495399.41241075855,503358.7084079222,511318.00440508535,519277.30040224903
Blackcliff (3 Stacks),526921.1510280566,544990.9572566261,563060.7634851955,581130.5697137649,599200.3759423345
Blackcliff (2 Stacks),502828.0760566307,514874.61354234366,526921.1510280566,538967.6885137697,551014.2259994824
Blackcliff (1 Stacks),478735.00108520477,484758.26982806117,490781.5385709178,496804.8073137742,502828.0760566307
Blackcliff (0 Stacks),454874.7419573944,454874.7419573944,454874.7419573944,454874.7419573944,454874.7419573944
MissiveWindspear (On),466803.9114866061,471809.0859768085,476814.2604670109,481819.434957213,486824.60944741545
MissiveWindspear (Off),446783.2135257968,446783.2135257968,446783.2135257968,446783.2135257968,446783.2135257968
WavebreakersFin,444402.8353486369,444402.8353486369,444402.8353486369,444402.8353486369,444402.8353486369
FavoniusLance,454443.9967591302,454443.9967591302,454443.9967591302,454443.9967591302,454443.9967591302
PrototypeStarglitter,431251.027608274,431251.027608274,431251.027608274,431251.027608274,431251.027608274
WhiteTassel,395440.7236434647,395440.7236434647,395440.7236434647,395440.7236434647,395440.7236434647
