Weapon,R1,R2,R3,R4,R5
PJWS (Stacked),536782.0714838713,554393.0689686299,572266.6001011439,590402.6648814131,608801.2633094378
PJWS,524173.3159490294,538651.4358682912,553323.9906983564,568190.9804392251,583252.4050908971
Homa (50%),551384.4925067853,572861.8280613192,595499.9036166277,619298.7191727108,644258.2747295685
Homa,506066.51232264243,516408.3274409473,527438.7616805036,539193.0769584485,551527.7622367803
"Vortex (Shielded, Stacked)",533445.4381402003,550953.2129906098,568460.9878410195,585968.7626914291,603476.537541839
"Vortex (Shielded, Unstacked)",526928.6097158722,542807.1774601996,558685.7452045273,574564.312948855,590442.8806931825
CalamityQueller (Stacked),516452.09033682087,532680.6272827281,549145.139589941,565845.6272584596,582782.0902882838
CalamityQueller (Unstacked),509199.838358565,523481.481261723,537945.5671069124,552592.0958941336,567421.0676233862
"Vortex (Unshielded, Stacked)",498429.8884393812,507183.77586458577,515937.6632897907,524691.5507149955,533445.4381402003
"Vortex (Unshielded, Unstacked)",495171.47422721714,503110.75809938065,511050.04197154456,518989.32584370824,526928.6097158722
StaffOfTheScarletSands,475588.6754611699,475588.6754611699,475588.6754611699,475588.6754611699,475588.6754611699
SkywardSpine,421329.4846679979,427122.7136622262,432915.9426564541,438891.7905271063,444932.1693005316
EngulfingLightning,413540.57244948496,424855.4804270867,436999.8718988341,449973.7468647264,463777.10532476404
Lithic (4 Stacks),494164.57881305413,515050.70605457335,536838.7140517347,559067.3636062052,581737.9867609226
Lithic (3 Stacks),471645.64035564783,486903.2940976765,502382.9160337654,518304.19456730044,534649.7783240168
Lithic (2 Stacks),449987.5700918585,459628.10810482,469544.22961896664,479642.0093822989,489838.44167632476
Lithic (1 Stacks),428875.45264281175,433565.6245984977,438279.4505634194,443016.93053757603,447778.0645209682
Deathmatch (1 Opponent),459803.6303128247,471049.43349950766,482295.2366861905,493541.03987287363,504786.8430595562
Deathmatch (2+ Opponents),444968.3557828607,452306.42818836943,459803.6303128247,467300.8324372798,474798.03456173535
Blackcliff (3 Stacks),481868.9498666324,498889.67502795416,515910.4001892755,532931.1253505972,549951.8505119188
Blackcliff (2 Stacks),459174.64965153707,470521.79975908477,481868.9498666324,493216.0999741804,504563.25008172786
Blackcliff (1 Stacks),436497.09675858583,442153.92449021555,447827.4995439893,453501.07459776313,459174.64965153707
Blackcliff (0 Stacks),414393.65475504356,414393.65475504356,414393.65475504356,414393.65475504356,414393.65475504356
MissiveWindspear (On),427686.186751729,432400.77518198563,437115.36361224233,441829.9520424988,446544.5404727554
MissiveWindspear (Off),408827.83303070284,408827.83303070284,408827.83303070284,408827.83303070284,408827.83303070284
WavebreakersFin,405047.2364673094,405047.2364673094,405047.2364673094,405047.2364673094,405047.2364673094
FavoniusLance,362214.3518939808,362214.3518939808,362214.3518939808,362214.3518939808,362214.3518939808
PrototypeStarglitter,343845.0891669996,343845.0891669996,343845.0891669996,343845.0891669996,343845.0891669996
WhiteTassel,360218.483347782,360218.483347782,360218.483347782,360218.483347782,360218.483347782
