Weapon,R1,R2,R3,R4,R5
PJWS (Stacked),879630.5831449912,906014.9054342096,932873.79195645,960215.8141765646,988196.1701962152
PJWS,860577.6722683792,882000.2896046593,904026.5819000911,926317.6412941385,948976.0979821801
Homa (50%),902863.873270182,936306.9099953672,972247.9155622637,1010031.7528101311,1049658.4217389708
Homa,833643.8335944633,849394.1689691711,866257.0362371969,884128.2928133485,903086.5169253522
"Vortex (Shielded, Stacked)",886647.898183562,915026.6393205187,943405.3804574747,971784.1215944311,1000162.862731387
"Vortex (Shielded, Unstacked)",875384.8299702782,900947.804053914,926510.7781375491,952073.7522211843,977636.7263048195
CalamityQueller (Stacked),854681.5328956341,879751.334504346,905151.6230976807,930882.3986756396,956943.6612382222
CalamityQueller (Unstacked),842610.3375072252,864474.9079059004,886594.9923440248,908970.5908215996,931601.7033386246
"Vortex (Unshielded, Stacked)",829890.4159096502,844079.7864781282,858269.1570466062,872458.5276150845,886647.898183562
"Vortex (Unshielded, Unstacked)",824258.8818030081,837040.3688448258,849821.8558866433,862603.3429284613,875384.8299702782
StaffOfTheScarletSands,785432.7872882341,785432.7872882341,785432.7872882341,785432.7872882341,785432.7872882341
SkywardSpine,797336.5210786798,806625.4239456329,817101.2127843066,826081.791077094,837308.3585275896
EngulfingLightning,781984.3993174003,802273.7277145014,824443.5171980489,848122.562274329,873310.8629433418
Lithic (4 Stacks),820570.2522061586,852916.4053449482,885888.4992964037,919488.4183293945,953718.0467127874
Lithic (3 Stacks),785665.8349591985,808861.4633647521,832018.6344717765,855562.0667169378,882900.1615715201
Lithic (2 Stacks),750049.4661699927,766009.9888784807,780608.8064640759,797152.6745233459,811739.1373243683
Lithic (1 Stacks),716654.481171989,724358.2133483978,732099.8994955502,738784.3440532411,746551.0500335626
Deathmatch (1 Opponent),758303.4709062193,775474.9910698733,792942.0868957822,810510.7768198843,828353.7430815496
Deathmatch (2+ Opponents),735581.4650824588,746909.320646117,758303.4709062193,769697.6211663214,781297.3563451762
Blackcliff (3 Stacks),793963.1667258104,821089.3912087815,848215.6156917533,875341.8401747246,902468.0646576958
Blackcliff (2 Stacks),758436.2983306774,776125.5758186308,793963.1667258104,812047.3163811245,830131.4660364384
Blackcliff (1 Stacks),723721.5503597502,732368.7530200459,741015.9556803424,749663.1583406384,758436.2983306774
Blackcliff (0 Stacks),689818.9228130283,689818.9228130283,689818.9228130283,689818.9228130283,689818.9228130283
MissiveWindspear (On),715220.3784881361,722862.3595949706,730504.3407018046,738146.3218086386,745788.3029154736
MissiveWindspear (Off),684652.4540607992,684652.4540607992,684652.4540607992,684652.4540607992,684652.4540607992
WavebreakersFin,678524.4011167492,678524.4011167492,678524.4011167492,678524.4011167492,678524.4011167492
FavoniusLance,690422.6512429914,690422.6512429914,690422.6512429914,690422.6512429914,690422.6512429914
PrototypeStarglitter,656225.9042317758,656225.9042317758,656225.9042317758,656225.9042317758,656225.9042317758
WhiteTassel,602951.28299512,602951.28299512,602951.28299512,602951.28299512,602951.28299512
