Weapon,R1,R2,R3,R4,R5
PJWS (Stacked),762634.1908387769,783069.7130017602,803767.7688124995,824728.358270993,845951.4813772431
PJWS,744869.1435910373,760882.7152602994,777090.7218403653,793493.163331234,810090.039732907
Homa (50%),776108.3703329348,797585.7058874689,820223.7814427775,844022.5969988602,868982.1525557186
Homa,730395.118951926,740988.694229096,752162.639506653,763916.9547845979,776251.6400629301
"Vortex (Shielded, Stacked)",713845.0397216253,731352.8145720349,748860.5894224446,766368.364272854,783876.1391232641
"Vortex (Shielded, Unstacked)",707328.211297297,723206.7790416246,739085.3467859523,754963.9145302797,770842.4822746078
CalamityQueller (Stacked),715618.5126166157,734337.8407776322,753293.1442999548,772484.4231835828,791911.6774285171
CalamityQueller (Unstacked),708366.2606383598,725138.694756627,742093.5718169262,759230.8918192567,776550.6547636194
"Vortex (Unshielded, Stacked)",678829.4900208059,687583.3774460105,696337.2648712156,705091.1522964204,713845.0397216253
"Vortex (Unshielded, Unstacked)",675571.0758086419,683510.3596808054,691449.6435529693,699388.9274251333,707328.211297297
StaffOfTheScarletSands,706471.4730051836,706471.4730051836,706471.4730051836,706471.4730051836,706471.4730051836
SkywardSpine,701537.5886426802,709604.4529910444,719397.9323952708,727208.0627089342,737297.0040892405
EngulfingLightning,677979.2155831761,690895.116494521,704757.8679360858,719567.4699078702,735323.9224098731
Lithic (4 Stacks),686922.7333498097,713046.5232095117,740264.4152155085,767934.7355882924,796058.8163708013
Lithic (3 Stacks),660475.5479287665,679661.448634432,699069.3175341582,719003.9116085458,739438.4715490551
Lithic (2 Stacks),635030.2545604758,647182.4710690918,659683.5528466306,672400.1639190542,685215.4275221718
Lithic (1 Stacks),610150.619367947,616096.6305714602,622066.295784209,628059.6150061934,634076.5882374127
Deathmatch (1 Opponent),676954.6447618302,688200.4479485133,699446.2511351958,710692.0543218788,721937.8575085617
Deathmatch (2+ Opponents),661960.2405129195,669457.4426373751,676954.6447618302,684451.8468862857,691949.0490107407
Blackcliff (3 Stacks),691156.9408371288,708177.6659984502,725198.3911597719,742219.1163210935,759239.8414824149
Blackcliff (2 Stacks),668462.6406220332,679809.7907295809,691156.9408371288,702504.0909446765,713851.2410522241
Blackcliff (1 Stacks),645768.340406938,651441.9154607118,657115.4905144859,662789.0655682596,668462.6406220332
Blackcliff (0 Stacks),623074.0401918425,623074.0401918425,623074.0401918425,623074.0401918425,623074.0401918425
MissiveWindspear (On),601598.8840315198,606313.4724617763,611028.0608920332,615742.6493222896,620457.2377525462
MissiveWindspear (Off),582740.5303104934,582740.5303104934,582740.5303104934,582740.5303104934,582740.5303104934
WavebreakersFin,586241.1528611792,586241.1528611792,586241.1528611792,586241.1528611792,586241.1528611792
FavoniusLance,616141.6079667952,616141.6079667952,616141.6079667952,616141.6079667952,616141.6079667952
PrototypeStarglitter,591017.4681987554,591017.4681987554,591017.4681987554,591017.4681987554,591017.4681987554
WhiteTassel,555489.5961083976,555489.5961083976,555489.5961083976,555489.5961083976,555489.5961083976
