Weapon,R1,R2,R3,R4,R5
PJWS (Stacked),595220.8192232158,613562.6563637005,632167.0271519405,651033.9315879357,670163.3696716866
PJWS,581277.8843521728,596153.2990931105,611223.1487448517,626487.433307396,641946.152780744
Homa (50%),607097.9455564566,628575.2811109904,651213.356666299,675012.1722223822,699971.7277792402
Homa,561384.6941754475,571978.2694526177,583152.2147301751,594906.5300081199,607241.2152864519
"Vortex (Shielded, Stacked)",578170.0345209263,595677.8093713361,613185.5842217457,630693.3590721553,648201.1339225651
"Vortex (Shielded, Unstacked)",571653.2060965983,587531.7738409257,603410.3415852535,619288.909329581,635167.4770739088
CalamityQueller (Stacked),570073.4016563075,586972.5310125637,604107.635730126,621478.7158089936,639085.7712491672
CalamityQueller (Unstacked),562821.1496780516,577773.3849915586,592908.0632470974,608225.1844446675,623724.7485842692
"Vortex (Unshielded, Stacked)",543154.4848201072,551908.3722453119,560662.2596705169,569416.1470957217,578170.0345209263
"Vortex (Unshielded, Unstacked)",539896.0706079431,547835.3544801067,555774.6383522707,563713.9222244344,571653.2060965983
StaffOfTheScarletSands,528008.2717662822,528008.2717662822,528008.2717662822,528008.2717662822,528008.2717662822
SkywardSpine,536839.8845083119,543012.917279797,550507.2132910364,556543.9624955248,564393.5016944958
EngulfingLightning,523106.99507662706,536022.8959879725,549885.647429537,564695.249401321,580451.7019033243
Lithic (4 Stacks),540537.9801841028,562684.1746400172,585778.4941192798,609316.2908047406,633298.8967393375
Lithic (3 Stacks),517073.99131589994,533276.6954687252,549701.3678156106,566588.1624013816,583917.4645082939
Lithic (2 Stacks),494504.7979012959,504749.5908951891,515287.5973828176,526015.4107533474,536841.876654571
Lithic (1 Stacks),472486.2979808517,477478.5974270035,482494.550882391,487534.15834701346,492597.4198208715
Deathmatch (1 Opponent),507683.6924375009,518929.49562418397,530175.2988108668,541421.10199755,552666.9051842324
Deathmatch (2+ Opponents),492689.28818859044,500186.49031304586,507683.6924375009,515180.89456195605,522678.09668641153
Blackcliff (3 Stacks),530180.5060150436,547201.2311763653,564221.9563376869,581242.6814990084,598263.4066603298
Blackcliff (2 Stacks),507486.2057999482,518833.355907496,530180.5060150436,541527.6561225915,552874.806230139
Blackcliff (1 Stacks),484791.90558485297,490465.4806386266,496139.05569240043,501812.63074617425,507486.2057999482
Blackcliff (0 Stacks),462097.60536975734,462097.60536975734,462097.60536975734,462097.60536975734,462097.60536975734
MissiveWindspear (On),467831.7918607134,472546.38029097003,477260.96872122673,481975.55715148326,486690.14558174
MissiveWindspear (Off),448973.43813968723,448973.43813968723,448973.43813968723,448973.43813968723,448973.43813968723
WavebreakersFin,450332.5256568202,450332.5256568202,450332.5256568202,450332.5256568202,450332.5256568202
FavoniusLance,462224.984140059,462224.984140059,462224.984140059,462224.984140059,462224.984140059
PrototypeStarglitter,438323.1191950359,438323.1191950359,438323.1191950359,438323.1191950359,438323.1191950359
WhiteTassel,401257.26717055077,401257.26717055077,401257.26717055077,401257.26717055077,401257.26717055077
