Weapon,R1,R2,R3,R4,R5
PJWS (Stacked),881476.1114327202,907927.9817093238,934948.2640508771,962346.6398692129,990503.2243762347
PJWS,863567.7520209829,885418.8996272051,907836.042199121,930578.756054556,953616.6014514875
Homa (50%),918358.1385352279,954847.2896568468,994186.0131275192,1036368.0744312904,1081530.3390753677
Homa,843000.8567392745,860166.1840437119,878473.3458823811,897981.4740008097,918601.5481898224
"Vortex (Shielded, Stacked)",917060.2335678664,950239.1223391244,983418.0111103829,1016596.8998816411,1049775.7886528997
"Vortex (Shielded, Unstacked)",904960.5516760938,935114.5199744088,965268.4882727241,995422.4565710393,1025576.4248693546
CalamityQueller (Stacked),852453.2127212081,878681.943504764,905467.1203399837,932582.7841598284,960028.934964296
CalamityQueller (Unstacked),839459.8948427108,861995.7060638996,885010.4139952189,908454.2214494945,932153.5429432194
"Vortex (Unshielded, Stacked)",850702.4560253494,867291.9004109788,883881.344796608,900470.7891822371,917060.2335678664
"Vortex (Unshielded, Unstacked)",844652.6150794632,859729.599228621,874806.5833777785,889883.5675269362,904960.5516760938
StaffOfTheScarletSands,794122.8791469362,794122.8791469362,794122.8791469362,794122.8791469362,794122.8791469362
SkywardSpine,700704.1283650389,710361.5981598806,720019.0679547226,729861.1983939114,739928.0884217625
EngulfingLightning,691372.8330230236,711781.5361947637,734346.2034426488,758951.4973638522,785131.2174880053
Lithic (4 Stacks),836036.9619598205,870796.2331786329,906280.7048245067,942492.5798826583,979434.0613383052
Lithic (3 Stacks),797450.4767134788,822347.6795233539,847277.5512563987,872599.2494973363,901867.0735253477
Lithic (2 Stacks),758261.0427662021,775299.5392451194,790985.6149546651,808721.7063663409,824448.4424802212
Lithic (1 Stacks),721688.9934887963,729752.433779839,737899.024026609,745386.065446266,753769.4730750504
Deathmatch (1 Opponent),770367.1993394912,789047.0982159836,808150.3395052091,827294.587777667,846837.2764447783
Deathmatch (2+ Opponents),745637.4203032616,757924.6700652656,770367.1993394912,782809.7286137176,795414.8453123923
Blackcliff (3 Stacks),806370.1275906034,836007.1573695815,866223.9181600803,896928.5030382298,928120.9120040324
Blackcliff (2 Stacks),767685.5073102994,786981.8639885178,806370.1275906034,826128.1474432559,846004.2351329938
Blackcliff (1 Stacks),729950.3742920822,739367.7210439742,748785.0677958657,758202.414547758,767685.5073102994
Blackcliff (0 Stacks),693164.7285359513,693164.7285359513,693164.7285359513,693164.7285359513,693164.7285359513
MissiveWindspear (On),728865.3615044325,737799.9523628523,746734.5432212723,755669.1340796921,764603.7249381114
MissiveWindspear (Off),693126.9980707526,693126.9980707526,693126.9980707526,693126.9980707526,693126.9980707526
WavebreakersFin,675558.9719662216,675558.9719662216,675558.9719662216,675558.9719662216,675558.9719662216
FavoniusLance,604850.3612678259,604850.3612678259,604850.3612678259,604850.3612678259,604850.3612678259
PrototypeStarglitter,575492.2484071202,575492.2484071202,575492.2484071202,575492.2484071202,575492.2484071202
WhiteTassel,605892.2201415743,605892.2201415743,605892.2201415743,605892.2201415743,605892.2201415743
