Weapon,R1,R2,R3,R4,R5
PJWS (Stacked),569703.3943210196,588037.1551089991,606830.5218646385,626037.28372553,645855.5228801742
PJWS,557599.3289738633,572740.5957262059,588268.6193624366,604210.81360025,620426.3297462015
Homa (50%),596782.2518324876,622504.2763683987,650217.4502832588,679983.1997224988,711367.3676352437
Homa,543921.3172134133,555975.4346119137,568776.9177364991,582503.0563752736,596953.8367807616
"Vortex (Shielded, Stacked)",591503.328846808,613517.620905499,635531.9129641898,657546.2050228809,679560.4970815715
"Vortex (Shielded, Unstacked)",583791.7773366112,603878.1815177528,623964.5856988943,644050.9898800362,664137.3940611775
CalamityQueller (Stacked),549658.7079482933,567145.0143399609,585188.3073300174,603467.5756813799,621982.8193940481
CalamityQueller (Unstacked),541195.617197772,556427.3377962869,571836.6957400589,587694.4126709409,603742.2177050214
"Vortex (Unshielded, Stacked)",547474.744729426,558481.8907587716,569489.036788117,580496.1828174626,591503.328846808
"Vortex (Unshielded, Unstacked)",543618.9689743276,553662.1710648985,563705.3731554693,573748.5752460402,583791.7773366112
StaffOfTheScarletSands,511095.71265901695,511095.71265901695,511095.71265901695,511095.71265901695,511095.71265901695
SkywardSpine,448405.73696615867,454730.4795695245,461184.78634330747,467639.0931170898,474233.62349272566
EngulfingLightning,442111.55097246985,455563.5008740937,470464.6418518247,486710.186362167,504110.86012576724
Lithic (4 Stacks),539189.8777370342,563219.289095706,588300.7818478892,613931.3129599496,640112.5573438919
Lithic (3 Stacks),512549.1620477184,530059.531715827,547849.0043935148,566157.551606926,584967.3663398955
Lithic (2 Stacks),486930.7841098281,497982.0727765719,509348.640252407,520929.18569461955,532633.7769188673
Lithic (1 Stacks),461990.48731154756,467352.54749464116,472744.3502505126,478165.89557916194,483617.1834805893
Deathmatch (1 Opponent),496644.53940995754,509782.6976312087,523128.3781485475,536600.6446892814,550299.3663308744
Deathmatch (2+ Opponents),479383.8833829495,487919.91665079514,496644.53940995754,505403.3115574582,514162.083704959
Blackcliff (3 Stacks),521058.95929044497,541893.38837792,563098.706209602,584500.5815451916,605902.4568807815
Blackcliff (2 Stacks),493987.9587193064,507493.0400231549,521058.95929044497,534934.9293384994,548851.8474173411
Blackcliff (1 Stacks),467987.69975396123,474424.45875653764,480861.21775911376,487380.4984914369,493987.9587193064
Blackcliff (0 Stacks),443137.00739772135,443137.00739772135,443137.00739772135,443137.00739772135,443137.00739772135
MissiveWindspear (On),466635.46765606996,472563.5954465509,478491.7232370314,484419.85102751246,490347.97881799296
MissiveWindspear (Off),442922.9564941469,442922.9564941469,442922.9564941469,442922.9564941469,442922.9564941469
WavebreakersFin,431736.20959456597,431736.20959456597,431736.20959456597,431736.20959456597,431736.20959456597
FavoniusLance,385257.52621893986,385257.52621893986,385257.52621893986,385257.52621893986,385257.52621893986
PrototypeStarglitter,365838.5193854446,365838.5193854446,365838.5193854446,365838.5193854446,365838.5193854446
WhiteTassel,385131.1012343137,385131.1012343137,385131.1012343137,385131.1012343137,385131.1012343137
