Weapon,R1,R2,R3,R4,R5
PJWS (Stacked),638630.0821391655,658683.842259929,679064.7724036197,699708.2361950662,720614.2336342678
PJWS,624704.4466766038,641086.0785301866,657924.3282883549,674957.0129573271,692184.1325371024
Homa (50%),664250.2167202713,691255.8380273649,719720.9748696754,749645.6272472031,781029.7951599481
Homa,608385.7502611162,621072.9945661887,634678.02614251,649106.6635200096,664430.3642093857
"Vortex (Shielded, Stacked)",647425.6202037313,669439.9122624225,691454.2043211133,713468.4963798041,735482.7884384947
"Vortex (Shielded, Unstacked)",639714.0686935345,659800.4728746762,679886.8770558179,699973.2812369594,720059.6854181008
CalamityQueller (Stacked),615712.5883305818,634190.4983696819,652904.3837700876,671854.2445317992,691040.0806548166
CalamityQueller (Unstacked),607020.5468402613,623191.615458596,639545.1270189623,656081.0815213602,672799.4789657898
"Vortex (Unshielded, Stacked)",603397.0360863492,614404.182115695,625411.3281450402,636418.4741743859,647425.6202037313
"Vortex (Unshielded, Unstacked)",599541.2603312507,609584.4624218218,619627.6645123925,629670.8666029635,639714.0686935345
StaffOfTheScarletSands,571690.0550873186,571690.0550873186,571690.0550873186,571690.0550873186,571690.0550873186
SkywardSpine,504585.0608152845,511592.5733172772,518630.29736399604,525838.3386352798,533158.1267288097
EngulfingLightning,496719.69971056865,510975.75183302927,526280.011169203,542632.4777190904,560033.1514826906
Lithic (4 Stacks),597173.785307878,622778.7468468776,649493.612222104,676761.061567369,704582.7697946767
Lithic (3 Stacks),569351.4069833169,588043.4392866709,607014.5745996042,626530.3740713323,646570.2006690147
Lithic (2 Stacks),542593.7880365606,554400.6189738234,566544.7727330872,578913.0932654636,591405.4595798751
Lithic (1 Stacks),516520.17783250194,522260.009150855,528029.5830419858,533828.8995058946,539657.9585425814
Deathmatch (1 Opponent),553527.1144028456,567333.4892630626,581463.3621407205,595603.8453204206,609744.3285001209
Deathmatch (2+ Opponents),535259.5271358636,544322.8644960342,553527.1144028456,562731.3643096571,572036.3733542536
Blackcliff (3 Stacks),580702.2736020477,602104.1489376377,623506.0242732278,644907.8996088173,666309.7749444069
Blackcliff (2 Stacks),552166.4398212612,566434.3567116543,580702.2736020477,594970.190492441,609238.1073828342
Blackcliff (1 Stacks),524271.6028759623,531230.0619153833,538188.5209548039,545146.9799942251,552166.4398212612
Blackcliff (0 Stacks),497098.6534864212,497098.6534864212,497098.6534864212,497098.6534864212,497098.6534864212
MissiveWindspear (On),516832.32592379715,522760.45371427806,528688.5815047587,534616.7092952395,540544.8370857202
MissiveWindspear (Off),493119.8147618741,493119.8147618741,493119.8147618741,493119.8147618741,493119.8147618741
WavebreakersFin,485685.13682900404,485685.13682900404,485685.13682900404,485685.13682900404,485685.13682900404
FavoniusLance,433692.6611384119,433692.6611384119,433692.6611384119,433692.6611384119,433692.6611384119
PrototypeStarglitter,411790.66976303555,411790.66976303555,411790.66976303555,411790.66976303555,411790.66976303555
WhiteTassel,432059.4407990626,432059.4407990626,432059.4407990626,432059.4407990626,432059.4407990626
