Weapon,R1,R2,R3,R4,R5
PJWS (Stacked),920210.2404587117,947476.8719927606,975322.522111496,1003548.1870694892,1032550.3323217313
PJWS,901672.9986862537,924191.7530852105,947283.6100012617,970710.6735510665,994425.4109751323
Homa (50%),960183.1644647673,998334.3942244055,1039464.8523227092,1083568.1621213253,1130787.4233430775
Homa,881393.6467361465,899340.8536664551,918481.7637658976,938878.4859463071,960437.6614144831
"Vortex (Shielded, Stacked)",958826.7812015422,993516.9663599404,1028207.1515183388,1062897.3366767373,1097587.5218351358
"Vortex (Shielded, Unstacked)",945890.485631281,977346.5968971138,1008802.708162947,1040258.8194287802,1071714.9306946131
CalamityQueller (Stacked),889912.0577909738,916956.9386112324,944568.3329080124,972510.2141894161,1000782.5824554437
CalamityQueller (Unstacked),876188.3802608867,899346.4731077896,922987.0323856415,947069.624938542,971407.7315308925
"Vortex (Unshielded, Stacked)",889446.4108847453,906791.5034639442,924136.5960431435,941481.6886223427,958826.7812015422
"Vortex (Unshielded, Unstacked)",882978.2630996148,898706.3187325308,914434.3743654476,930162.4299983641,945890.485631281
StaffOfTheScarletSands,830289.1579551699,830289.1579551699,830289.1579551699,830289.1579551699,830289.1579551699
SkywardSpine,835637.3913236454,846386.6734671143,857922.7974262483,868785.3822176117,880772.3445388942
EngulfingLightning,822859.0565303746,845887.7443082491,871189.9033885307,898493.9407617608,927958.2013305429
Lithic (4 Stacks),874112.4652277185,910454.8721164449,947555.511949946,985416.6880592842,1024040.7037755188
Lithic (3 Stacks),833768.4747343592,859799.6367999616,885865.0994796702,912339.9536858214,942940.7957825831
Lithic (2 Stacks),792794.0822945291,810608.6032874812,827009.2541944858,845553.1437221093,861996.1675086312
Lithic (1 Stacks),754556.4258211114,762987.1183337418,771504.6048131802,779332.7916233481,788098.02452078
Deathmatch (1 Opponent),805451.2440728581,824981.8667715688,844955.2595520662,864971.3827337889,885404.2396937937
Deathmatch (2+ Opponents),779595.1695371588,792441.9583388643,805451.2440728581,818460.529806852,831639.6643650681
Blackcliff (3 Stacks),843094.1671568882,874081.1618590236,905674.1524259455,937777.1874383583,970390.2668962632
Blackcliff (2 Stacks),802647.6066099157,822822.9111737551,843094.1671568882,863752.1636249783,884533.4640536028
Blackcliff (1 Stacks),763193.7824126871,773040.0887424812,782886.3950722751,792732.7014020697,802647.6066099157
Blackcliff (0 Stacks),724732.6945652014,724732.6945652014,724732.6945652014,724732.6945652014,724732.6945652014
MissiveWindspear (On),762059.6440393995,771401.2049738215,780742.7659082438,790084.326842666,799425.8877770877
MissiveWindspear (Off),724693.4003017119,724693.4003017119,724693.4003017119,724693.4003017119,724693.4003017119
WavebreakersFin,706325.5680588919,706325.5680588919,706325.5680588919,706325.5680588919,706325.5680588919
FavoniusLance,721906.378162395,721906.378162395,721906.378162395,721906.378162395,721906.378162395
PrototypeStarglitter,686704.3858350618,686704.3858350618,686704.3858350618,686704.3858350618,686704.3858350618
WhiteTassel,633484.9393207293,633484.9393207293,633484.9393207293,633484.9393207293,633484.9393207293
