Weapon,R1,R2,R3,R4,R5
PJWS (Stacked),845797.311661652,868009.3931800866,890484.0083462765,913221.1571602218,936220.8396219232
PJWS,827852.0172037834,845633.9889794734,863610.3956659664,881781.2372632633,900146.513771364
Homa (50%),875575.7731601867,902581.3944672804,931046.5313095909,960971.1836871182,992355.3515998635
Homa,818095.8891970718,831416.2604087157,845466.3893879696,860246.276134831,875755.9206493009
"Vortex (Shielded, Stacked)",817069.5697230891,839083.8617817804,861098.1538404713,883112.4458991622,905126.7379578525
"Vortex (Shielded, Unstacked)",809358.018212892,829444.4223940342,849530.8265751759,869617.2307563174,889703.6349374587
CalamityQueller (Stacked),795874.929161086,816173.0380049463,836707.1222101122,857477.1817765844,878483.2167043618
CalamityQueller (Unstacked),787182.8876707654,805174.1550938605,823347.865458987,841704.0187661455,860242.615015335
"Vortex (Unshielded, Stacked)",773040.9856057075,784048.1316350524,795055.2776643982,806062.4236937435,817069.5697230891
"Vortex (Unshielded, Unstacked)",769185.2098506091,779228.4119411793,789271.6140317505,799314.8161223212,809358.018212892
StaffOfTheScarletSands,788418.8677393392,788418.8677393392,788418.8677393392,788418.8677393392,788418.8677393392
SkywardSpine,778678.8042651622,787632.7026544226,798503.075041501,807172.0088695016,818370.3322915126
EngulfingLightning,760650.1865868673,776923.386242151,794393.1082671855,813059.3526619716,832922.1194265089
Lithic (4 Stacks),780208.8818587272,810787.3091653559,842658.1657161859,875092.7984992748,908092.8824266276
Lithic (3 Stacks),748656.4042084444,771078.5358375204,793779.7704761751,817106.4468432249,841028.9945241903
Lithic (2 Stacks),718302.5963053356,732494.4122880382,747093.1364001213,761948.1898163127,776927.2890145386
Lithic (1 Stacks),688651.5085331162,695583.8323741897,702545.8987880405,709537.7077746693,716559.2593340762
Deathmatch (1 Opponent),764833.7080383125,778974.1912180128,793114.6743977128,807255.1575774129,821395.640757113
Deathmatch (2+ Opponents),745979.7304653785,755406.7192518456,764833.7080383125,774260.696824779,783687.6856112457
Blackcliff (3 Stacks),781982.3704214093,803384.2457569994,824786.1210925895,846187.9964281792,867589.8717637685
Blackcliff (2 Stacks),753446.5366406229,767714.4535310162,781982.3704214093,796250.2873118026,810518.2042021957
Blackcliff (1 Stacks),724910.7028598363,732044.6613050329,739178.6197502296,746312.5781954264,753446.5366406229
Blackcliff (0 Stacks),696374.8690790497,696374.8690790497,696374.8690790497,696374.8690790497,696374.8690790497
MissiveWindspear (On),684090.6783226569,690018.8061131374,695946.9339036181,701875.0616940991,707803.1894845796
MissiveWindspear (Off),660378.1671607338,660378.1671607338,660378.1671607338,660378.1671607338,660378.1671607338
WavebreakersFin,655621.2002814843,655621.2002814843,655621.2002814843,655621.2002814843,655621.2002814843
FavoniusLance,686910.8805992935,686910.8805992935,686910.8805992935,686910.8805992935,686910.8805992935
PrototypeStarglitter,660547.0385407471,660547.0385407471,660547.0385407471,660547.0385407471,660547.0385407471
WhiteTassel,624329.95274633,624329.95274633,624329.95274633,624329.95274633,624329.95274633
