Weapon,R1,R2,R3,R4,R5
PJWS (Stacked),873366.1169177635,899610.2162179241,926414.5527154056,953581.3450726223,981110.5932895741
PJWS,855629.499703674,877279.4646122995,899487.0758571107,922007.6814144001,944796.7252208825
Homa (50%),892298.0452313989,924706.5629972569,958866.5951835671,994778.1417903285,1032441.202817542
Homa,825198.8801018725,840507.2292579644,856815.7941131287,874177.055014567,892514.234040205
"Vortex (Shielded, Stacked)",871230.7865791749,898203.2848539107,925175.7831286467,952148.281403383,979120.7796781186
"Vortex (Shielded, Unstacked)",862566.7981937292,887373.2993721036,912179.8005504783,936986.3017288533,961792.8029072275
CalamityQueller (Stacked),848010.8997539033,872676.8288002226,897673.2448311667,923000.1478467335,948657.5378469243
CalamityQueller (Unstacked),837751.876253223,859665.6170614378,881834.8719091038,904259.6407962185,926939.9237227839
"Vortex (Unshielded, Stacked)",817285.7900297025,830772.0391670708,844258.2883044386,857744.5374418066,871230.7865791749
"Vortex (Unshielded, Unstacked)",812953.7958369796,825357.0464261672,837760.2970153544,850163.5476045418,862566.7981937292
StaffOfTheScarletSands,777469.2674171545,777469.2674171545,777469.2674171545,777469.2674171545,777469.2674171545
SkywardSpine,791127.8763892397,800443.3236943609,810331.0225101218,819295.8384718851,829974.4008378108
EngulfingLightning,775393.4211954747,795171.6048581612,816409.9718498773,839108.5221706224,863267.2558203954
Lithic (4 Stacks),809321.599245202,840794.2396937417,872863.3816849326,905530.8161170585,938798.3338884051
Lithic (3 Stacks),775616.8959363851,798193.0123462995,820719.8114550638,843616.4886150836,870242.4938980641
Lithic (2 Stacks),741180.8042964833,756737.1952241985,770943.0193773475,787064.4254473973,801247.9309079126
Lithic (1 Stacks),708910.5320918885,716423.20653087,723971.9542193832,730473.8992441278,738044.6444652897
Deathmatch (1 Opponent),749687.7456767756,766300.6039399694,783259.4032886194,800218.20263727,817177.0019859204
Deathmatch (2+ Opponents),727680.3615472292,738620.0428082724,749687.7456767756,760755.4485452783,771953.5370561862
Blackcliff (3 Stacks),784900.2834876758,810682.3306734909,836464.3778593068,862246.4250451223,888028.472230938
Blackcliff (2 Stacks),750524.2205732549,767712.2520304653,784900.2834876758,802088.3149448861,819276.3464020962
Blackcliff (1 Stacks),716847.2398395617,725253.6029728407,733659.96610612,742066.3292393987,750524.2205732549
Blackcliff (0 Stacks),683942.1367813109,683942.1367813109,683942.1367813109,683942.1367813109,683942.1367813109
MissiveWindspear (On),705370.7743089837,712634.0747219543,719897.3751349259,727160.6755478968,734423.9759608677
MissiveWindspear (Off),676317.572657099,676317.572657099,676317.572657099,676317.572657099,676317.572657099
WavebreakersFin,673778.7989373325,673778.7989373325,673778.7989373325,673778.7989373325,673778.7989373325
FavoniusLance,685493.586131877,685493.586131877,685493.586131877,685493.586131877,685493.586131877
PrototypeStarglitter,651325.4744497476,651325.4744497476,651325.4744497476,651325.4744497476,651325.4744497476
WhiteTassel,597804.4343742349,597804.4343742349,597804.4343742349,597804.4343742349,597804.4343742349
