Weapon,R1,R2,R3,R4,R5
PJWS (Stacked),530294.2201371845,547578.4716919423,565125.2568944559,582934.5757447244,601006.4282427486
PJWS,518827.7833457476,533219.8323329387,547806.3162309333,562587.235039731,577562.5887593325
Homa (50%),541554.1585868031,561799.7455346097,583139.5027788111,605573.4303194076,629101.5281563994
Homa,498462.61200500274,508448.6341918569,518981.7415269081,530061.9340101569,541689.2116416033
"Vortex (Shielded, Stacked)",520345.6667182035,536849.3515955283,553353.036472853,569856.7213501774,586360.406227502
"Vortex (Shielded, Unstacked)",515684.64148725825,531023.0700568467,546361.4986264351,561699.927196023,577038.3557656114
CalamityQueller (Stacked),509191.6956816531,525131.8582640727,541307.9962077982,557720.1095128292,574368.1981791663
CalamityQueller (Unstacked),503233.3764022641,517550.12811665126,532049.3227730703,546730.9603715204,561595.0409120027
"Vortex (Unshielded, Stacked)",487338.29696355434,495590.13940221665,503841.98184087884,512093.8242795415,520345.6667182035
"Vortex (Unshielded, Unstacked)",485007.7843480817,492676.9986328758,500346.2129176699,508015.4272024643,515684.64148725825
StaffOfTheScarletSands,468513.94547883247,468513.94547883247,468513.94547883247,468513.94547883247,468513.94547883247
SkywardSpine,474704.2323407801,480508.93987448455,487131.3508920616,492964.51228699984,499837.39124464
EngulfingLightning,465177.0873761042,477456.09841798845,490646.539103206,504748.40943175735,519761.7094036416
Lithic (4 Stacks),483962.53314555995,504143.6901343205,525193.0923555723,546658.9740169335,568542.5907672284
Lithic (3 Stacks),462365.4264222723,477117.69102421403,492079.19370231667,507465.0285713293,523257.9540764816
Lithic (2 Stacks),441593.08672004053,450917.0820845189,460507.7518602938,470272.8489028681,480130.94064595824
Lithic (1 Stacks),421337.2431475213,425876.604986649,430438.264251797,435022.2209429655,439628.47506015404
Deathmatch (1 Opponent),452161.54881356,462762.3929283153,473363.2370430707,483964.0811578261,494564.92527258146
Deathmatch (2+ Opponents),438027.08999388607,445094.31940372294,452161.54881356,459228.7782233969,466296.0076332339
Blackcliff (3 Stacks),473130.17596788437,489174.7439867285,505219.31200557225,521263.88002441614,537308.4480432601
Blackcliff (2 Stacks),451737.41860942624,462433.79728865525,473130.17596788437,483826.55464711424,494522.9333263433
Blackcliff (1 Stacks),430344.66125096777,435692.8505905823,441041.03993019706,446389.22926981165,451737.41860942624
Blackcliff (0 Stacks),409029.0893602987,409029.0893602987,409029.0893602987,409029.0893602987,409029.0893602987
MissiveWindspear (On),418860.76352626045,423304.9651706183,427749.166814976,432193.3684593335,436637.5701036913
MissiveWindspear (Off),401083.95694882976,401083.95694882976,401083.95694882976,401083.95694882976,401083.95694882976
WavebreakersFin,399530.55536848353,399530.55536848353,399530.55536848353,399530.55536848353,399530.55536848353
FavoniusLance,408824.973270435,408824.973270435,408824.973270435,408824.973270435,408824.973270435
PrototypeStarglitter,387911.71395809326,387911.71395809326,387911.71395809326,387911.71395809326,387911.71395809326
WhiteTassel,355596.2730278572,355596.2730278572,355596.2730278572,355596.2730278572,355596.2730278572
