Weapon,R1,R2,R3,R4,R5
PJWS (Stacked),583971.5805515561,601986.6717620399,620264.2966202797,638804.4551262741,657607.1472800244
PJWS,571170.9644239183,585960.3082327851,600944.0869524557,616122.3005829293,631494.9491242067
Homa (50%),592489.2369658983,612734.823913705,634074.5811579064,656508.5086985029,680036.6065354944
Homa,549397.6903840979,559383.7125709521,569916.8199060034,580997.0123892523,592624.2900206987
"Vortex (Shielded, Stacked)",561234.3694897708,577738.0543670956,594241.7392444202,610745.4241217448,627249.1089990695
"Vortex (Shielded, Unstacked)",556573.3442588256,571911.772828414,587250.2013980022,602588.6299675904,617927.0585371789
CalamityQueller (Stacked),558444.1277567759,575054.8827495448,591901.6131036192,608984.3188189998,626302.9998956857
CalamityQueller (Unstacked),552485.8084773871,567473.1526021234,582642.9396688914,597995.1696776911,613529.8426285221
"Vortex (Unshielded, Stacked)",528226.9997351216,536478.8421737839,544730.6846124463,552982.5270511088,561234.3694897708
"Vortex (Unshielded, Unstacked)",525896.487119649,533565.701404443,541234.9156892373,548904.1299740316,556573.3442588256
StaffOfTheScarletSands,517385.57344842877,517385.57344842877,517385.57344842877,517385.57344842877,517385.57344842877
SkywardSpine,526905.2495661152,532964.0456185326,540319.6539182796,546185.6242222043,553763.1457433722
EngulfingLightning,511851.30111574964,524130.3121576337,537320.7528428514,551422.6231714027,566435.923143287
Lithic (4 Stacks),526358.62788113,547691.7799234182,569935.455234672,592598.2024298803,615681.2771578669
Lithic (3 Stacks),503897.5248676968,519513.7857597841,535339.2847280325,551607.8262523493,568300.0995546214
Lithic (2 Stacks),482292.2062966382,492168.63151656406,502327.84906910016,512668.9436384381,523103.032908292
Lithic (1 Stacks),461207.71794094774,466023.2947077992,470861.16890067095,475721.34051956306,480603.8095644755
Deathmatch (1 Opponent),495935.0825584895,506535.92667324503,517136.7707880003,527737.6149027557,538338.4590175111
Deathmatch (2+ Opponents),481800.62373881554,488867.85314865253,495935.0825584895,503002.31196832645,510069.5413781635
Blackcliff (3 Stacks),517298.1957968026,533342.7638156465,549387.3318344904,565431.8998533342,581476.4678721782
Blackcliff (2 Stacks),495905.4384383445,506601.8171175734,517298.1957968026,527994.574476032,538690.9531552613
Blackcliff (1 Stacks),474512.6810798859,479860.8704195004,485209.0597591152,490557.2490987297,495905.4384383445
Blackcliff (0 Stacks),453119.92372142733,453119.92372142733,453119.92372142733,453119.92372142733,453119.92372142733
MissiveWindspear (On),455563.20128360536,460007.4029279633,464451.604572321,468895.8062166785,473340.0078610364
MissiveWindspear (Off),437786.39470617485,437786.39470617485,437786.39470617485,437786.39470617485,437786.39470617485
WavebreakersFin,440931.86201934336,440931.86201934336,440931.86201934336,440931.86201934336,440931.86201934336
FavoniusLance,453402.45572006283,453402.45572006283,453402.45572006283,453402.45572006283,453402.45572006283
PrototypeStarglitter,429807.3308042104,429807.3308042104,429807.3308042104,429807.3308042104,429807.3308042104
WhiteTassel,393140.97535973904,393140.97535973904,393140.97535973904,393140.97535973904,393140.97535973904
