Weapon,R1,R2,R3,R4,R5
PJWS (Stacked),750687.6325395319,770879.258006857,791333.4171219383,812050.109884774,833029.3362953657
PJWS,734555.2404010668,750733.0791519893,767105.3528137162,783672.0613862454,800433.2048695787
Homa (50%),765098.2573493429,786575.5929038769,809213.6684591855,833012.4840152683,857972.0395721261
Homa,719385.0059683337,729978.5812455037,741152.5265230611,752906.8418010056,765241.5270793381
"Vortex (Shielded, Stacked)",705006.5486150279,722514.323465438,740022.0983158471,757529.8731662567,775037.6480166666
"Vortex (Shielded, Unstacked)",698489.7201906997,714368.2879350277,730246.8556793547,746125.4234236823,762003.9911680102
CalamityQueller (Stacked),704656.7766701609,723152.3139192635,741883.8265296724,760851.3145013867,780054.7778344069
CalamityQueller (Unstacked),697404.5246919049,713953.1678982583,730684.2540466437,747597.7831370606,764693.7551695093
"Vortex (Unshielded, Stacked)",669990.9989142087,678744.886339413,687498.7737646181,696252.661189823,705006.5486150279
"Vortex (Unshielded, Unstacked)",666732.5847020447,674671.8685742079,682611.152446372,690550.4363185358,698489.7201906997
StaffOfTheScarletSands,695514.0645046439,695514.0645046439,695514.0645046439,695514.0645046439,695514.0645046439
SkywardSpine,606267.624001907,614623.4824967836,623088.8288120122,631554.1751272412,640019.52144247
EngulfingLightning,585101.6829243127,596416.5909019146,608560.9823736616,621534.857339554,635338.2157995916
Lithic (4 Stacks),677758.4047975383,703633.1797131293,730592.917965905,758004.5242034959,785869.3304688404
Lithic (3 Stacks),651497.9805845788,670497.1200821613,689718.2277738038,709462.016212556,729702.1733726442
Lithic (2 Stacks),626232.7437068362,638265.5471249549,650643.7317664151,663235.8353667834,675926.5914978451
Lithic (1 Stacks),601532.2281500541,607418.5328083185,613328.4914758188,619262.1041525538,625219.3708385247
Deathmatch (1 Opponent),667492.569359968,678738.3725466513,689984.1757333337,701229.9789200168,712475.7821067001
Deathmatch (2+ Opponents),652498.1651110577,659995.367235513,667492.569359968,674989.7714844234,682486.9736088786
Blackcliff (3 Stacks),681609.5934283636,698630.3185896849,715651.0437510064,732671.7689123282,749692.4940736496
Blackcliff (2 Stacks),658915.2932132678,670262.4433208155,681609.5934283636,692956.7435359107,704303.8936434587
Blackcliff (1 Stacks),636220.9929981726,641894.5680519462,647568.14310572,653241.718159494,658915.2932132678
Blackcliff (0 Stacks),613526.6927830771,613526.6927830771,613526.6927830771,613526.6927830771,613526.6927830771
MissiveWindspear (On),593665.2948560199,598379.8832862766,603094.4717165332,607809.0601467895,612523.6485770462
MissiveWindspear (Off),574806.9411349938,574806.9411349938,574806.9411349938,574806.9411349938,574806.9411349938
WavebreakersFin,577291.8574364883,577291.8574364883,577291.8574364883,577291.8574364883,577291.8574364883
FavoniusLance,531326.216430716,531326.216430716,531326.216430716,531326.216430716,531326.216430716
PrototypeStarglitter,509824.1972712906,509824.1972712906,509824.1972712906,509824.1972712906,509824.1972712906
WhiteTassel,547373.9432466752,547373.9432466752,547373.9432466752,547373.9432466752,547373.9432466752
