Weapon,R1,R2,R3,R4,R5
PJWS (Stacked),1219254.5620901205,1249710.384255217,1280528.6622800482,1311709.3961646156,1343252.5859089168
PJWS,1194895.554179331,1219344.757548495,1244062.3991668522,1269048.479034403,1294302.997151147
Homa (50%),1242894.694655935,1276992.8685418596,1312933.8741087548,1350717.711356623,1390344.3802854628
Homa,1170318.7277478073,1187137.4607306477,1204877.6095539744,1223539.1742177866,1243122.1547220857
"Vortex (Shielded, Stacked)",1165871.4472488174,1194250.188385773,1222628.9295227297,1251007.6706596848,1279386.4117966418
"Vortex (Shielded, Unstacked)",1154608.3790355339,1180171.3531191682,1205734.327202804,1231297.3012864382,1256860.2753700742
CalamityQueller (Stacked),1158798.7317666174,1187043.500838877,1215618.7568957596,1244524.4999372673,1273760.7299633985
CalamityQueller (Unstacked),1146727.5363782085,1171767.0742404312,1197062.1261421037,1222612.6920832274,1248418.7720638008
"Vortex (Unshielded, Stacked)",1109113.9649749051,1123303.335543383,1137492.706111861,1151682.0766803394,1165871.4472488174
"Vortex (Unshielded, Unstacked)",1103482.4308682634,1116263.9179100806,1129045.4049518981,1141826.8919937161,1154608.3790355339
StaffOfTheScarletSands,1127991.0492048846,1127991.0492048846,1127991.0492048846,1127991.0492048846,1127991.0492048846
SkywardSpine,1127597.7369939445,1141260.8370315926,1153211.7873247857,1166366.5721572551,1178881.0702729037
EngulfingLightning,1096906.449963655,1117566.98385447,1139736.7733380175,1163415.8184142974,1188604.1190833105
Lithic (4 Stacks),1117871.601685121,1157589.7009533942,1197949.6890452672,1238953.4502296085,1280602.8687752855
Lithic (3 Stacks),1077611.0784593767,1106162.8128437144,1134547.0560228787,1163345.429708532,1197178.716336516
Lithic (2 Stacks),1036085.5415249274,1055955.3402388927,1073893.9776978968,1094454.0240023078,1112273.4044370754
Lithic (1 Stacks),997332.3812438073,1006963.5146011928,1016632.6019293225,1024820.4194081755,1034496.5092542081
Deathmatch (1 Opponent),1088050.9881458448,1105893.9544075096,1123736.9206691745,1141579.8869308394,1159422.8531925047
Deathmatch (2+ Opponents),1064260.3664636249,1076155.677304734,1088050.9881458448,1099946.298986955,1111841.6098280651
Blackcliff (3 Stacks),1113712.4749218756,1140838.6994048473,1167964.9238878188,1195091.1483707903,1222217.3728537613
Blackcliff (2 Stacks),1077544.1756112473,1095628.3252665615,1113712.4749218756,1131796.6245771903,1149880.7742325044
Blackcliff (1 Stacks),1041375.8763006188,1050417.951128276,1059460.025955933,1068502.1007835902,1077544.1756112473
Blackcliff (0 Stacks),1005207.5769899902,1005207.5769899902,1005207.5769899902,1005207.5769899902,1005207.5769899902
MissiveWindspear (On),985459.0370627868,993101.0181696209,1000742.9992764555,1008384.9803832893,1016026.9614901233
MissiveWindspear (Off),954891.1126354494,954891.1126354494,954891.1126354494,954891.1126354494,954891.1126354494
WavebreakersFin,958848.140854323,958848.140854323,958848.140854323,958848.140854323,958848.140854323
FavoniusLance,998619.3863000814,998619.3863000814,998619.3863000814,998619.3863000814,998619.3863000814
PrototypeStarglitter,959303.9997531039,959303.9997531039,959303.9997531039,959303.9997531039,959303.9997531039
WhiteTassel,901943.8708395747,901943.8708395747,901943.8708395747,901943.8708395747,901943.8708395747
