Weapon,R1,R2,R3,R4,R5
PJWS (Stacked),583274.2609239707,601372.2013687972,619732.6754613793,638355.6832017165,657241.2245898092
PJWS,570963.9811622024,586003.6629848006,601237.7797182023,616666.3313624073,632289.3179174158
Homa (50%),596087.8325728645,617565.1681273987,640203.243682707,664002.0592387901,688961.6147956481
Homa,550374.5811918554,560968.1564690255,572142.1017465829,583896.4170245277,596231.1023028597
"Vortex (Shielded, Stacked)",569331.5434143291,586839.3182647388,604347.0931151484,621854.8679655578,639362.6428159676
"Vortex (Shielded, Unstacked)",562814.7149900009,578693.2827343284,594571.850478656,610450.4182229836,626328.9859673113
CalamityQueller (Stacked),559111.665709852,575787.0041541948,592698.3179598433,609845.6071267975,627228.8716550575
CalamityQueller (Unstacked),551859.4137315961,566587.8581331896,581498.7454768147,596592.0757624714,611867.8489901597
"Vortex (Unshielded, Stacked)",534315.9937135096,543069.8811387146,551823.7685639194,560577.6559891243,569331.5434143291
"Vortex (Unshielded, Unstacked)",531057.5795013455,538996.8633735095,546936.1472456732,554875.4311178371,562814.7149900009
StaffOfTheScarletSands,517458.22808537283,517458.22808537283,517458.22808537283,517458.22808537283,517458.22808537283
SkywardSpine,525478.5328443976,531589.9229164453,539007.0022843345,545046.6046736268,552733.9842464245
EngulfingLightning,513017.9094592635,525933.8103706089,539796.5618121735,554606.1637839575,570362.616285961
Lithic (4 Stacks),531373.6516318319,553270.8311436347,576106.9968696762,599386.079419944,623109.4108373768
Lithic (3 Stacks),508096.4239717126,524112.3669164543,540350.2780552563,557046.2670053917,574181.1663318835
Lithic (2 Stacks),485707.2870476565,495832.66695105215,506247.776302602,516851.0822010766,527553.0406302445
Lithic (1 Stacks),463867.9067629588,468800.499663862,473756.74657400046,478736.64749337407,483740.20242198335
Deathmatch (1 Opponent),498221.6170356392,509467.4202223219,520713.2234090048,531959.0265956877,543204.8297823706
Deathmatch (2+ Opponents),483227.2127867285,490724.4149111836,498221.6170356392,505718.81916009437,513216.0212845493
Blackcliff (3 Stacks),520633.15860627824,537653.8837675998,554674.6089289212,571695.3340902425,588716.0592515642
Blackcliff (2 Stacks),497938.8583911827,509286.00849873055,520633.15860627824,531980.3087138259,543327.4588213738
Blackcliff (1 Stacks),475244.55817608756,480918.13322986127,486591.7082836351,492265.2833374089,497938.8583911827
Blackcliff (0 Stacks),452550.25796099193,452550.25796099193,452550.25796099193,452550.25796099193,452550.25796099193
MissiveWindspear (On),459898.2026852136,464612.79111547035,469327.3795457268,474041.96797598334,478756.55640624
MissiveWindspear (Off),441039.8489641874,441039.8489641874,441039.8489641874,441039.8489641874,441039.8489641874
WavebreakersFin,441383.2302321292,441383.2302321292,441383.2302321292,441383.2302321292,441383.2302321292
FavoniusLance,452589.127400199,452589.127400199,452589.127400199,452589.127400199,452589.127400199
PrototypeStarglitter,429266.9738101228,429266.9738101228,429266.9738101228,429266.9738101228,429266.9738101228
WhiteTassel,393141.61430882866,393141.61430882866,393141.61430882866,393141.61430882866,393141.61430882866
