weapon,refine,atk,crate,cdmg
PJWS (Stacked),R1,1,13,6
PJWS (Stacked),R2,0,13,7
PJWS (Stacked),R3,0,13,7
PJWS (Stacked),R4,0,13,7
PJWS (Stacked),R5,0,13,7
PJWS,R1,1,13,6
PJWS,R2,1,13,6
PJWS,R3,1,13,6
PJWS,R4,0,13,7
PJWS,R5,0,13,7
Homa (50%),R1,0,19,1
Homa (50%),R2,0,19,1
Homa (50%),R3,0,19,1
Homa (50%),R4,0,19,1
Homa (50%),R5,0,19,1
Homa,R1,1,19,0
Homa,R2,1,19,0
Homa,R3,1,19,0
Homa,R4,1,19,0
Homa,R5,0,19,1
"Vortex (Shielded, Stacked)",R1,0,17,3
"Vortex (Shielded, Stacked)",R2,0,17,3
"Vortex (Shielded, Stacked)",R3,0,17,3
"Vortex (Shielded, Stacked)",R4,0,17,3
"Vortex (Shielded, Stacked)",R5,0,17,3
"Vortex (Shielded, Unstacked)",R1,0,17,3
"Vortex (Shielded, Unstacked)",R2,0,17,3
"Vortex (Shielded, Unstacked)",R3,0,17,3
"Vortex (Shielded, Unstacked)",R4,0,17,3
"Vortex (Shielded, Unstacked)",R5,0,17,3
CalamityQueller (Stacked),R1,0,17,3
CalamityQueller (Stacked),R2,0,17,3
CalamityQueller (Stacked),R3,0,17,3
CalamityQueller (Stacked),R4,0,17,3
CalamityQueller (Stacked),R5,0,17,3
CalamityQueller (Unstacked),R1,0,17,3
CalamityQueller (Unstacked),R2,0,17,3
CalamityQueller (Unstacked),R3,0,17,3
CalamityQueller (Unstacked),R4,0,17,3
CalamityQueller (Unstacked),R5,0,17,3
"Vortex (Unshielded, Stacked)",R1,0,17,3
"Vortex (Unshielded, Stacked)",R2,0,17,3
"Vortex (Unshielded, Stacked)",R3,0,17,3
"Vortex (Unshielded, Stacked)",R4,0,17,3
"Vortex (Unshielded, Stacked)",R5,0,17,3
"Vortex (Unshielded, Unstacked)",R1,0,17,3
"Vortex (Unshielded, Unstacked)",R2,0,17,3
"Vortex (Unshielded, Unstacked)",R3,0,17,3
"Vortex (Unshielded, Unstacked)",R4,0,17,3
"Vortex (Unshielded, Unstacked)",R5,0,17,3
StaffOfTheScarletSands,R1,5,8,7
StaffOfTheScarletSands,R2,5,8,7
StaffOfTheScarletSands,R3,5,8,7
StaffOfTheScarletSands,R4,5,8,7
