weapon,refine,atk,crate,cdmg
PJWS (Stacked),R1,2,13,5
PJWS (Stacked),R2,2,13,5
PJWS (Stacked),R3,1,13,6
PJWS (Stacked),R4,1,13,6
PJWS (Stacked),R5,1,13,6
PJWS,R1,3,12,5
PJWS,R2,2,13,5
PJWS,R3,2,13,5
PJWS,R4,1,13,6
PJWS,R5,1,13,6
Homa (50%),R1,1,19,0
Homa (50%),R2,1,19,0
Homa (50%),R3,0,19,1
Homa (50%),R4,0,19,1
Homa (50%),R5,0,19,1
Homa,R1,2,18,0
Homa,R2,1,19,0
Homa,R3,1,19,0
Homa,R4,1,19,0
Homa,R5,1,19,0
"Vortex (Shielded, Stacked)",R1,0,17,3
"Vortex (Shielded, Stacked)",R2,0,17,3
"Vortex (Shielded, Stacked)",R3,0,17,3
"Vortex (Shielded, Stacked)",R4,0,17,3
"Vortex (Shielded, Stacked)",R5,0,17,3
"Vortex (Shielded, Unstacked)",R1,0,17,3
"Vortex (Shielded, Unstacked)",R2,0,17,3
"Vortex (Shielded, Unstacked)",R3,0,17,3
"Vortex (Shielded, Unstacked)",R4,0,17,3
"Vortex (Shielded, Unstacked)",R5,0,17,3
CalamityQueller (Stacked),R1,0,17,3
CalamityQueller (Stacked),R2,0,17,3
CalamityQueller (Stacked),R3,0,17,3
CalamityQueller (Stacked),R4,0,17,3
CalamityQueller (Stacked),R5,0,17,3
CalamityQueller (Unstacked),R1,1,16,3
CalamityQueller (Unstacked),R2,0,17,3
CalamityQueller (Unstacked),R3,0,17,3
CalamityQueller (Unstacked),R4,0,17,3
CalamityQueller (Unstacked),R5,0,17,3
"Vortex (Unshielded, Stacked)",R1,0,17,3
"Vortex (Unshielded, Stacked)",R2,0,17,3
"Vortex (Unshielded, Stacked)",R3,0,17,3
"Vortex (Unshielded, Stacked)",R4,0,17,3
"Vortex (Unshielded, Stacked)",R5,0,17,3
"Vortex (Unshielded, Unstacked)",R1,0,17,3
"Vortex (Unshielded, Unstacked)",R2,0,17,3
"Vortex (Unshielded, Unstacked)",R3,0,17,3
"Vortex (Unshielded, Unstacked)",R4,0,17,3
"Vortex (Unshielded, Unstacked)",R5,0,17,3
StaffOfTheScarletSands,R1,6,8,6
StaffOfTheScarletSands,R2,6,8,6
StaffOfTheScarletSands,R3,6,8,6
