weapon,refine,atk,crate,cdmg
PJWS (Stacked),R1,0,4,16
PJWS (Stacked),R2,0,4,16
PJWS (Stacked),R3,0,4,16
PJWS (Stacked),R4,0,4,16
PJWS (Stacked),R5,0,4,16
PJWS,R1,0,4,16
PJWS,R2,0,4,16
PJWS,R3,0,4,16
PJWS,R4,0,4,16
PJWS,R5,0,4,16
Homa (50%),R1,0,10,10
Homa (50%),R2,0,10,10
Homa (50%),R3,0,10,10
Homa (50%),R4,0,10,10
Homa (50%),R5,0,10,10
Homa,R1,0,10,10
Homa,R2,0,10,10
Homa,R3,0,10,10
Homa,R4,0,10,10
Homa,R5,0,10,10
"Vortex (Shielded, Stacked)",R1,0,10,10
"Vortex (Shielded, Stacked)",R2,0,10,10
"Vortex (Shielded, Stacked)",R3,0,10,10
"Vortex (Shielded, Stacked)",R4,0,10,10
"Vortex (Shielded, Stacked)",R5,0,10,10
"Vortex (Shielded, Unstacked)",R1,0,10,10
"Vortex (Shielded, Unstacked)",R2,0,10,10
"Vortex (Shielded, Unstacked)",R3,0,10,10
"Vortex (Shielded, Unstacked)",R4,0,10,10
"Vortex (Shielded, Unstacked)",R5,0,10,10
CalamityQueller (Stacked),R1,0,10,10
CalamityQueller (Stacked),R2,0,10,10
CalamityQueller (Stacked),R3,0,10,10
CalamityQueller (Stacked),R4,0,10,10
CalamityQueller (Stacked),R5,0,10,10
CalamityQueller (Unstacked),R1,0,10,10
CalamityQueller (Unstacked),R2,0,10,10
CalamityQueller (Unstacked),R3,0,10,10
CalamityQueller (Unstacked),R4,0,10,10
CalamityQueller (Unstacked),R5,0,10,10
"Vortex (Unshielded, Stacked)",R1,0,10,10
"Vortex (Unshielded, Stacked)",R2,0,10,10
"Vortex (Unshielded, Stacked)",R3,0,10,10
"Vortex (Unshielded, Stacked)",R4,0,10,10
"Vortex (Unshielded, Stacked)",R5,0,10,10
"Vortex (Unshielded, Unstacked)",R1,0,10,10
"Vortex (Unshielded, Unstacked)",R2,0,10,10
"Vortex (Unshielded, Unstacked)",R3,0,10,10
"Vortex (Unshielded, Unstacked)",R4,0,10,10
"Vortex (Unshielded, Unstacked)",R5,0,10,10
StaffOfTheScarletSands,R1,1,0,19
StaffOfTheScarletSands,R2,1,0,19
StaffOfTheScarletSands,R3,1,0,19
StaffOfTheScarletSands,R4,1,0,19
StaffOfTheScarletSands,R5,1,0,19
SkywardSpine,R1,0,8,12
SkywardSpine,R2,0,7,13
SkywardSpine,R3,0,7,13
SkywardSpine,R4,0,6,14
SkywardSpine,R5,0,6,14
EngulfingLightning,R1,0,10,10
EngulfingLightning,R2,0,10,10
EngulfingLightning,R3,0,10,10
EngulfingLightning,R4,0,10,10
EngulfingLightning,R5,0,10,10
Lithic (4 Stacks),R1,0,7,13
Lithic (4 Stacks),R2,0,6,14
Lithic (4 Stacks),R3,0,5,15
Lithic (4 Stacks),R4,0,4,16
Lithic (4 Stacks),R5,0,3,17
Lithic (3 Stacks),R1,0,8,12
Lithic (3 Stacks),R2,0,7,13
Lithic (3 Stacks),R3,0,6,14
Lithic (3 Stacks),R4,0,5,15
