weapon,refine,atk,crate,cdmg
PJWS (Stacked),R1,5,4,11
PJWS (Stacked),R2,5,4,11
PJWS (Stacked),R3,4,4,12
PJWS (Stacked),R4,4,4,12
PJWS (Stacked),R5,3,4,13
PJWS,R1,6,4,10
PJWS,R2,5,4,11
PJWS,R3,5,4,11
PJWS,R4,5,4,11
PJWS,R5,4,4,12
Homa (50%),R1,5,10,5
Homa (50%),R2,4,10,6
Homa (50%),R3,3,10,7
Homa (50%),R4,2,10,8
Homa (50%),R5,1,10,9
Homa,R1,7,10,3
Homa,R2,6,10,4
Homa,R3,6,10,4
Homa,R4,5,10,5
Homa,R5,5,10,5
"Vortex (Shielded, Stacked)",R1,0,10,10
"Vortex (Shielded, Stacked)",R2,0,10,10
"Vortex (Shielded, Stacked)",R3,0,10,10
"Vortex (Shielded, Stacked)",R4,0,10,10
"Vortex (Shielded, Stacked)",R5,0,10,10
"Vortex (Shielded, Unstacked)",R1,0,10,10
"Vortex (Shielded, Unstacked)",R2,0,10,10
"Vortex (Shielded, Unstacked)",R3,0,10,10
"Vortex (Shielded, Unstacked)",R4,0,10,10
"Vortex (Shielded, Unstacked)",R5,0,10,10
CalamityQueller (Stacked),R1,1,10,9
CalamityQueller (Stacked),R2,1,10,9
CalamityQueller (Stacked),R3,0,10,10
CalamityQueller (Stacked),R4,0,10,10
CalamityQueller (Stacked),R5,0,10,10
CalamityQueller (Unstacked),R1,2,9,9
CalamityQueller (Unstacked),R2,1,10,9
CalamityQueller (Unstacked),R3,1,10,9
CalamityQueller (Unstacked),R4,0,10,10
CalamityQueller (Unstacked),R5,0,10,10
"Vortex (Unshielded, Stacked)",R1,0,10,10
"Vortex (Unshielded, Stacked)",R2,0,10,10
"Vortex (Unshielded, Stacked)",R3,0,10,10
"Vortex (Unshielded, Stacked)",R4,0,10,10
"Vortex (Unshielded, Stacked)",R5,0,10,10
"Vortex (Unshielded, Unstacked)",R1,0,10,10
"Vortex (Unshielded, Unstacked)",R2,0,10,10
"Vortex (Unshielded, Unstacked)",R3,0,10,10
"Vortex (Unshielded, Unstacked)",R4,0,10,10
"Vortex (Unshielded, Unstacked)",R5,0,10,10
StaffOfTheScarletSands,R1,8,0,12
StaffOfTheScarletSands,R2,8,0,12
StaffOfTheScarletSands,R3,8,0,12
StaffOfTheScarletSands,R4,8,0,12
StaffOfTheScarletSands,R5,8,0,12
SkywardSpine,R1,7,8,10
SkywardSpine,R2,8,7,10
SkywardSpine,R3,8,7,10
