weapon,refine,atk,crate,cdmg
PJWS (Stacked),R1,0,13,7
PJWS (Stacked),R2,0,13,7
PJWS (Stacked),R3,0,13,7
PJWS (Stacked),R4,0,13,7
PJWS (Stacked),R5,0,13,7
PJWS,R1,0,13,7
PJWS,R2,0,13,7
PJWS,R3,0,13,7
PJWS,R4,0,13,7
PJWS,R5,0,13,7
Homa (50%),R1,0,19,1
Homa (50%),R2,0,19,1
Homa (50%),R3,0,19,1
Homa (50%),R4,0,19,1
Homa (50%),R5,0,19,1
Homa,R1,0,19,1
Homa,R2,0,19,1
Homa,R3,0,19,1
Homa,R4,0,19,1
Homa,R5,0,19,1
"Vortex (Shielded, Stacked)",R1,0,17,3
"Vortex (Shielded, Stacked)",R2,0,17,3
"Vortex (Shielded, Stacked)",R3,0,17,3
"Vortex (Shielded, Stacked)",R4,0,17,3
"Vortex (Shielded, Stacked)",R5,0,17,3
"Vortex (Shielded, Unstacked)",R1,0,17,3
"Vortex (Shielded, Unstacked)",R2,0,17,3
"Vortex (Shielded, Unstacked)",R3,0,17,3
"Vortex (Shielded, Unstacked)",R4,0,17,3
"Vortex (Shielded, Unstacked)",R5,0,17,3
CalamityQueller (Stacked),R1,0,17,3
CalamityQueller (Stacked),R2,0,17,3
CalamityQueller (Stacked),R3,0,17,3
CalamityQueller (Stacked),R4,0,17,3
CalamityQueller (Stacked),R5,0,17,3
CalamityQueller (Unstacked),R1,0,17,3
CalamityQueller (Unstacked),R2,0,17,3
CalamityQueller (Unstacked),R3,0,17,3
CalamityQueller (Unstacked),R4,0,17,3
CalamityQueller (Unstacked),R5,0,17,3
"Vortex (Unshielded, Stacked)",R1,0,17,3
"Vortex (Unshielded, Stacked)",R2,0,17,3
"Vortex (Unshielded, Stacked)",R3,0,17,3
"Vortex (Unshielded, Stacked)",R4,0,17,3
"Vortex (Unshielded, Stacked)",R5,0,17,3
"Vortex (Unshielded, Unstacked)",R1,0,17,3
"Vortex (Unshielded, Unstacked)",R2,0,17,3
"Vortex (Unshielded, Unstacked)",R3,0,17,3
"Vortex (Unshielded, Unstacked)",R4,0,17,3
"Vortex (Unshielded, Unstacked)",R5,0,17,3
StaffOfTheScarletSands,R1,0,8,12
StaffOfTheScarletSands,R2,0,8,12
StaffOfTheScarletSands,R3,0,8,12
StaffOfTheScarletSands,R4,0,8,12
StaffOfTheScarletSands,R5,0,8,12
SkywardSpine,R1,0,16,4
SkywardSpine,R2,0,15,5
SkywardSpine,R3,0,15,5
SkywardSpine,R4,0,15,5
SkywardSpine,R5,0,15,5
EngulfingLightning,R1,0,17,3
EngulfingLightning,R2,0,17,3
EngulfingLightning,R3,0,17,3
EngulfingLightning,R4,0,17,3
EngulfingLightning,R5,0,17,3
Lithic (4 Stacks),R1,0,15,5
Lithic (4 Stacks),R2,0,15,5
Lithic (4 Stacks),R3,0,14,6
Lithic (4 Stacks),R4,0,13,7
Lithic (4 Stacks),R5,0,12,8
Lithic (3 Stacks),R1,0,16,4
Lithic (3 Stacks),R2,0,15,5
Lithic (3 Stacks),R3,0,15,5
Lithic (3 Stacks),R4,0,14,6
Lithic (3 Stacks),R5,0,14,6
Lithic (2 Stacks),R1,0,16,4
Lithic (2 Stacks),R2,0,16,4
Lithic (2 Stacks),R3,0,15,5
Lithic (2 Stacks),R4,0,15,5
Lithic (2 Stacks),R5,0,15,5
Lithic (1 Stacks),R1,0,16,4
Lithic (1 Stacks),R2,0,16,4
Lithic (1 Stacks),R3,0,16,4
Lithic (1 Stacks),R4,0,16,4
Lithic (1 Stacks),R5,0,16,4
Deathmatch (1 Opponent),R1,0,10,10
Deathmatch (1 Opponent),R2,0,10,10
Deathmatch (1 Opponent),R3,0,10,10
Deathmatch (1 Opponent),R4,0,10,10
Deathmatch (1 Opponent),R5,0,10,10
Deathmatch (2+ Opponents),R1,0,10,10
Deathmatch (2+ Opponents),R2,0,10,10
Deathmatch (2+ Opponents),R3,0,10,10
Deathmatch (2+ Opponents),R4,0,10,10
Deathmatch (2+ Opponents),R5,0,10,10
Blackcliff (3 Stacks),R1,0,19,1
Blackcliff (3 Stacks),R2,0,19,1
Blackcliff (3 Stacks),R3,0,19,1
Blackcliff (3 Stacks),R4,0,19,1
Blackcliff (3 Stacks),R5,0,19,1
Blackcliff (2 Stacks),R1,0,19,1
Blackcliff (2 Stacks),R2,0,19,1
Blackcliff (2 Stacks),R3,0,19,1
Blackcliff (2 Stacks),R4,0,19,1
Blackcliff (2 Stacks),R5,0,19,1
Blackcliff (1 Stacks),R1,0,19,1
Blackcliff (1 Stacks),R2,0,19,1
Blackcliff (1 Stacks),R3,0,19,1
