weapon,refine,atk,crate,cdmg
PJWS,R1,0,13,12
PJWS,R2,0,13,12
PJWS,R3,0,13,12
PJWS,R4,0,13,12
PJWS,R5,0,13,12
Homa (50%),R1,0,19,6
Homa (50%),R2,0,19,6
Homa (50%),R3,0,19,6
Homa (50%),R4,0,19,6
Homa (50%),R5,0,19,6
Homa,R1,0,19,6
Homa,R2,0,19,6
Homa,R3,0,19,6
Homa,R4,0,19,6
Homa,R5,0,19,6
LumidouceElegy,R1,0,11,14
LumidouceElegy,R2,0,11,14
LumidouceElegy,R3,0,11,14
LumidouceElegy,R4,0,11,14
LumidouceElegy,R5,0,11,14
"Vortex (Shielded, Stacked)",R1,0,17,8
"Vortex (Shielded, Stacked)",R2,0,17,8
"Vortex (Shielded, Stacked)",R3,0,17,8
"Vortex (Shielded, Stacked)",R4,0,17,8
"Vortex (Shielded, Stacked)",R5,0,17,8
"Vortex (Shielded, Unstacked)",R1,0,17,8
"Vortex (Shielded, Unstacked)",R2,0,17,8
"Vortex (Shielded, Unstacked)",R3,0,17,8
"Vortex (Shielded, Unstacked)",R4,0,17,8
"Vortex (Shielded, Unstacked)",R5,0,17,8
CalamityQueller (Stacked),R1,0,17,8
CalamityQueller (Stacked),R2,0,17,8
CalamityQueller (Stacked),R3,0,17,8
CalamityQueller (Stacked),R4,0,17,8
CalamityQueller (Stacked),R5,0,17,8
CalamityQueller (Unstacked),R1,0,17,8
CalamityQueller (Unstacked),R2,0,17,8
CalamityQueller (Unstacked),R3,0,17,8
CalamityQueller (Unstacked),R4,0,17,8
CalamityQueller (Unstacked),R5,0,17,8
"Vortex (Unshielded, Stacked)",R1,0,17,8
"Vortex (Unshielded, Stacked)",R2,0,17,8
"Vortex (Unshielded, Stacked)",R3,0,17,8
"Vortex (Unshielded, Stacked)",R4,0,17,8
"Vortex (Unshielded, Stacked)",R5,0,17,8
"Vortex (Unshielded, Unstacked)",R1,0,17,8
"Vortex (Unshielded, Unstacked)",R2,0,17,8
"Vortex (Unshielded, Unstacked)",R3,0,17,8
"Vortex (Unshielded, Unstacked)",R4,0,17,8
"Vortex (Unshielded, Unstacked)",R5,0,17,8
StaffOfTheScarletSands,R1,3,8,14
StaffOfTheScarletSands,R2,3,8,14
StaffOfTheScarletSands,R3,3,8,14
StaffOfTheScarletSands,R4,3,8,14
StaffOfTheScarletSands,R5,3,8,14
SkywardSpine,R1,0,16,9
SkywardSpine,R2,0,15,10
SkywardSpine,R3,0,15,10
SkywardSpine,R4,0,15,10
SkywardSpine,R5,0,15,10
EngulfingLightning,R1,0,17,8
EngulfingLightning,R2,0,17,8
EngulfingLightning,R3,0,17,8
EngulfingLightning,R4,0,17,8
EngulfingLightning,R5,0,17,8
Lithic (4 Stacks),R1,0,15,10
Lithic (4 Stacks),R2,0,15,10
Lithic (4 Stacks),R3,0,14,11
Lithic (4 Stacks),R4,0,13,12
Lithic (4 Stacks),R5,0,12,13
Lithic (3 Stacks),R1,0,15,10
Lithic (3 Stacks),R2,0,15,10
Lithic (3 Stacks),R3,0,15,10
Lithic (3 Stacks),R4,0,14,11
Lithic (3 Stacks),R5,0,14,11
Lithic (2 Stacks),R1,0,16,9
Lithic (2 Stacks),R2,0,16,9
Lithic (2 Stacks),R3,0,15,10
Lithic (2 Stacks),R4,0,15,10
Lithic (2 Stacks),R5,0,15,10
Lithic (1 Stacks),R1,0,16,9
Lithic (1 Stacks),R2,0,16,9
Lithic (1 Stacks),R3,0,16,9
Lithic (1 Stacks),R4,0,16,9
Lithic (1 Stacks),R5,0,16,9
Deathmatch (1 Opponent),R1,0,10,15
Deathmatch (1 Opponent),R2,0,10,15
Deathmatch (1 Opponent),R3,0,10,15
Deathmatch (1 Opponent),R4,0,10,15
Deathmatch (1 Opponent),R5,0,10,15
Deathmatch (2+ Opponents),R1,0,10,15
Deathmatch (2+ Opponents),R2,0,10,15
Deathmatch (2+ Opponents),R3,0,10,15
Deathmatch (2+ Opponents),R4,0,10,15
Deathmatch (2+ Opponents),R5,0,10,15
Blackcliff (3 Stacks),R1,0,19,6
Blackcliff (3 Stacks),R2,0,19,6
Blackcliff (3 Stacks),R3,0,19,6
Blackcliff (3 Stacks),R4,0,19,6
Blackcliff (3 Stacks),R5,0,19,6
Blackcliff (2 Stacks),R1,0,19,6
Blackcliff (2 Stacks),R2,0,19,6
Blackcliff (2 Stacks),R3,0,19,6
Blackcliff (2 Stacks),R4,0,19,6
Blackcliff (2 Stacks),R5,0,19,6
Blackcliff (1 Stacks),R1,0,19,6
Blackcliff (1 Stacks),R2,0,19,6
Blackcliff (1 Stacks),R3,0,19,6
Blackcliff (1 Stacks),R4,0,19,6
Blackcliff (1 Stacks),R5,0,19,6
Blackcliff (0 Stacks),R1,1,19,5
Blackcliff (0 Stacks),R2,1,19,5
Blackcliff (0 Stacks),R3,1,19,5
Blackcliff (0 Stacks),R4,1,19,5
Blackcliff (0 Stacks),R5,1,19,5
MissiveWindspear (On),R1,0,17,8
MissiveWindspear (On),R2,0,17,8
MissiveWindspear (On),R3,0,17,8
MissiveWindspear (On),R4,0,17,8
MissiveWindspear (On),R5,0,17,8
MissiveWindspear (Off),R1,0,17,8
