weapon,refine,atk,crate,cdmg
PJWS (Stacked),R1,4,12,9
PJWS (Stacked),R2,3,12,10
PJWS (Stacked),R3,2,13,10
PJWS (Stacked),R4,2,13,10
PJWS (Stacked),R5,1,13,11
PJWS,R1,4,12,9
PJWS,R2,3,12,10
PJWS,R3,3,12,10
PJWS,R4,2,13,10
PJWS,R5,1,13,11
Homa (50%),R1,2,19,4
Homa (50%),R2,2,19,4
Homa (50%),R3,1,19,5
Homa (50%),R4,0,19,6
Homa (50%),R5,0,19,6
Homa,R1,4,19,2
Homa,R2,4,19,2
Homa,R3,3,19,3
Homa,R4,3,19,3
Homa,R5,2,19,4
"Vortex (Shielded, Stacked)",R1,0,17,8
"Vortex (Shielded, Stacked)",R2,0,17,8
"Vortex (Shielded, Stacked)",R3,0,17,8
"Vortex (Shielded, Stacked)",R4,0,17,8
"Vortex (Shielded, Stacked)",R5,0,17,8
"Vortex (Shielded, Unstacked)",R1,0,17,8
"Vortex (Shielded, Unstacked)",R2,0,17,8
"Vortex (Shielded, Unstacked)",R3,0,17,8
"Vortex (Shielded, Unstacked)",R4,0,17,8
"Vortex (Shielded, Unstacked)",R5,0,17,8
CalamityQueller (Stacked),R1,1,16,8
CalamityQueller (Stacked),R2,0,17,8
CalamityQueller (Stacked),R3,0,17,8
CalamityQueller (Stacked),R4,0,17,8
CalamityQueller (Stacked),R5,0,17,8
CalamityQueller (Unstacked),R1,1,16,8
CalamityQueller (Unstacked),R2,1,16,8
CalamityQueller (Unstacked),R3,1,16,8
CalamityQueller (Unstacked),R4,0,17,8
CalamityQueller (Unstacked),R5,0,17,8
"Vortex (Unshielded, Stacked)",R1,0,17,8
"Vortex (Unshielded, Stacked)",R2,0,17,8
"Vortex (Unshielded, Stacked)",R3,0,17,8
"Vortex (Unshielded, Stacked)",R4,0,17,8
"Vortex (Unshielded, Stacked)",R5,0,17,8
"Vortex (Unshielded, Unstacked)",R1,0,17,8
"Vortex (Unshielded, Unstacked)",R2,0,17,8
"Vortex (Unshielded, Unstacked)",R3,0,17,8
"Vortex (Unshielded, Unstacked)",R4,0,17,8
"Vortex (Unshielded, Unstacked)",R5,0,17,8
StaffOfTheScarletSands,R1,7,7,11
StaffOfTheScarletSands,R2,7,7,11
StaffOfTheScarletSands,R3,7,7,11
StaffOfTheScarletSands,R4,7,7,11
StaffOfTheScarletSands,R5,7,7,11
SkywardSpine,R1,7,12,6
SkywardSpine,R2,6,12,7
SkywardSpine,R3,6,12,7
SkywardSpine,R4,6,12,7
SkywardSpine,R5,7,11,7
EngulfingLightning,R1,3,15,7
EngulfingLightning,R2,1,16,8
EngulfingLightning,R3,1,16,8
EngulfingLightning,R4,0,17,8
EngulfingLightning,R5,0,17,8
Lithic (4 Stacks),R1,0,15,10
Lithic (4 Stacks),R2,0,15,10
Lithic (4 Stacks),R3,0,14,11
Lithic (4 Stacks),R4,0,13,12
Lithic (4 Stacks),R5,0,12,13
Lithic (3 Stacks),R1,0,15,10
Lithic (3 Stacks),R2,0,15,10
Lithic (3 Stacks),R3,0,15,10
Lithic (3 Stacks),R4,0,14,11
Lithic (3 Stacks),R5,0,14,11
Lithic (2 Stacks),R1,0,16,9
Lithic (2 Stacks),R2,0,16,9
Lithic (2 Stacks),R3,0,15,10
Lithic (2 Stacks),R4,0,15,10
Lithic (2 Stacks),R5,0,15,10
Lithic (1 Stacks),R1,0,16,9
