weapon,refine,atk,crate,cdmg
PJWS (Stacked),R1,9,4,12
PJWS (Stacked),R2,8,4,13
PJWS (Stacked),R3,8,4,13
PJWS (Stacked),R4,7,4,14
PJWS (Stacked),R5,7,4,14
PJWS,R1,9,4,12
PJWS,R2,9,4,12
PJWS,R3,8,4,13
PJWS,R4,8,4,13
PJWS,R5,8,4,13
Homa (50%),R1,8,10,7
Homa (50%),R2,7,10,8
Homa (50%),R3,7,10,8
Homa (50%),R4,6,10,9
Homa (50%),R5,5,10,10
Homa,R1,10,10,5
Homa,R2,10,10,5
Homa,R3,9,10,6
Homa,R4,9,10,6
Homa,R5,8,10,7
LumidouceElegy,R1,10,2,13
LumidouceElegy,R2,10,2,13
LumidouceElegy,R3,9,2,14
LumidouceElegy,R4,9,2,14
LumidouceElegy,R5,9,2,14
"Vortex (Shielded, Stacked)",R1,0,10,15
"Vortex (Shielded, Stacked)",R2,0,10,15
"Vortex (Shielded, Stacked)",R3,0,10,15
"Vortex (Shielded, Stacked)",R4,0,10,15
"Vortex (Shielded, Stacked)",R5,0,10,15
"Vortex (Shielded, Unstacked)",R1,0,10,15
"Vortex (Shielded, Unstacked)",R2,0,10,15
"Vortex (Shielded, Unstacked)",R3,0,10,15
"Vortex (Shielded, Unstacked)",R4,0,10,15
"Vortex (Shielded, Unstacked)",R5,0,10,15
CalamityQueller (Stacked),R1,5,10,10
CalamityQueller (Stacked),R2,4,10,11
CalamityQueller (Stacked),R3,4,10,11
CalamityQueller (Stacked),R4,3,10,12
CalamityQueller (Stacked),R5,3,10,12
CalamityQueller (Unstacked),R1,5,10,10
CalamityQueller (Unstacked),R2,5,10,10
CalamityQueller (Unstacked),R3,4,10,11
CalamityQueller (Unstacked),R4,4,10,11
CalamityQueller (Unstacked),R5,4,10,11
"Vortex (Unshielded, Stacked)",R1,1,10,14
"Vortex (Unshielded, Stacked)",R2,1,10,14
"Vortex (Unshielded, Stacked)",R3,0,10,15
"Vortex (Unshielded, Stacked)",R4,0,10,15
"Vortex (Unshielded, Stacked)",R5,0,10,15
"Vortex (Unshielded, Unstacked)",R1,2,10,13
"Vortex (Unshielded, Unstacked)",R2,1,10,14
"Vortex (Unshielded, Unstacked)",R3,1,10,14
"Vortex (Unshielded, Unstacked)",R4,0,10,15
"Vortex (Unshielded, Unstacked)",R5,0,10,15
StaffOfTheScarletSands,R1,12,0,13
StaffOfTheScarletSands,R2,12,0,13
StaffOfTheScarletSands,R3,12,0,13
StaffOfTheScarletSands,R4,12,0,13
StaffOfTheScarletSands,R5,12,0,13
SkywardSpine,R1,9,8,8
SkywardSpine,R2,9,7,9
SkywardSpine,R3,9,7,9
SkywardSpine,R4,10,6,9
SkywardSpine,R5,9,6,10
EngulfingLightning,R1,6,10,9
EngulfingLightning,R2,5,10,10
EngulfingLightning,R3,4,10,11
EngulfingLightning,R4,4,10,11
EngulfingLightning,R5,3,10,12
Lithic (4 Stacks),R1,4,7,14
Lithic (4 Stacks),R2,4,6,15
Lithic (4 Stacks),R3,4,5,16
Lithic (4 Stacks),R4,4,4,17
