weapon,refine,atk,crate,cdmg
PJWS (Stacked),R1,8,4,13
PJWS (Stacked),R2,7,4,14
PJWS (Stacked),R3,7,4,14
PJWS (Stacked),R4,6,4,15
PJWS (Stacked),R5,6,4,15
PJWS,R1,8,4,13
PJWS,R2,8,4,13
PJWS,R3,7,4,14
PJWS,R4,7,4,14
PJWS,R5,7,4,14
Homa (50%),R1,7,10,8
Homa (50%),R2,6,10,9
Homa (50%),R3,6,10,9
Homa (50%),R4,5,10,10
Homa (50%),R5,4,10,11
Homa,R1,9,10,6
Homa,R2,9,10,6
Homa,R3,8,10,7
Homa,R4,8,10,7
Homa,R5,7,10,8
"Vortex (Shielded, Stacked)",R1,0,10,15
"Vortex (Shielded, Stacked)",R2,0,10,15
"Vortex (Shielded, Stacked)",R3,0,10,15
"Vortex (Shielded, Stacked)",R4,0,10,15
"Vortex (Shielded, Stacked)",R5,0,10,15
"Vortex (Shielded, Unstacked)",R1,0,10,15
"Vortex (Shielded, Unstacked)",R2,0,10,15
"Vortex (Shielded, Unstacked)",R3,0,10,15
"Vortex (Shielded, Unstacked)",R4,0,10,15
"Vortex (Shielded, Unstacked)",R5,0,10,15
CalamityQueller (Stacked),R1,4,10,11
CalamityQueller (Stacked),R2,3,10,12
CalamityQueller (Stacked),R3,3,10,12
CalamityQueller (Stacked),R4,2,10,13
CalamityQueller (Stacked),R5,2,10,13
CalamityQueller (Unstacked),R1,4,10,11
CalamityQueller (Unstacked),R2,3,10,12
CalamityQueller (Unstacked),R3,3,10,12
CalamityQueller (Unstacked),R4,3,10,12
CalamityQueller (Unstacked),R5,2,10,13
"Vortex (Unshielded, Stacked)",R1,0,10,15
"Vortex (Unshielded, Stacked)",R2,0,10,15
"Vortex (Unshielded, Stacked)",R3,0,10,15
"Vortex (Unshielded, Stacked)",R4,0,10,15
"Vortex (Unshielded, Stacked)",R5,0,10,15
"Vortex (Unshielded, Unstacked)",R1,1,10,14
"Vortex (Unshielded, Unstacked)",R2,0,10,15
"Vortex (Unshielded, Unstacked)",R3,0,10,15
"Vortex (Unshielded, Unstacked)",R4,0,10,15
"Vortex (Unshielded, Unstacked)",R5,0,10,15
StaffOfTheScarletSands,R1,11,0,14
StaffOfTheScarletSands,R2,11,0,14
StaffOfTheScarletSands,R3,11,0,14
StaffOfTheScarletSands,R4,11,0,14
StaffOfTheScarletSands,R5,11,0,14
SkywardSpine,R1,7,8,10
SkywardSpine,R2,8,7,10
SkywardSpine,R3,8,7,10
SkywardSpine,R4,9,6,10
SkywardSpine,R5,8,6,11
EngulfingLightning,R1,4,10,11
EngulfingLightning,R2,4,10,11
EngulfingLightning,R3,3,10,12
EngulfingLightning,R4,3,10,12
EngulfingLightning,R5,2,10,13
Lithic (4 Stacks),R1,3,7,15
Lithic (4 Stacks),R2,3,6,16
Lithic (4 Stacks),R3,3,5,17
Lithic (4 Stacks),R4,3,4,18
Lithic (4 Stacks),R5,3,3,19
Lithic (3 Stacks),R1,3,8,14
Lithic (3 Stacks),R2,3,7,15
Lithic (3 Stacks),R3,4,6,15
Lithic (3 Stacks),R4,4,5,16
Lithic (3 Stacks),R5,3,5,17
Lithic (2 Stacks),R1,4,8,13
Lithic (2 Stacks),R2,3,8,14
Lithic (2 Stacks),R3,4,7,14
Lithic (2 Stacks),R4,4,7,14
Lithic (2 Stacks),R5,4,6,15
Lithic (1 Stacks),R1,4,9,12
Lithic (1 Stacks),R2,4,9,12
Lithic (1 Stacks),R3,3,9,13
Lithic (1 Stacks),R4,4,8,13
Lithic (1 Stacks),R5,4,8,13
Deathmatch (1 Opponent),R1,8,1,16
Deathmatch (1 Opponent),R2,8,1,16
Deathmatch (1 Opponent),R3,7,1,17
Deathmatch (1 Opponent),R4,7,1,17
Deathmatch (1 Opponent),R5,6,1,18
Deathmatch (2+ Opponents),R1,9,1,15
Deathmatch (2+ Opponents),R2,8,1,16
Deathmatch (2+ Opponents),R3,8,1,16
Deathmatch (2+ Opponents),R4,8,1,16
Deathmatch (2+ Opponents),R5,7,1,17
Blackcliff (3 Stacks),R1,6,10,9
Blackcliff (3 Stacks),R2,6,10,9
Blackcliff (3 Stacks),R3,5,10,10
Blackcliff (3 Stacks),R4,4,10,11
Blackcliff (3 Stacks),R5,3,10,12
Blackcliff (2 Stacks),R1,7,10,8
Blackcliff (2 Stacks),R2,7,10,8
Blackcliff (2 Stacks),R3,6,10,9
Blackcliff (2 Stacks),R4,6,10,9
Blackcliff (2 Stacks),R5,5,10,10
Blackcliff (1 Stacks),R1,8,10,7
Blackcliff (1 Stacks),R2,8,10,7
Blackcliff (1 Stacks),R3,8,10,7
Blackcliff (1 Stacks),R4,8,10,7
Blackcliff (1 Stacks),R5,7,10,8
Blackcliff (0 Stacks),R1,10,10,5
Blackcliff (0 Stacks),R2,10,10,5
Blackcliff (0 Stacks),R3,10,10,5
Blackcliff (0 Stacks),R4,10,10,5
Blackcliff (0 Stacks),R5,10,10,5
MissiveWindspear (On),R1,1,10,14
MissiveWindspear (On),R2,1,10,14
MissiveWindspear (On),R3,1,10,14
MissiveWindspear (On),R4,1,10,14
MissiveWindspear (On),R5,0,10,15
MissiveWindspear (Off),R1,2,10,13
MissiveWindspear (Off),R2,2,10,13
MissiveWindspear (Off),R3,2,10,13
MissiveWindspear (Off),R4,2,10,13
MissiveWindspear (Off),R5,2,10,13
WavebreakersFin,R1,5,10,10
WavebreakersFin,R2,5,10,10
WavebreakersFin,R3,5,10,10
WavebreakersFin,R4,5,10,10
WavebreakersFin,R5,5,10,10
FavoniusLance,R1,7,9,9
FavoniusLance,R2,7,9,9
FavoniusLance,R3,7,9,9
FavoniusLance,R4,7,9,9
FavoniusLance,R5,7,9,9
PrototypeStarglitter,R1,6,10,9
PrototypeStarglitter,R2,6,10,9
PrototypeStarglitter,R3,6,10,9
PrototypeStarglitter,R4,6,10,9
PrototypeStarglitter,R5,6,10,9
WhiteTassel,R1,9,4,12
WhiteTassel,R2,9,4,12
WhiteTassel,R3,9,4,12
WhiteTassel,R4,9,4,12
WhiteTassel,R5,9,4,12
