weapon,refine,atk,crate,cdmg
PJWS (Stacked),R1,4,2,19
PJWS (Stacked),R2,4,2,19
PJWS (Stacked),R3,3,2,20
PJWS (Stacked),R4,3,2,20
PJWS (Stacked),R5,2,2,21
PJWS,R1,4,2,19
PJWS,R2,4,2,19
PJWS,R3,4,2,19
PJWS,R4,3,2,20
PJWS,R5,3,2,20
Homa (50%),R1,4,7,14
Homa (50%),R2,3,7,15
Homa (50%),R3,2,7,16
Homa (50%),R4,1,7,17
Homa (50%),R5,0,7,18
Homa,R1,6,7,12
Homa,R2,5,7,13
Homa,R3,5,7,13
Homa,R4,4,7,14
Homa,R5,4,7,14
"Vortex (Shielded, Stacked)",R1,0,7,18
"Vortex (Shielded, Stacked)",R2,0,7,18
"Vortex (Shielded, Stacked)",R3,0,7,18
"Vortex (Shielded, Stacked)",R4,0,7,18
"Vortex (Shielded, Stacked)",R5,0,7,18
"Vortex (Shielded, Unstacked)",R1,0,7,18
"Vortex (Shielded, Unstacked)",R2,0,7,18
"Vortex (Shielded, Unstacked)",R3,0,7,18
"Vortex (Shielded, Unstacked)",R4,0,7,18
"Vortex (Shielded, Unstacked)",R5,0,7,18
CalamityQueller (Stacked),R1,1,7,17
CalamityQueller (Stacked),R2,1,7,17
CalamityQueller (Stacked),R3,0,7,18
CalamityQueller (Stacked),R4,0,7,18
CalamityQueller (Stacked),R5,0,7,18
CalamityQueller (Unstacked),R1,1,7,17
CalamityQueller (Unstacked),R2,1,7,17
CalamityQueller (Unstacked),R3,1,7,17
CalamityQueller (Unstacked),R4,0,7,18
CalamityQueller (Unstacked),R5,0,7,18
"Vortex (Unshielded, Stacked)",R1,0,7,18
"Vortex (Unshielded, Stacked)",R2,0,7,18
"Vortex (Unshielded, Stacked)",R3,0,7,18
"Vortex (Unshielded, Stacked)",R4,0,7,18
"Vortex (Unshielded, Stacked)",R5,0,7,18
"Vortex (Unshielded, Unstacked)",R1,0,7,18
"Vortex (Unshielded, Unstacked)",R2,0,7,18
"Vortex (Unshielded, Unstacked)",R3,0,7,18
"Vortex (Unshielded, Unstacked)",R4,0,7,18
"Vortex (Unshielded, Unstacked)",R5,0,7,18
StaffOfTheScarletSands,R1,5,0,20
StaffOfTheScarletSands,R2,5,0,20
StaffOfTheScarletSands,R3,5,0,20
StaffOfTheScarletSands,R4,5,0,20
StaffOfTheScarletSands,R5,5,0,20
SkywardSpine,R1,7,5,18
SkywardSpine,R2,7,5,18
SkywardSpine,R3,8,4,18
SkywardSpine,R4,7,4,19
SkywardSpine,R5,8,3,19
EngulfingLightning,R1,4,7,19
EngulfingLightning,R2,3,7,20
EngulfingLightning,R3,2,7,21
EngulfingLightning,R4,2,7,21
EngulfingLightning,R5,1,7,22
Lithic (4 Stacks),R1,0,4,21
