weapon,refine,atk,crate,cdmg
PJWS (Stacked),R1,2,2,21
PJWS (Stacked),R2,2,2,21
PJWS (Stacked),R3,1,2,22
PJWS (Stacked),R4,1,2,22
PJWS (Stacked),R5,0,2,23
PJWS,R1,2,2,21
PJWS,R2,2,2,21
PJWS,R3,2,2,21
PJWS,R4,1,2,22
PJWS,R5,1,2,22
Homa (50%),R1,2,7,16
Homa (50%),R2,1,7,17
Homa (50%),R3,0,7,18
Homa (50%),R4,0,7,18
Homa (50%),R5,0,7,18
Homa,R1,4,7,14
Homa,R2,3,7,15
Homa,R3,3,7,15
Homa,R4,2,7,16
Homa,R5,2,7,16
"Vortex (Shielded, Stacked)",R1,0,7,18
"Vortex (Shielded, Stacked)",R2,0,7,18
"Vortex (Shielded, Stacked)",R3,0,7,18
"Vortex (Shielded, Stacked)",R4,0,7,18
"Vortex (Shielded, Stacked)",R5,0,7,18
"Vortex (Shielded, Unstacked)",R1,0,7,18
"Vortex (Shielded, Unstacked)",R2,0,7,18
"Vortex (Shielded, Unstacked)",R3,0,7,18
"Vortex (Shielded, Unstacked)",R4,0,7,18
"Vortex (Shielded, Unstacked)",R5,0,7,18
CalamityQueller (Stacked),R1,0,7,18
CalamityQueller (Stacked),R2,0,7,18
CalamityQueller (Stacked),R3,0,7,18
CalamityQueller (Stacked),R4,0,7,18
CalamityQueller (Stacked),R5,0,7,18
CalamityQueller (Unstacked),R1,0,7,18
CalamityQueller (Unstacked),R2,0,7,18
CalamityQueller (Unstacked),R3,0,7,18
CalamityQueller (Unstacked),R4,0,7,18
CalamityQueller (Unstacked),R5,0,7,18
"Vortex (Unshielded, Stacked)",R1,0,7,18
"Vortex (Unshielded, Stacked)",R2,0,7,18
"Vortex (Unshielded, Stacked)",R3,0,7,18
"Vortex (Unshielded, Stacked)",R4,0,7,18
"Vortex (Unshielded, Stacked)",R5,0,7,18
"Vortex (Unshielded, Unstacked)",R1,0,7,18
"Vortex (Unshielded, Unstacked)",R2,0,7,18
"Vortex (Unshielded, Unstacked)",R3,0,7,18
"Vortex (Unshielded, Unstacked)",R4,0,7,18
"Vortex (Unshielded, Unstacked)",R5,0,7,18
StaffOfTheScarletSands,R1,3,0,22
StaffOfTheScarletSands,R2,3,0,22
StaffOfTheScarletSands,R3,3,0,22
StaffOfTheScarletSands,R4,3,0,22
StaffOfTheScarletSands,R5,3,0,22
SkywardSpine,R1,5,5,20
SkywardSpine,R2,5,5,20
SkywardSpine,R3,5,4,21
SkywardSpine,R4,5,4,21
SkywardSpine,R5,6,3,21
EngulfingLightning,R1,2,7,21
EngulfingLightning,R2,1,7,22
EngulfingLightning,R3,0,7,23
EngulfingLightning,R4,0,7,23
EngulfingLightning,R5,0,7,23
Lithic (4 Stacks),R1,0,4,21
Lithic (4 Stacks),R2,0,3,22
Lithic (4 Stacks),R3,0,2,23
Lithic (4 Stacks),R4,0,1,24
Lithic (4 Stacks),R5,0,0,25
Lithic (3 Stacks),R1,0,5,20
Lithic (3 Stacks),R2,0,4,21
Lithic (3 Stacks),R3,0,3,22
Lithic (3 Stacks),R4,0,3,22
Lithic (3 Stacks),R5,0,2,23
