weapon,refine,atk,crate,cdmg
PJWS (Stacked),R1,12,1,12
PJWS (Stacked),R2,11,1,13
PJWS (Stacked),R3,11,1,13
PJWS (Stacked),R4,10,1,14
PJWS (Stacked),R5,10,1,14
PJWS,R1,12,1,12
PJWS,R2,12,1,12
PJWS,R3,11,1,13
PJWS,R4,11,1,13
PJWS,R5,10,1,14
Homa (50%),R1,11,7,7
Homa (50%),R2,10,7,8
Homa (50%),R3,9,7,9
Homa (50%),R4,8,7,10
Homa (50%),R5,7,7,11
Homa,R1,13,7,5
Homa,R2,13,7,5
Homa,R3,12,7,6
Homa,R4,12,7,6
Homa,R5,11,7,7
"Vortex (Shielded, Stacked)",R1,2,7,16
"Vortex (Shielded, Stacked)",R2,2,7,16
"Vortex (Shielded, Stacked)",R3,1,7,17
"Vortex (Shielded, Stacked)",R4,0,7,18
"Vortex (Shielded, Stacked)",R5,0,7,18
"Vortex (Shielded, Unstacked)",R1,3,7,15
"Vortex (Shielded, Unstacked)",R2,2,7,16
"Vortex (Shielded, Unstacked)",R3,1,7,17
"Vortex (Shielded, Unstacked)",R4,1,7,17
"Vortex (Shielded, Unstacked)",R5,0,7,18
CalamityQueller (Stacked),R1,7,7,11
CalamityQueller (Stacked),R2,7,7,11
CalamityQueller (Stacked),R3,7,7,11
CalamityQueller (Stacked),R4,6,7,12
CalamityQueller (Stacked),R5,6,7,12
CalamityQueller (Unstacked),R1,8,7,10
CalamityQueller (Unstacked),R2,7,7,11
CalamityQueller (Unstacked),R3,7,7,11
CalamityQueller (Unstacked),R4,7,7,11
CalamityQueller (Unstacked),R5,6,7,12
"Vortex (Unshielded, Stacked)",R1,4,7,14
"Vortex (Unshielded, Stacked)",R2,4,7,14
"Vortex (Unshielded, Stacked)",R3,3,7,15
"Vortex (Unshielded, Stacked)",R4,3,7,15
"Vortex (Unshielded, Stacked)",R5,2,7,16
"Vortex (Unshielded, Unstacked)",R1,4,7,14
"Vortex (Unshielded, Unstacked)",R2,4,7,14
"Vortex (Unshielded, Unstacked)",R3,4,7,14
"Vortex (Unshielded, Unstacked)",R4,3,7,15
"Vortex (Unshielded, Unstacked)",R5,3,7,15
StaffOfTheScarletSands,R1,13,0,12
StaffOfTheScarletSands,R2,13,0,12
StaffOfTheScarletSands,R3,13,0,12
StaffOfTheScarletSands,R4,13,0,12
