weapon,refine,atk,crate,cdmg
PJWS,R1,0,3,22
PJWS,R2,0,3,22
PJWS,R3,0,3,22
PJWS,R4,0,3,22
PJWS,R5,0,3,22
Homa (50%),R1,0,9,16
Homa (50%),R2,0,9,16
Homa (50%),R3,0,9,16
Homa (50%),R4,0,9,16
Homa (50%),R5,0,9,16
Homa,R1,0,9,16
Homa,R2,0,9,16
Homa,R3,0,9,16
Homa,R4,0,9,16
Homa,R5,0,9,16
LumidouceElegy,R1,0,1,24
LumidouceElegy,R2,0,1,24
LumidouceElegy,R3,0,1,24
LumidouceElegy,R4,0,1,24
LumidouceElegy,R5,0,1,24
"Vortex (Shielded, Stacked)",R1,0,9,16
"Vortex (Shielded, Stacked)",R2,0,9,16
"Vortex (Shielded, Stacked)",R3,0,9,16
"Vortex (Shielded, Stacked)",R4,0,9,16
"Vortex (Shielded, Stacked)",R5,0,9,16
"Vortex (Shielded, Unstacked)",R1,0,9,16
"Vortex (Shielded, Unstacked)",R2,0,9,16
"Vortex (Shielded, Unstacked)",R3,0,9,16
"Vortex (Shielded, Unstacked)",R4,0,9,16
"Vortex (Shielded, Unstacked)",R5,0,9,16
CalamityQueller (Stacked),R1,0,9,16
CalamityQueller (Stacked),R2,0,9,16
CalamityQueller (Stacked),R3,0,9,16
CalamityQueller (Stacked),R4,0,9,16
CalamityQueller (Stacked),R5,0,9,16
CalamityQueller (Unstacked),R1,0,9,16
CalamityQueller (Unstacked),R2,0,9,16
CalamityQueller (Unstacked),R3,0,9,16
CalamityQueller (Unstacked),R4,0,9,16
CalamityQueller (Unstacked),R5,0,9,16
"Vortex (Unshielded, Stacked)",R1,0,9,16
"Vortex (Unshielded, Stacked)",R2,0,9,16
"Vortex (Unshielded, Stacked)",R3,0,9,16
"Vortex (Unshielded, Stacked)",R4,0,9,16
"Vortex (Unshielded, Stacked)",R5,0,9,16
"Vortex (Unshielded, Unstacked)",R1,0,9,16
"Vortex (Unshielded, Unstacked)",R2,0,9,16
"Vortex (Unshielded, Unstacked)",R3,0,9,16
"Vortex (Unshielded, Unstacked)",R4,0,9,16
"Vortex (Unshielded, Unstacked)",R5,0,9,16
StaffOfTheScarletSands,R1,0,0,25
StaffOfTheScarletSands,R2,0,0,25
StaffOfTheScarletSands,R3,0,0,25
StaffOfTheScarletSands,R4,0,0,25
StaffOfTheScarletSands,R5,0,0,25
SkywardSpine,R1,0,7,23
SkywardSpine,R2,0,7,23
SkywardSpine,R3,0,6,24
SkywardSpine,R4,0,6,24
SkywardSpine,R5,0,5,25
EngulfingLightning,R1,0,9,21
EngulfingLightning,R2,0,9,21
EngulfingLightning,R3,0,9,21
EngulfingLightning,R4,0,9,21
EngulfingLightning,R5,0,9,21
Lithic (4 Stacks),R1,0,6,19
Lithic (4 Stacks),R2,0,5,20
Lithic (4 Stacks),R3,0,4,21
Lithic (4 Stacks),R4,0,3,22
Lithic (4 Stacks),R5,0,2,23
Lithic (3 Stacks),R1,0,7,18
Lithic (3 Stacks),R2,0,6,19
Lithic (3 Stacks),R3,0,5,20
Lithic (3 Stacks),R4,0,4,21
Lithic (3 Stacks),R5,0,4,21
Lithic (2 Stacks),R1,0,8,17
Lithic (2 Stacks),R2,0,7,18
Lithic (2 Stacks),R3,0,7,18
Lithic (2 Stacks),R4,0,6,19
Lithic (2 Stacks),R5,0,5,20
Lithic (1 Stacks),R1,0,8,17
Lithic (1 Stacks),R2,0,8,17
Lithic (1 Stacks),R3,0,8,17
Lithic (1 Stacks),R4,0,8,17
Lithic (1 Stacks),R5,0,7,18
Deathmatch (1 Opponent),R1,0,0,25
Deathmatch (1 Opponent),R2,0,0,25
