weapon,refine,atk,crate,cdmg
PJWS (Stacked),R1,0,2,23
PJWS (Stacked),R2,0,2,23
PJWS (Stacked),R3,0,2,23
PJWS (Stacked),R4,0,2,23
PJWS (Stacked),R5,0,2,23
PJWS,R1,0,2,23
PJWS,R2,0,2,23
PJWS,R3,0,2,23
PJWS,R4,0,2,23
PJWS,R5,0,2,23
Homa (50%),R1,0,7,18
Homa (50%),R2,0,7,18
Homa (50%),R3,0,7,18
Homa (50%),R4,0,7,18
Homa (50%),R5,0,7,18
Homa,R1,1,7,17
Homa,R2,1,7,17
Homa,R3,1,7,17
Homa,R4,0,7,18
Homa,R5,0,7,18
"Vortex (Shielded, Stacked)",R1,0,7,18
"Vortex (Shielded, Stacked)",R2,0,7,18
"Vortex (Shielded, Stacked)",R3,0,7,18
"Vortex (Shielded, Stacked)",R4,0,7,18
"Vortex (Shielded, Stacked)",R5,0,7,18
"Vortex (Shielded, Unstacked)",R1,0,7,18
"Vortex (Shielded, Unstacked)",R2,0,7,18
"Vortex (Shielded, Unstacked)",R3,0,7,18
"Vortex (Shielded, Unstacked)",R4,0,7,18
"Vortex (Shielded, Unstacked)",R5,0,7,18
CalamityQueller (Stacked),R1,0,7,18
CalamityQueller (Stacked),R2,0,7,18
CalamityQueller (Stacked),R3,0,7,18
CalamityQueller (Stacked),R4,0,7,18
CalamityQueller (Stacked),R5,0,7,18
CalamityQueller (Unstacked),R1,0,7,18
CalamityQueller (Unstacked),R2,0,7,18
CalamityQueller (Unstacked),R3,0,7,18
CalamityQueller (Unstacked),R4,0,7,18
CalamityQueller (Unstacked),R5,0,7,18
"Vortex (Unshielded, Stacked)",R1,0,7,18
"Vortex (Unshielded, Stacked)",R2,0,7,18
"Vortex (Unshielded, Stacked)",R3,0,7,18
"Vortex (Unshielded, Stacked)",R4,0,7,18
"Vortex (Unshielded, Stacked)",R5,0,7,18
"Vortex (Unshielded, Unstacked)",R1,0,7,18
"Vortex (Unshielded, Unstacked)",R2,0,7,18
"Vortex (Unshielded, Unstacked)",R3,0,7,18
"Vortex (Unshielded, Unstacked)",R4,0,7,18
"Vortex (Unshielded, Unstacked)",R5,0,7,18
StaffOfTheScarletSands,R1,1,0,24
StaffOfTheScarletSands,R2,1,0,24
