weapon,refine,atk,crate,cdmg
PJWS,R1,4,12,9
PJWS,R2,3,12,10
PJWS,R3,3,12,10
PJWS,R4,2,13,10
PJWS,R5,1,13,11
Homa (50%),R1,2,19,4
Homa (50%),R2,1,19,5
Homa (50%),R3,0,19,6
Homa (50%),R4,0,19,6
Homa (50%),R5,0,19,6
Homa,R1,4,19,2
Homa,R2,3,19,3
Homa,R3,3,19,3
Homa,R4,2,19,4
Homa,R5,2,19,4
FracturedHalo,R1,3,19,3
FracturedHalo,R2,3,19,3
FracturedHalo,R3,2,19,4
FracturedHalo,R4,2,19,4
FracturedHalo,R5,1,19,5
LumidouceElegy,R1,4,10,11
LumidouceElegy,R2,4,10,11
LumidouceElegy,R3,4,10,11
LumidouceElegy,R4,3,11,11
LumidouceElegy,R5,2,11,12
"Vortex (Shielded, Stacked)",R1,0,17,8
"Vortex (Shielded, Stacked)",R2,0,17,8
"Vortex (Shielded, Stacked)",R3,0,17,8
"Vortex (Shielded, Stacked)",R4,0,17,8
"Vortex (Shielded, Stacked)",R5,0,17,8
"Vortex (Shielded, Unstacked)",R1,0,17,8
"Vortex (Shielded, Unstacked)",R2,0,17,8
"Vortex (Shielded, Unstacked)",R3,0,17,8
"Vortex (Shielded, Unstacked)",R4,0,17,8
"Vortex (Shielded, Unstacked)",R5,0,17,8
CalamityQueller (Stacked),R1,1,16,8
CalamityQueller (Stacked),R2,0,17,8
CalamityQueller (Stacked),R3,0,17,8
CalamityQueller (Stacked),R4,0,17,8
CalamityQueller (Stacked),R5,0,17,8
CalamityQueller (Unstacked),R1,1,16,8
CalamityQueller (Unstacked),R2,0,17,8
CalamityQueller (Unstacked),R3,0,17,8
CalamityQueller (Unstacked),R4,0,17,8
CalamityQueller (Unstacked),R5,0,17,8
"Vortex (Unshielded, Stacked)",R1,0,17,8
"Vortex (Unshielded, Stacked)",R2,0,17,8
"Vortex (Unshielded, Stacked)",R3,0,17,8
"Vortex (Unshielded, Stacked)",R4,0,17,8
"Vortex (Unshielded, Stacked)",R5,0,17,8
"Vortex (Unshielded, Unstacked)",R1,0,17,8
"Vortex (Unshielded, Unstacked)",R2,0,17,8
"Vortex (Unshielded, Unstacked)",R3,0,17,8
"Vortex (Unshielded, Unstacked)",R4,0,17,8
"Vortex (Unshielded, Unstacked)",R5,0,17,8
StaffOfTheScarletSands,R1,6,8,11
StaffOfTheScarletSands,R2,6,8,11
StaffOfTheScarletSands,R3,6,8,11
StaffOfTheScarletSands,R4,6,8,11
StaffOfTheScarletSands,R5,6,8,11
SkywardSpine,R1,5,13,7
SkywardSpine,R2,6,12,7
SkywardSpine,R3,6,12,7
SkywardSpine,R4,6,12,7
SkywardSpine,R5,6,12,7
EngulfingLightning,R1,2,16,7
EngulfingLightning,R2,1,16,8
EngulfingLightning,R3,0,17,8
EngulfingLightning,R4,0,17,8
EngulfingLightning,R5,0,17,8
SacrificersStaff,R1,5,13,7
SacrificersStaff,R2,5,13,7
SacrificersStaff,R3,5,13,7
SacrificersStaff,R4,4,13,8
SacrificersStaff,R5,4,13,8
Lithic (4 Stacks),R1,0,15,10
Lithic (4 Stacks),R2,0,15,10
Lithic (4 Stacks),R3,0,14,11
Lithic (4 Stacks),R4,0,13,12
Lithic (4 Stacks),R5,0,12,13
Lithic (3 Stacks),R1,0,15,10
Lithic (3 Stacks),R2,0,15,10
Lithic (3 Stacks),R3,0,15,10
Lithic (3 Stacks),R4,0,14,11
Lithic (3 Stacks),R5,0,14,11
Lithic (2 Stacks),R1,0,16,9
Lithic (2 Stacks),R2,0,16,9
Lithic (2 Stacks),R3,0,15,10
Lithic (2 Stacks),R4,0,15,10
Lithic (2 Stacks),R5,0,15,10
Lithic (1 Stacks),R1,0,16,9
Lithic (1 Stacks),R2,0,16,9
Lithic (1 Stacks),R3,0,16,9
Lithic (1 Stacks),R4,0,16,9
Lithic (1 Stacks),R5,0,16,9
Deathmatch (1 Opponent),R1,3,10,12
Deathmatch (1 Opponent),R2,2,10,13
Deathmatch (1 Opponent),R3,2,10,13
Deathmatch (1 Opponent),R4,1,10,14
Deathmatch (1 Opponent),R5,1,10,14
Deathmatch (2+ Opponents),R1,3,10,12
Deathmatch (2+ Opponents),R2,3,10,12
Deathmatch (2+ Opponents),R3,3,10,12
Deathmatch (2+ Opponents),R4,2,10,13
Deathmatch (2+ Opponents),R5,2,10,13
Blackcliff (3 Stacks),R1,1,19,5
Blackcliff (3 Stacks),R2,0,19,6
Blackcliff (3 Stacks),R3,0,19,6
Blackcliff (3 Stacks),R4,0,19,6
Blackcliff (3 Stacks),R5,0,19,6
Blackcliff (2 Stacks),R1,2,19,4
Blackcliff (2 Stacks),R2,2,19,4
Blackcliff (2 Stacks),R3,1,19,5
Blackcliff (2 Stacks),R4,1,19,5
Blackcliff (2 Stacks),R5,0,19,6
Blackcliff (1 Stacks),R1,4,18,3
Blackcliff (1 Stacks),R2,3,19,3
Blackcliff (1 Stacks),R3,3,19,3
Blackcliff (1 Stacks),R4,2,19,4
Blackcliff (1 Stacks),R5,2,19,4
Blackcliff (0 Stacks),R1,5,18,2
Blackcliff (0 Stacks),R2,5,18,2
Blackcliff (0 Stacks),R3,5,18,2
Blackcliff (0 Stacks),R4,5,18,2
Blackcliff (0 Stacks),R5,5,18,2
MissiveWindspear (On),R1,0,17,8
MissiveWindspear (On),R2,0,17,8
MissiveWindspear (On),R3,0,17,8
MissiveWindspear (On),R4,0,17,8
MissiveWindspear (On),R5,0,17,8
MissiveWindspear (Off),R1,0,17,8
