weapon,refine,atk,crate,cdmg
PJWS,R1,3,13,9
PJWS,R2,2,13,10
PJWS,R3,2,13,10
PJWS,R4,2,13,10
PJWS,R5,1,13,11
Homa (50%),R1,2,19,4
Homa (50%),R2,1,19,5
Homa (50%),R3,0,19,6
Homa (50%),R4,0,19,6
Homa (50%),R5,0,19,6
Homa,R1,4,19,2
Homa,R2,3,19,3
Homa,R3,3,19,3
Homa,R4,2,19,4
Homa,R5,2,19,4
FracturedHalo,R1,3,19,3
FracturedHalo,R2,2,19,4
FracturedHalo,R3,2,19,4
FracturedHalo,R4,1,19,5
FracturedHalo,R5,1,19,5
LumidouceElegy,R1,3,11,11
LumidouceElegy,R2,3,11,11
LumidouceElegy,R3,3,11,11
LumidouceElegy,R4,2,11,12
LumidouceElegy,R5,2,11,12
"Vortex (Shielded, Stacked)",R1,0,19,6
"Vortex (Shielded, Stacked)",R2,0,19,6
"Vortex (Shielded, Stacked)",R3,0,19,6
"Vortex (Shielded, Stacked)",R4,0,19,6
"Vortex (Shielded, Stacked)",R5,0,19,6
"Vortex (Shielded, Unstacked)",R1,0,19,6
"Vortex (Shielded, Unstacked)",R2,0,19,6
"Vortex (Shielded, Unstacked)",R3,0,19,6
"Vortex (Shielded, Unstacked)",R4,0,19,6
"Vortex (Shielded, Unstacked)",R5,0,19,6
CalamityQueller (Stacked),R1,0,19,6
CalamityQueller (Stacked),R2,0,19,6
CalamityQueller (Stacked),R3,0,19,6
CalamityQueller (Stacked),R4,0,19,6
CalamityQueller (Stacked),R5,0,19,6
CalamityQueller (Unstacked),R1,0,19,6
CalamityQueller (Unstacked),R2,0,19,6
CalamityQueller (Unstacked),R3,0,19,6
CalamityQueller (Unstacked),R4,0,19,6
CalamityQueller (Unstacked),R5,0,19,6
"Vortex (Unshielded, Stacked)",R1,0,19,6
"Vortex (Unshielded, Stacked)",R2,0,19,6
"Vortex (Unshielded, Stacked)",R3,0,19,6
"Vortex (Unshielded, Stacked)",R4,0,19,6
"Vortex (Unshielded, Stacked)",R5,0,19,6
"Vortex (Unshielded, Unstacked)",R1,0,19,6
"Vortex (Unshielded, Unstacked)",R2,0,19,6
"Vortex (Unshielded, Unstacked)",R3,0,19,6
"Vortex (Unshielded, Unstacked)",R4,0,19,6
"Vortex (Unshielded, Unstacked)",R5,0,19,6
StaffOfTheScarletSands,R1,6,8,11
StaffOfTheScarletSands,R2,6,8,11
StaffOfTheScarletSands,R3,6,8,11
StaffOfTheScarletSands,R4,6,8,11
StaffOfTheScarletSands,R5,6,8,11
SkywardSpine,R1,2,17,6
SkywardSpine,R2,3,16,6
SkywardSpine,R3,2,16,7
SkywardSpine,R4,3,15,7
SkywardSpine,R5,3,15,7
EngulfingLightning,R1,0,19,6
EngulfingLightning,R2,0,19,6
EngulfingLightning,R3,0,19,6
EngulfingLightning,R4,0,19,6
EngulfingLightning,R5,0,19,6
SacrificersStaff,R1,1,17,7
SacrificersStaff,R2,1,17,7
SacrificersStaff,R3,1,17,7
SacrificersStaff,R4,1,17,7
SacrificersStaff,R5,1,17,7
Lithic (4 Stacks),R1,0,16,9
Lithic (4 Stacks),R2,0,15,10
Lithic (4 Stacks),R3,0,14,11
Lithic (4 Stacks),R4,0,13,12
Lithic (4 Stacks),R5,0,12,13
Lithic (3 Stacks),R1,0,17,8
Lithic (3 Stacks),R2,0,16,9
